brand,category_l1,category_l2,category_l3,gl_account,amount,year_month
Discovery,VMD/ 매장보수대,VMD/ 매장보수대,소모품비_VMD소모품,소모품비_VMD소모품,9360000,202510
Discovery,VMD/ 매장보수대,VMD/ 매장보수대,지급수수료_매장보수대,지급수수료_매장보수대,21971960,202510
Discovery,광고선전비,광고선전비,(E-BIZ)광고선전비_매체광고,(E-BIZ)광고선전비_매체광고,28606431,202510
Discovery,광고선전비,광고선전비,(E-BIZ)광고선전비_촬영/기타,(E-BIZ)광고선전비_촬영/기타,80613000,202510
Discovery,광고선전비,광고선전비,광고선전비_PR/홍보,광고선전비_PR/홍보,91180000,202510
Discovery,광고선전비,광고선전비,광고선전비_기타,광고선전비_기타,788941,202510
Discovery,광고선전비,광고선전비,광고선전비_기타,광고선전비_물류_재고대체,726746,202510
Discovery,광고선전비,광고선전비,광고선전비_매체집행_온라인,광고선전비_매체집행_온라인,855566328,202510
Discovery,광고선전비,광고선전비,광고선전비_모델료,광고선전비_모델료,256712329,202510
Discovery,광고선전비,광고선전비,광고선전비_이벤트/행사,광고선전비_이벤트/행사,76877210,202510
Discovery,광고선전비,광고선전비,광고선전비_콘텐츠제작,광고선전비_콘텐츠제작,304705738,202510
Discovery,광고선전비,광고선전비,광고선전비_협찬/제휴,광고선전비_물류,272635,202510
Discovery,광고선전비,광고선전비,광고선전비_협찬/제휴,광고선전비_협찬/제휴,180850000,202510
Discovery,기타영업비,감가상각비(매장외),감가상각비_건물,감가상각비_건물,7832343,202510
Discovery,기타영업비,감가상각비(매장외),감가상각비_일반,감가상각비_공기구비품,74667777,202510
Discovery,기타영업비,감가상각비(매장외),감가상각비_일반,감가상각비_차량운반구,339341,202510
Discovery,기타영업비,감가상각비(매장외),무형자산상각비,감가상각비_기타의무형자산,3333333,202510
Discovery,기타영업비,감가상각비(매장외),무형자산상각비,감가상각비_상표권,8938,202510
Discovery,기타영업비,감가상각비(매장외),무형자산상각비,감가상각비_소프트웨어,730899,202510
Discovery,기타영업비,기타비용,보험료,보험료_배상책임보험료,59359,202510
Discovery,기타영업비,기타비용,보험료,보험료_화재보험료,862825,202510
Discovery,기타영업비,기타비용,소모품비_MRO(사무용품),소모품비_MRO(사무용품),3678154,202510
Discovery,기타영업비,기타비용,소모품비_MRO(전산소모품),소모품비_MRO(전산소모품),654383,202510
Discovery,기타영업비,기타비용,소모품비_OPP,소모품비_OPP,22332000,202510
Discovery,기타영업비,기타비용,소모품비_기타,소모품비_기타,2720000,202510
Discovery,기타영업비,기타비용,소모품비_기타,소모품비_부서,1112200,202510
Discovery,기타영업비,기타비용,소모품비_매장소품대,소모품비_매장소품대,1059000,202510
Discovery,기타영업비,기타비용,소모품비_전산소모품,소모품비_전산소모품,6743063,202510
Discovery,기타영업비,기타비용,수도광열비,수도광열비,11380798,202510
Discovery,기타영업비,기타비용,접대비,접대비_경조사비,500000,202510
Discovery,기타영업비,기타비용,접대비,접대비_현물,131092,202510
Discovery,기타영업비,기타비용,접대비,접대비_현물_재고대체,327420,202510
Discovery,기타영업비,기타비용,지급임차료_기타,지급임차료_창고,951000,202510
Discovery,기타영업비,기타비용,통신비_기타,통신비_기타,48348,202510
Discovery,기타영업비,기타비용,통신비_기타,통신비_웹하드사용료,35000,202510
Discovery,기타영업비,기타비용,통신비_비즈크로샷,통신비_CRM,8575821,202510
Discovery,기타영업비,기타비용,통신비_우편료,통신비_우편료,21836,202510
Discovery,기타영업비,기타비용,통신비_전화사용료,통신비_전화사용료,249960,202510
Discovery,기타영업비,기타비용,통신비_해외로밍,통신비_해외로밍,253517,202510
Discovery,기타영업비,복리비/차량/핸드폰,복리후생비_MRO,복리후생비_MRO,1842954,202510
Discovery,기타영업비,복리비/차량/핸드폰,복리후생비_경조사비,복리후생비_경조사비,1980000,202510
Discovery,기타영업비,복리비/차량/핸드폰,복리후생비_근속지원,복리후생비_근속지원,600000,202510
