brand,level,category_l1,category_l2,category_l3,current_amount,prev_amount,diff,yoy,insight
"Discovery","L3","광고선전비","광고선전비","(E-BIZ)광고선전비_매체광고","28606431","15651833","12954598","83","무신사 광고 정산 선금 19백(전년미발생), 제휴몰 광고비 10백"
"Discovery","L3","광고선전비","광고선전비","(E-BIZ)광고선전비_촬영/기타","80613000","75922877","4690123","6","중국 활용 상품촬영 증가"
"Discovery","L3","기타영업비","감가상각비(매장외)","감가상각비_건물","7832343","7832343","0","0","전년 대비 동일"
"Discovery","L3","기타영업비","감가상각비(매장외)","감가상각비_일반","74667777","66499563","8168214","12","신규 슈즈 몰드 상각비 (5년상각)"
"Discovery","L3","기타영업비","감가상각비(매장외)","무형자산상각비","3333333","291212510","-287879177","-99","전년 DX로열티 상각비 292백 발생"
"Discovery","L3","기타영업비","감가상각비(매장외)","무형자산상각비","8938","8938","0","0","전년 DX로열티 상각비 292백 발생"
"Discovery","L3","기타영업비","감가상각비(매장외)","무형자산상각비","730899","371734","359165","97","전년 DX로열티 상각비 292백 발생"
"Discovery","L3","기타영업비","감가상각비(매장외)","감가상각비_일반","339341","339340","1","0","신규 슈즈 몰드 상각비 (5년상각)"
"Discovery","L3","광고선전비","광고선전비","광고선전비_PR/홍보","91180000","97018400","-5838400","-6","INF DX 데패뉴 31백, 뉴미디어 PR 35백, 바이럴 대행 외 25백 (전년 슈즈/키즈 바이럴 포함)"
"Discovery","L3","광고선전비","광고선전비","광고선전비_기타","788941","11419400","-10630459","-93","롯데백화점 공동사은프로모션 감소"
"Discovery","L3","광고선전비","광고선전비","광고선전비_매체집행_온라인","855566328","947481205","-91914877","-10","퍼포먼스 브랜딩 광고비 856백, 전년비 -92백 축소 운영"
"Discovery","L3","광고선전비","광고선전비","광고선전비_모델료","256712329","116096543","140615786","121","변우석 모델료 (연 2억 -> 19억) 대폭 상승"
"Discovery","L3","광고선전비","광고선전비","광고선전비_협찬/제휴","272635","494098","-221463","-45","반얀트리 행사 113백, 신슬기 PPL 11백, 패딩 인플루언서 PPL 54백, 바이럴 대행 외 3백 (전년 아이슬란드 촬영 65백, 중화권 사용료 40백 추가)"
"Discovery","L3","광고선전비","광고선전비","광고선전비_기타","726746","1124336","-397590","-35","롯데백화점 공동사은프로모션 감소"
"Discovery","L3","광고선전비","광고선전비","광고선전비_이벤트/행사","76877210","0","76877210","0","DX MKT 웰니스 행사로 74백, 변우석 생일기프트 3백"
"Discovery","L3","광고선전비","광고선전비","광고선전비_콘텐츠제작","304705738","328909348","-24203610","-7","고윤정콘텐츠 & 변우석 지면콘텐츠 255백, 키즈 35백, 인플루언서 촬영 &숏폼 14백  (전년 시즌 비쥬얼 중화권 사용 확장 +20백 포함)"
"Discovery","L3","광고선전비","광고선전비","광고선전비_협찬/제휴","180850000","259873410","-79023410","-30","반얀트리 행사 113백, 신슬기 PPL 11백, 패딩 인플루언서 PPL 54백, 바이럴 대행 외 3백 (전년 아이슬란드 촬영 65백, 중화권 사용료 40백 추가)"
"Discovery","L3","인건비","인건비","급료와 임금","606395182","530491805","75903377","14","글로벌 강화 인원 증가 115백, SS인센티브 지급 30%->19%-53백"
"Discovery","L3","기타영업비","저장품사용(쇼핑백/사은품)","소모품비_쇼핑백사용(조정값)","-110394091","-157466026","47071935","-30","쇼핑백 출고 시점 차이"
"Discovery","L3","기타영업비","저장품사용(쇼핑백/사은품)","소모품비_쇼핑백사용(조정값)","136469133","182418889","-45949756","-25","쇼핑백 출고 시점 차이"
"Discovery","L3","기타영업비","기타비용","보험료","59359","67131","-7772","-12","명동중앙점 신규 계약으로 보험료 증가"
"Discovery","L3","기타영업비","기타비용","보험료","862825","678130","184695","27","명동중앙점 신규 계약으로 보험료 증가"
