brand,level,category_l1,category_l2,category_l3,current_amount,prev_amount,diff,yoy,insight
"DUVETICA","L3","광고선전비","광고선전비","(E-BIZ)광고선전비_매체광고","909931","2022257","-1112326","-55","무신사 광고 집중 (전년 SSG, 롯데온 광고)"
"DUVETICA","L3","광고선전비","광고선전비","(E-BIZ)광고선전비_촬영/기타","24389382","18033634","6355748","35","숏폼영상 신규 도입 +6백, 룩북촬영 18백 동일"
"DUVETICA","L3","기타영업비","감가상각비(매장외)","감가상각비_일반","5632893","6034500","-401607","-7","전년동일"
"DUVETICA","L3","기타영업비","감가상각비(매장외)","무형자산상각비","5043117","4743116","300001","6","전년동일"
"DUVETICA","L3","광고선전비","광고선전비","광고선전비_PR/홍보","4500000","4500000","0","0","쇼룸 대행사 변경(비주크리에이티브) 금액 동일"
"DUVETICA","L3","광고선전비","광고선전비","광고선전비_기타","6024000","5104600","919400","18","매장 프로모션 & 인플루언서 증정 포함 "
"DUVETICA","L3","광고선전비","광고선전비","광고선전비_매체집행_온라인","169121202","83078034","86043168","104","퍼포먼스 공식몰전환 광고비 증가 +75백, 온라인 바이럴 광고 증가 +11백"
"DUVETICA","L3","광고선전비","광고선전비","광고선전비_모델료","67391304","0","67391304","0","김지원 모델 계약으로 광고비 증가 (연 8억)"
"DUVETICA","L3","광고선전비","광고선전비","광고선전비_협찬/제휴","2629727","170180","2459547","1445","고소영(50백), 이현이(20백) 셀럽 캠페인 및 인플 & 김지원 생일 케이크&꽃 외 8백"
"DUVETICA","L3","광고선전비","광고선전비","광고선전비_기타","5389824","401778","4988046","1241","신규 캠페인(2025 F/W 컬렉션) 비용 반영"
"DUVETICA","L3","광고선전비","광고선전비","광고선전비_이벤트/행사","30000000","0","30000000","0","DV 11월 프레스데이 장소 대관비 (전년미발생)"
"DUVETICA","L3","광고선전비","광고선전비","광고선전비_콘텐츠제작","8000000","74454302","-66454302","-89","24FW 김지원 화보 촬영 10월 정산 74백, 당년 리터치만 발생 8백"
"DUVETICA","L3","광고선전비","광고선전비","광고선전비_협찬/제휴","75776500","62435251","13341249","21","고소영, 이현이 셀럽 캠페인으로 비용 증가"
"DUVETICA","L3","인건비","인건비","급료와 임금","109707774","173081152","-63373378","-37","영업/소싱인원 공통조직 이동 -> 인건비 대폭 감소"
"DUVETICA","L3","기타영업비","저장품사용(쇼핑백/사은품)","소모품비_쇼핑백사용(조정값)","-15043750","0","-15043750","0","저장품 손실 처리로 비용 증가"
"DUVETICA","L3","기타영업비","저장품사용(쇼핑백/사은품)","소모품비_쇼핑백사용(조정값)","30087500","0","30087500","0","신규 프로젝트(아르코 캠페인)로 비용 증가"
"DUVETICA","L3","기타영업비","기타비용","보험료","4586","679","3907","575","전년 대비 변동"
"DUVETICA","L3","기타영업비","복리비/차량/핸드폰","복리후생비_MRO","343283","1066273","-722990","-68","MRO 면세상품 구입비 감소로 비용 절감"
"DUVETICA","L3","인건비","인건비","복리후생비_의료/건강","1543821","1521435","22386","1","전년 산재보험료 환급 발생"
"DUVETICA","L3","기타영업비","복리비/차량/핸드폰","복리후생비_부서","1277600","2602121","-1324521","-51","영업팀 복리후생비 감소, VMD팀 전환"
"DUVETICA","L3","인건비","인건비","복리후생비_의료/건강","1024038","-10099138","11123176","-110","전년 산재보험료 환급 발생"
