brand,level,category_l1,category_l2,category_l3,current_amount,prev_amount,diff,yoy,insight
"SERGIO TACCHINI","L3","광고선전비","광고선전비","(E-BIZ)광고선전비_매체광고",1320605,800000,520605,65,"무신사 광고 캠페인으로 비용 증가"
"SERGIO TACCHINI","L3","광고선전비","광고선전비","(E-BIZ)광고선전비_촬영/기타",19982545,30045557,-10063012,-33,"외국인모델(루시, 아서) 기용으로 비용 증가"
"SERGIO TACCHINI","L3","기타영업비","감가상각비(매장외)","감가상각비_일반",7406576,3560235,3846341,108,"신규 장비(2025 AFB) 도입으로 비용 증가"
"SERGIO TACCHINI","L3","기타영업비","감가상각비(매장외)","무형자산상각비",333900,0,333900,0,"AFB 소프트웨어 신규 도입으로 비용 발생"
"SERGIO TACCHINI","L3","광고선전비","광고선전비","광고선전비_PR/홍보",5000000,0,5000000,0,"엠퍼블릭 PR대행사 신규 계약 체결"
"SERGIO TACCHINI","L3","광고선전비","광고선전비","광고선전비_기타",12163196,11700162,463034,4,"HDC신라면세 프로모션 비용 증가"
"SERGIO TACCHINI","L3","광고선전비","광고선전비","광고선전비_매체집행_온라인",137486037,152073864,-14587827,-10,"CC대체 전환 광고비 정산으로 비용 감소"
"SERGIO TACCHINI","L3","광고선전비","광고선전비","광고선전비_모델료",16393443,0,16393443,0,"신규 모델(박지현) 계약으로 비용 증가"
"SERGIO TACCHINI","L3","광고선전비","광고선전비","광고선전비_협찬/제휴",128997,786208,-657211,-84,"ST25FTXMT14154 신규 캠페인으로 비용 감소"
"SERGIO TACCHINI","L3","광고선전비","광고선전비","광고선전비_기타",289727,1901800,-1612073,-85,"제품 타계정출고로 광고비 감소"
"SERGIO TACCHINI","L3","광고선전비","광고선전비","광고선전비_콘텐츠제작",13800000,1500000,12300000,820,"박지현 모델 기용으로 캠페인 비용 증가"
"SERGIO TACCHINI","L3","광고선전비","광고선전비","광고선전비_협찬/제휴",48346000,27785000,20561000,74,"셀럽 미연 촬영 및 PPL로 광고비 증가"
"SERGIO TACCHINI","L3","인건비","인건비","급료와 임금",83844246,167734210,-83889964,-50,"소싱팀 해체 및 VMD팀 신설로 비용 감소"
"SERGIO TACCHINI","L3","기타영업비","기타비용","보험료",5266,0,5266,0,"ST 자사몰 보증보험료 신규 발생"
"SERGIO TACCHINI","L3","기타영업비","기타비용","보험료",64964,96284,-31320,-33,"롯데월드몰 화재보험 해지로 비용 감소"
"SERGIO TACCHINI","L3","기타영업비","복리비/차량/핸드폰","복리후생비_MRO",233877,1345239,-1111362,-83,"우유 및 문구 구입 중단으로 비용 감소"
"SERGIO TACCHINI","L3","기타영업비","복리비/차량/핸드폰","복리후생비_경조사비",400000,0,400000,0,"임직원 경조사비(채민경, 주설화) 신규 발생"
"SERGIO TACCHINI","L3","인건비","인건비","복리후생비_의료/건강",1059607,1419005,-359398,-25,"전년 산재보험료 환급 발생"
"SERGIO TACCHINI","L3","기타영업비","복리비/차량/핸드폰","복리후생비_부서",759729,2964498,-2204769,-74,"한남점 프로젝트로 작업자식대 증가"
"SERGIO TACCHINI","L3","인건비","인건비","복리후생비_의료/건강",702853,-6882469,7585322,-110,"전년 산재보험료 환급 발생"
"SERGIO TACCHINI","L3","인건비","인건비","복리후생비_의료/건강",5609780,7339990,-1730210,-24,"전년 산재보험료 환급 발생"
"SERGIO TACCHINI","L3","기타영업비","복리비/차량/핸드폰","복리후생비_기타",-59000,2315500,-2374500,-103,"VMD팀, 기획담당 구매 중단으로 비용 감소"
"SERGIO TACCHINI","L3","기타영업비","복리비/차량/핸드폰","복리후생비_식대",2406700,983772,1422928,145,"임직원 식대 정산 체계 도입으로 비용 증가"
"SERGIO TACCHINI","L3","기타영업비","복리비/차량/핸드폰","복리후생비_식대",777812,822409,-44597,-5,"TD팀 회식비 감소, 팀장 회식비 증가"
"SERGIO TACCHINI","L3","기타영업비","복리비/차량/핸드폰","복리후생비_식대",694743,1185133,-490390,-41,"TD팀 미팅 증가로 비용 재분배"
