brand_code,CHANNEL,store_count,YYYYMM
MLB,샵인샵,62,202510
MLB,샵(위탁),28,202510
MLB,아울렛,10,202510
MLB,백화점,66,202510
MLB,직영점,15,202510
MLB,기타,1,202510
MLB,면세점,8,202510
MLB,샵인샵,67,202410
MLB,샵(위탁),28,202410
MLB,아울렛,11,202410
MLB,백화점,70,202410
MLB,직영점,16,202410
MLB,기타,0,202410
MLB,면세점,9,202410
MLB,백화점,67,202509
MLB,아울렛,11,202509
MLB,직영점,15,202509
MLB,샵인샵,61,202509
MLB,샵(위탁),27,202509
MLB,기타,0,202509
MLB,면세점,8,202509
MLB,백화점,70,202409
MLB,아울렛,11,202409
MLB,직영점,15,202409
MLB,샵인샵,66,202409
MLB,샵(위탁),28,202409
MLB,기타,0,202409
MLB,면세점,9,202409
MLB,백화점,67,202508
MLB,아울렛,11,202508
MLB,직영점,16,202508
MLB,샵인샵,63,202508
MLB,샵(위탁),29,202508
MLB,기타,1,202508
MLB,면세점,8,202508
MLB,백화점,70,202408
MLB,아울렛,11,202408
MLB,직영점,14,202408
MLB,샵인샵,68,202408
MLB,샵(위탁),28,202408
MLB,기타,1,202408
MLB,면세점,8,202408
MLB,백화점,69,202507
MLB,아울렛,11,202507
MLB,직영점,16,202507
MLB,샵인샵,63,202507
MLB,샵(위탁),28,202507
MLB,기타,1,202507
MLB,면세점,9,202507
MLB,백화점,70,202407
MLB,아울렛,11,202407
MLB,직영점,14,202407
MLB,샵인샵,69,202407
MLB,샵(위탁),29,202407
MLB,기타,1,202407
MLB,면세점,9,202407
MLB,백화점,70,202506
MLB,아울렛,11,202506
MLB,직영점,16,202506
MLB,샵인샵,62,202506
MLB,샵(위탁),25,202506
MLB,기타,0,202506
MLB,면세점,9,202506
MLB,백화점,59,202406
MLB,아울렛,11,202406
MLB,직영점,15,202406
MLB,샵인샵,69,202406
MLB,샵(위탁),27,202406
MLB,기타,0,202406
MLB,면세점,9,202406
MLB,백화점,70,202505
MLB,아울렛,16,202505
MLB,직영점,64,202505
MLB,샵인샵,28,202505
MLB,샵(위탁),11,202505
MLB,기타,1,202505
MLB,면세점,9,202505
MLB,백화점,72,202405
MLB,아울렛,15,202405
MLB,직영점,69,202405
MLB,샵인샵,29,202405
MLB,샵(위탁),11,202405
MLB,기타,1,202405
MLB,면세점,9,202405
MLB,백화점,70,202504
MLB,아울렛,11,202504
MLB,직영점,15,202504
MLB,샵인샵,64,202504
MLB,샵(위탁),28,202504
MLB,기타,0,202504
MLB,면세점,9,202504
MLB,백화점,72,202404
MLB,아울렛,11,202404
MLB,직영점,15,202404
MLB,샵인샵,69,202404
MLB,샵(위탁),29,202404
MLB,기타,1,202404
MLB,면세점,9,202404
MLB,백화점,70,202503
MLB,아울렛,10,202503
MLB,직영점,16,202503
MLB,샵인샵,62,202503
MLB,샵(위탁),23,202503
MLB,기타,0,202503
MLB,면세점,9,202503
MLB,백화점,60,202403
MLB,아울렛,11,202403
MLB,직영점,15,202403
MLB,샵인샵,69,202403
MLB,샵(위탁),28,202403
MLB,기타,1,202403
MLB,면세점,9,202403
MLB,백화점,70,202502
MLB,아울렛,11,202502
MLB,직영점,14,202502
MLB,샵인샵,65,202502
MLB,샵(위탁),27,202502
MLB,기타,0,202502
MLB,면세점,9,202502
MLB,백화점,74,202402
MLB,아울렛,11,202402
MLB,직영점,15,202402
MLB,샵인샵,68,202402
MLB,샵(위탁),29,202402
MLB,기타,1,202402
MLB,면세점,9,202402
MLB,백화점,69,202501
MLB,아울렛,11,202501
MLB,직영점,16,202501
MLB,샵인샵,65,202501
MLB,샵(위탁),26,202501
MLB,기타,0,202501
MLB,면세점,9,202501
MLB,백화점,74,202401
MLB,아울렛,11,202401
MLB,직영점,15,202401
MLB,샵인샵,69,202401
MLB,샵(위탁),23,202401
MLB,기타,1,202401
MLB,면세점,9,202401

