반제/미결항목 기호,연도/월,반제전표,G/L 계정,G/L 계정 설명,전표 유형,전표 번호,개별 항목,입력일,전기일,증빙일,차변/대변지시자,전기 키,사업 영역,사업 영역 내역,현지 통화,금액(현지 통화),금액(전표 통화),전표통화,세금 코드,사업장,텍스트,고객,공급업체,거래처명,세금 번호 2,기능 영역,손익 센터,코스트 센터,코스트센터명,지정,자재,참조 키 1,참조 키 2,참조 키 3,반제일,CATEGORY_L1,CATEGORY_L2,CATEGORY_L3,연월,코스트센터타입
,2024/10,,55170127,광고선전비_물류_재고대체,SC,1800818979,1,2024-11-08,2024-10-31,2024-10-31,S,40,2200,Discovery,KRW,15317,15317.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FX0000,DISCOVERY_공통,FX0000,X23NDKSH4103N,,,,,광고선전비,광고선전비,광고선전비_기타,202410,부서
,2024/10,,55170127,광고선전비_물류_재고대체,SC,1800818980,1,2024-11-08,2024-10-31,2024-10-31,S,40,2200,Discovery,KRW,8437,8437.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FX0000,DISCOVERY_공통,FX0000,X24FDMDJ67046,,,,,광고선전비,광고선전비,광고선전비_기타,202410,부서
,2024/10,,55170127,광고선전비_물류_재고대체,SC,1800818981,1,2024-11-08,2024-10-31,2024-10-31,S,40,2200,Discovery,KRW,4830,4830.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FX0000,DISCOVERY_공통,FX0000,X24FDMDJ8K046,,,,,광고선전비,광고선전비,광고선전비_기타,202410,부서
,2024/10,,55170127,광고선전비_물류_재고대체,SC,1800818982,2,2024-11-08,2024-10-31,2024-10-31,H,50,2200,Discovery,KRW,-5992,-5992.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FX0000,DISCOVERY_공통,FX0000,X24FDWDJ8D046,,,,,광고선전비,광고선전비,광고선전비_기타,202410,부서
,2024/10,,55170127,광고선전비_물류_재고대체,SC,1800818983,1,2024-11-08,2024-10-31,2024-10-31,S,40,2200,Discovery,KRW,2658,2658.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FX0000,DISCOVERY_공통,FX0000,X24FDXDJ8C046,,,,,광고선전비,광고선전비,광고선전비_기타,202410,부서
,2024/10,,55170127,광고선전비_물류_재고대체,SC,1800818984,1,2024-11-08,2024-10-31,2024-10-31,S,40,2200,Discovery,KRW,3811,3811.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FX0000,DISCOVERY_공통,FX0000,X24NDXSH5514N,,,,,광고선전비,광고선전비,광고선전비_기타,202410,부서
,2024/10,,55170127,광고선전비_물류_재고대체,SC,1800818985,1,2024-11-08,2024-10-31,2024-10-31,S,40,2200,Discovery,KRW,1368,1368.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FX0000,DISCOVERY_공통,FX0000,X24NDXSH5534N,,,,,광고선전비,광고선전비,광고선전비_기타,202410,부서
,2024/10,,55170127,광고선전비_물류_재고대체,SC,1800818986,1,2024-11-08,2024-10-31,2024-10-31,S,40,2200,Discovery,KRW,15527,15527.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FX0000,DISCOVERY_공통,FX0000,X24NDXSH6614N,,,,,광고선전비,광고선전비,광고선전비_기타,202410,부서
,2024/10,,55170127,광고선전비_물류_재고대체,SC,1800847539,1,2024-11-12,2024-10-31,2024-10-31,H,50,2200,Discovery,KRW,-15317,-15317.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FX0000,DISCOVERY_공통,FX0000,X23NDKSH4103N,,,,,광고선전비,광고선전비,광고선전비_기타,202410,부서
,2024/10,,55170127,광고선전비_물류_재고대체,SC,1800847540,1,2024-11-12,2024-10-31,2024-10-31,H,50,2200,Discovery,KRW,-8437,-8437.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FX0000,DISCOVERY_공통,FX0000,X24FDMDJ67046,,,,,광고선전비,광고선전비,광고선전비_기타,202410,부서
,2024/10,,55170127,광고선전비_물류_재고대체,SC,1800847541,1,2024-11-12,2024-10-31,2024-10-31,H,50,2200,Discovery,KRW,-4830,-4830.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FX0000,DISCOVERY_공통,FX0000,X24FDMDJ8K046,,,,,광고선전비,광고선전비,광고선전비_기타,202410,부서
,2024/10,,55170127,광고선전비_물류_재고대체,SC,1800847542,2,2024-11-12,2024-10-31,2024-10-31,S,40,2200,Discovery,KRW,5992,5992.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FX0000,DISCOVERY_공통,FX0000,X24FDWDJ8D046,,,,,광고선전비,광고선전비,광고선전비_기타,202410,부서
,2024/10,,55170127,광고선전비_물류_재고대체,SC,1800847543,1,2024-11-12,2024-10-31,2024-10-31,H,50,2200,Discovery,KRW,-2658,-2658.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FX0000,DISCOVERY_공통,FX0000,X24FDXDJ8C046,,,,,광고선전비,광고선전비,광고선전비_기타,202410,부서
,2024/10,,55170127,광고선전비_물류_재고대체,SC,1800847544,1,2024-11-12,2024-10-31,2024-10-31,H,50,2200,Discovery,KRW,-3811,-3811.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FX0000,DISCOVERY_공통,FX0000,X24NDXSH5514N,,,,,광고선전비,광고선전비,광고선전비_기타,202410,부서
,2024/10,,55170127,광고선전비_물류_재고대체,SC,1800847545,1,2024-11-12,2024-10-31,2024-10-31,H,50,2200,Discovery,KRW,-1368,-1368.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FX0000,DISCOVERY_공통,FX0000,X24NDXSH5534N,,,,,광고선전비,광고선전비,광고선전비_기타,202410,부서
,2024/10,,55170127,광고선전비_물류_재고대체,SC,1800847546,1,2024-11-12,2024-10-31,2024-10-31,H,50,2200,Discovery,KRW,-15527,-15527.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FX0000,DISCOVERY_공통,FX0000,X24NDXSH6614N,,,,,광고선전비,광고선전비,광고선전비_기타,202410,부서
