반제/미결항목 기호,연도/월,반제전표,G/L 계정,G/L 계정 설명,전표 유형,전표 번호,개별 항목,입력일,전기일,증빙일,차변/대변지시자,전기 키,사업 영역,사업 영역 내역,현지 통화,금액(현지 통화),금액(전표 통화),전표통화,세금 코드,사업장,텍스트,고객,공급업체,거래처명,세금 번호 2,기능 영역,손익 센터,코스트 센터,코스트센터명,지정,자재,참조 키 1,참조 키 2,참조 키 3,반제일,CATEGORY_L1,CATEGORY_L2,CATEGORY_L3,연월,코스트센터타입
,2024/10,,53010103,제수당,HR,8100000012,46,2024-10-25,2024-10-28,2024-10-28,S,40,2100,MLB,KRW,37181068,37181068.0,KRW,,1000.0,24.10월_MLB_사업담당_제수당,,,,,1000.0,,FM0600,MLB_기획팀,FM0600,,,,,,인건비,인건비,급료와 임금,202410,부서
,2024/10,,53010103,제수당,HR,8100000012,53,2024-10-25,2024-10-28,2024-10-28,S,40,2100,MLB,KRW,76316764,76316764.0,KRW,,1000.0,24.10월_MLB_마케팅팀_제수당,,,,,2000.0,,FM0300,MLB_마케팅팀,FM0300,,,,,,인건비,인건비,급료와 임금,202410,부서
,2024/10,,53010103,제수당,HR,8100000012,67,2024-10-25,2024-10-28,2024-10-28,S,40,2100,MLB,KRW,5243109,5243109.0,KRW,,1000.0,24.10월_MLB_글로벌마케팅팀_제수당,,,,,2000.0,,FM1300,[CLSD]MLB_해외사업,FM1300,,,,,,인건비,인건비,급료와 임금,202410,부서
,2024/10,,53010103,제수당,HR,8100000012,69,2024-10-25,2024-10-28,2024-10-28,S,40,2100,MLB,KRW,67471914,67471914.0,KRW,,1000.0,24.10월_MLB 디자인연구실_용품디자인팀_제수당,,,,,1000.0,,FM0700,MLB_디자인팀,FM0700,,,,,,인건비,인건비,급료와 임금,202410,부서
,2024/10,,53010103,제수당,HR,8100000012,70,2024-10-25,2024-10-28,2024-10-28,S,40,2100,MLB,KRW,54834151,54834151.0,KRW,,1000.0,24.10월_MLB_용품기획팀_제수당,,,,,1000.0,,FM0600,MLB_기획팀,FM0600,,,,,,인건비,인건비,급료와 임금,202410,부서
,2024/10,,53010103,제수당,HR,8100000012,75,2024-10-25,2024-10-28,2024-10-28,S,40,2100,MLB,KRW,6236134,6236134.0,KRW,,1000.0,24.10월_MLB_영업담당_제수당,,,,,2000.0,,FM1000,MLB_파트너채널팀,FM1000,,,,,,인건비,인건비,급료와 임금,202410,부서
,2024/10,,53010103,제수당,HR,8100000012,76,2024-10-25,2024-10-28,2024-10-28,S,40,2100,MLB,KRW,20017866,20017866.0,KRW,,1000.0,24.10월_MLB_영업3팀_제수당,,,,,2000.0,,FM1100,MLB_면세점팀,FM1100,,,,,,인건비,인건비,급료와 임금,202410,부서
,2024/10,,53010103,제수당,HR,8100000012,77,2024-10-25,2024-10-28,2024-10-28,S,40,2100,MLB,KRW,30533288,30533288.0,KRW,,1000.0,24.10월_MLB_영업2팀_제수당,,,,,2000.0,,FM1700,MLB_리테일채널팀,FM1700,,,,,,인건비,인건비,급료와 임금,202410,부서
,2024/10,,53010103,제수당,HR,8100000012,79,2024-10-25,2024-10-28,2024-10-28,S,40,2100,MLB,KRW,38193293,38193293.0,KRW,,1000.0,24.10월_MLB_영업1팀_제수당,,,,,2000.0,,FM1000,MLB_파트너채널팀,FM1000,,,,,,인건비,인건비,급료와 임금,202410,부서
,2024/10,,53010103,제수당,HR,8100000012,83,2024-10-25,2024-10-28,2024-10-28,S,40,2100,MLB,KRW,74612504,74612504.0,KRW,,1000.0,24.10월_MLB 디자인연구실_아우터디자인팀_제수당,,,,,1000.0,,FM0700,MLB_디자인팀,FM0700,,,,,,인건비,인건비,급료와 임금,202410,부서
,2024/10,,53010103,제수당,HR,8100000012,87,2024-10-25,2024-10-28,2024-10-28,S,40,2100,MLB,KRW,29846006,29846006.0,KRW,,1000.0,24.10월_MLB 디자인연구실_슈즈소싱팀_제수당,,,,,1000.0,,FM0800,MLB_슈즈팀,FM0800,,,,,,인건비,인건비,급료와 임금,202410,부서
,2024/10,,53010103,제수당,HR,8100000012,88,2024-10-25,2024-10-28,2024-10-28,S,40,2100,MLB,KRW,21879702,21879702.0,KRW,,1000.0,24.10월_MLB 디자인연구실_슈즈디자인팀_제수당,,,,,1000.0,,FM0800,MLB_슈즈팀,FM0800,,,,,,인건비,인건비,급료와 임금,202410,부서
,2024/10,,53010103,제수당,HR,8100000012,89,2024-10-25,2024-10-28,2024-10-28,S,40,2100,MLB,KRW,29474500,29474500.0,KRW,,1000.0,24.10월_MLB 디자인연구실_슈즈담당_제수당,,,,,1000.0,,FM0800,MLB_슈즈팀,FM0800,,,,,,인건비,인건비,급료와 임금,202410,부서
,2024/10,,53010103,제수당,HR,8100000012,93,2024-10-25,2024-10-28,2024-10-28,S,40,2100,MLB,KRW,25802377,25802377.0,KRW,,1000.0,24.10월_MLB 디자인연구실_소재디자인팀_제수당,,,,,1000.0,,FM0700,MLB_디자인팀,FM0700,,,,,,인건비,인건비,급료와 임금,202410,부서
,2024/10,,53010103,제수당,HR,8100000012,129,2024-10-25,2024-10-28,2024-10-28,S,40,2100,MLB,KRW,26943200,26943200.0,KRW,,1000.0,24.10월_MLB 디자인연구실_그래픽디자인팀_제수당,,,,,1000.0,,FM0700,MLB_디자인팀,FM0700,,,,,,인건비,인건비,급료와 임금,202410,부서
,2024/10,,53010103,제수당,HR,8100000012,138,2024-10-25,2024-10-28,2024-10-28,S,40,2100,MLB,KRW,24068377,24068377.0,KRW,,1000.0,24.10월_MLB_VMD팀_제수당,,,,,2000.0,,FM0500,MLB_VMD팀,FM0500,,,,,,인건비,인건비,급료와 임금,202410,부서
