반제/미결항목 기호,연도/월,반제전표,G/L 계정,G/L 계정 설명,전표 유형,전표 번호,개별 항목,입력일,전기일,증빙일,차변/대변지시자,전기 키,사업 영역,사업 영역 내역,현지 통화,금액(현지 통화),금액(전표 통화),전표통화,세금 코드,사업장,텍스트,고객,공급업체,거래처명,세금 번호 2,기능 영역,손익 센터,코스트 센터,코스트센터명,지정,자재,참조 키 1,참조 키 2,참조 키 3,반제일,CATEGORY_L1,CATEGORY_L2,CATEGORY_L3,연월,코스트센터타입
,2024/10,,55010105,복리후생비_의료보험,K3,3200007582,65,2024-11-04,2024-10-31,2024-10-31,S,40,2100,MLB,KRW,2039900,2039900.0,KRW,VZ,1000.0,24.10월건강보험회사부담분MLB_마케팅팀,,,,,2000.0,,FM0300,MLB_마케팅팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010105,복리후생비_의료보험,K3,3200007582,66,2024-11-04,2024-10-31,2024-10-31,S,40,2100,MLB,KRW,694550,694550.0,KRW,VZ,1000.0,24.10월건강보험회사부담분MLB_VMD팀,,,,,2000.0,,FM0500,MLB_VMD팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010105,복리후생비_의료보험,K3,3200007582,67,2024-11-04,2024-10-31,2024-10-31,S,40,2100,MLB,KRW,1634160,1634160.0,KRW,VZ,1000.0,24.10월건강보험회사부담분MLB_영업1팀,,,,,2000.0,,FM1000,MLB_파트너채널팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010105,복리후생비_의료보험,K3,3200007582,68,2024-11-04,2024-10-31,2024-10-31,S,40,2100,MLB,KRW,1074810,1074810.0,KRW,VZ,1000.0,24.10월건강보험회사부담분MLB_영업2팀,,,,,2000.0,,FM1700,MLB_리테일채널팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010105,복리후생비_의료보험,K3,3200007582,69,2024-11-04,2024-10-31,2024-10-31,S,40,2100,MLB,KRW,821010,821010.0,KRW,VZ,1000.0,24.10월건강보험회사부담분MLB_유통MD팀,,,,,2000.0,,FM1200,MLB_카테고리운영팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010105,복리후생비_의료보험,K3,3200007582,70,2024-11-04,2024-10-31,2024-10-31,S,40,2100,MLB,KRW,1526250,1526250.0,KRW,VZ,1000.0,24.10월건강보험회사부담분MLB_TD팀,,,,,1000.0,,FM1400,MLB_QM팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010105,복리후생비_의료보험,K3,3200007582,71,2024-11-04,2024-10-31,2024-10-31,S,40,2100,MLB,KRW,1193590,1193590.0,KRW,VZ,1000.0,24.10월건강보험회사부담분MLB_용품기획팀,,,,,1000.0,,FM0600,MLB_기획팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010105,복리후생비_의료보험,K3,3200007582,72,2024-11-04,2024-10-31,2024-10-31,S,40,2100,MLB,KRW,2218010,2218010.0,KRW,VZ,1000.0,24.10월건강보험회사부담분MLB_의류기획팀,,,,,1000.0,,FM0600,MLB_기획팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010105,복리후생비_의료보험,K3,3200007582,73,2024-11-04,2024-10-31,2024-10-31,S,40,2100,MLB,KRW,2057590,2057590.0,KRW,VZ,1000.0,24.10월건강보험회사부담분MLB_용품소싱팀,,,,,1000.0,,FM1500,MLB_용품소싱팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010105,복리후생비_의료보험,K3,3200007582,74,2024-11-04,2024-10-31,2024-10-31,S,40,2100,MLB,KRW,2415530,2415530.0,KRW,VZ,1000.0,24.10월건강보험회사부담분MLB_의류소싱팀,,,,,1000.0,,FM0900,MLB_소싱팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010105,복리후생비_의료보험,K3,3200007582,75,2024-11-04,2024-10-31,2024-10-31,S,40,2100,MLB,KRW,589460,589460.0,KRW,VZ,1000.0,24.10월건강보험회사부담분MLB_영업3팀,,,,,2000.0,,FM1100,MLB_면세점팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
