반제/미결항목 기호,연도/월,반제전표,G/L 계정,G/L 계정 설명,전표 유형,전표 번호,개별 항목,입력일,전기일,증빙일,차변/대변지시자,전기 키,사업 영역,사업 영역 내역,현지 통화,금액(현지 통화),금액(전표 통화),전표통화,세금 코드,사업장,텍스트,고객,공급업체,거래처명,세금 번호 2,기능 영역,손익 센터,코스트 센터,코스트센터명,지정,자재,참조 키 1,참조 키 2,참조 키 3,반제일,CATEGORY_L1,CATEGORY_L2,CATEGORY_L3,연월,코스트센터타입
,2025/10,,55050101,차량유지비_차량보조,KR,3000008724,264,2025-11-06,2025-10-31,2025-10-31,S,40,2110,MLB KIDS,KRW,150000,150000.0,KRW,,1000.0,25년 10월 임직원 차량유지비_MLB KIDS_마케팅팀,,,,,2000.0,,FI0300,MLB KIDS_마케팅팀,FI0300,,,,,,기타영업비,복리비/차량/핸드폰,차량유지비,202510,부서
,2025/10,,55050101,차량유지비_차량보조,KR,3000008724,265,2025-11-06,2025-10-31,2025-10-31,S,40,2110,MLB KIDS,KRW,150000,150000.0,KRW,,1000.0,25년 10월 임직원 차량유지비_MLB KIDS_사업담당,,,,,1000.0,,FI0100,MLB KIDS_기획부문담당,FI0100,,,,,,기타영업비,복리비/차량/핸드폰,차량유지비,202510,부서
,2025/10,,55050101,차량유지비_차량보조,KR,3000008724,266,2025-11-06,2025-10-31,2025-10-31,S,40,2110,MLB KIDS,KRW,900000,900000.0,KRW,,1000.0,25년 10월 임직원 차량유지비_MLB KIDS_소싱팀,,,,,1000.0,,FI0700,MLB KIDS_소싱팀,FI0700,,,,,,기타영업비,복리비/차량/핸드폰,차량유지비,202510,부서
,2025/10,,55050101,차량유지비_차량보조,KR,3000008724,267,2025-11-06,2025-10-31,2025-10-31,S,40,2110,MLB KIDS,KRW,150000,150000.0,KRW,,1000.0,25년 10월 임직원 차량유지비_MLB KIDS_슈즈팀,,,,,1000.0,,FI2000,MLB KIDS_슈즈팀,FI2000,,,,,,기타영업비,복리비/차량/핸드폰,차량유지비,202510,부서
,2025/10,,55050101,차량유지비_차량보조,KR,3000008724,268,2025-11-06,2025-10-31,2025-10-31,S,40,2110,MLB KIDS,KRW,750000,750000.0,KRW,,1000.0,25년 10월 임직원 차량유지비_MLB KIDS_영업팀,,,,,2000.0,,FI0800,MLB KIDS_영업팀,FI0800,,,,,,기타영업비,복리비/차량/핸드폰,차량유지비,202510,부서
,2025/10,,55050101,차량유지비_차량보조,KR,3000008724,269,2025-11-06,2025-10-31,2025-10-31,S,40,2110,MLB KIDS,KRW,300000,300000.0,KRW,,1000.0,25년 10월 임직원 차량유지비_MLB KIDS_용품디자인팀,,,,,1000.0,,FI0600,MLB KIDS_디자인팀,FI0600,,,,,,기타영업비,복리비/차량/핸드폰,차량유지비,202510,부서
,2025/10,,55050101,차량유지비_차량보조,KR,3000008724,270,2025-11-06,2025-10-31,2025-10-31,S,40,2110,MLB KIDS,KRW,450000,450000.0,KRW,,1000.0,25년 10월 임직원 차량유지비_MLB KIDS_의류디자인팀,,,,,1000.0,,FI0600,MLB KIDS_디자인팀,FI0600,,,,,,기타영업비,복리비/차량/핸드폰,차량유지비,202510,부서
,2025/10,,55050101,차량유지비_차량보조,KR,3000008724,271,2025-11-06,2025-10-31,2025-10-31,S,40,2110,MLB KIDS,KRW,300000,300000.0,KRW,,1000.0,25년 10월 임직원 차량유지비_MLB KIDS_카테고리운영팀,,,,,2000.0,,FI1000,MLB KIDS_카테고리운영팀,FI1000,,,,,,기타영업비,복리비/차량/핸드폰,차량유지비,202510,부서
,2025/10,,55050101,차량유지비_차량보조,KR,3000008724,284,2025-11-06,2025-10-31,2025-10-31,S,40,2110,MLB KIDS,KRW,300000,300000.0,KRW,,1000.0,25년 10월 임직원 차량유지비_MLB KIDS_기획팀,,,,,1000.0,,FI0500,MLB KIDS_기획팀,FI0500,,,,,,기타영업비,복리비/차량/핸드폰,차량유지비,202510,부서
,2025/10,,55050101,차량유지비_차량보조,KR,3000008724,285,2025-11-06,2025-10-31,2025-10-31,S,40,2110,MLB KIDS,KRW,150000,150000.0,KRW,,1000.0,25년 10월 임직원 차량유지비_MLB KIDS_그래픽디자인팀,,,,,1000.0,,FI0600,MLB KIDS_디자인팀,FI0600,,,,,,기타영업비,복리비/차량/핸드폰,차량유지비,202510,부서
,2025/10,,55050101,차량유지비_차량보조,KR,3000008724,286,2025-11-06,2025-10-31,2025-10-31,S,40,2110,MLB KIDS,KRW,150000,150000.0,KRW,,1000.0,25년 10월 임직원 차량유지비_MLB KIDS_VMD팀,,,,,2000.0,,FI0400,MLB KIDS_VMD팀,FI0400,,,,,,기타영업비,복리비/차량/핸드폰,차량유지비,202510,부서
