반제/미결항목 기호,연도/월,반제전표,G/L 계정,G/L 계정 설명,전표 유형,전표 번호,개별 항목,입력일,전기일,증빙일,차변/대변지시자,전기 키,사업 영역,사업 영역 내역,현지 통화,금액(현지 통화),금액(전표 통화),전표통화,세금 코드,사업장,텍스트,고객,공급업체,거래처명,세금 번호 2,기능 영역,손익 센터,코스트 센터,코스트센터명,지정,자재,참조 키 1,참조 키 2,참조 키 3,반제일,CATEGORY_L1,CATEGORY_L2,CATEGORY_L3,연월,코스트센터타입
,2024/10,,55250115,감가상각비_공기구비품,AF,4000000109,0,2024-11-08,2024-10-31,2024-10-31,S,40,2400,Duvetica,KRW,25725,25725.0,KRW,,,AFB/01/2024/010/01,,,,,2000.0,,FV0200,DUVETICA_TD팀,,,,,,,기타영업비,감가상각비(매장외),감가상각비_일반,202410,부서
,2024/10,,55250115,감가상각비_공기구비품,AF,4000000109,0,2024-11-08,2024-10-31,2024-10-31,S,40,2400,Duvetica,KRW,190667,190667.0,KRW,,,AFB/01/2024/010/01,,,,,2000.0,,ZV9000,DV_온라인(자사몰),,,,,,,기타영업비,감가상각비(매장외),감가상각비_일반,202410,매장
,2024/10,,55250115,감가상각비_공기구비품,AF,4000000109,0,2024-11-08,2024-10-31,2024-10-31,S,40,2400,Duvetica,KRW,28875,28875.0,KRW,,,AFB/01/2024/010/01,,,,,2000.0,,FV0200,DUVETICA_TD팀,,,,,,,기타영업비,감가상각비(매장외),감가상각비_일반,202410,부서
,2024/10,,55250115,감가상각비_공기구비품,AF,4000000109,0,2024-11-08,2024-10-31,2024-10-31,S,40,2400,Duvetica,KRW,17733,17733.0,KRW,,,AFB/01/2024/010/01,,,,,2000.0,,FV0400,[CLSD]DUVETICA_소싱팀,,,,,,,기타영업비,감가상각비(매장외),감가상각비_일반,202410,부서
,2024/10,,55250115,감가상각비_공기구비품,AF,4000000112,0,2024-11-08,2024-10-31,2024-10-31,S,40,2400,Duvetica,KRW,127778,127778.0,KRW,,,AFB/01/2024/010/01,,,,,2000.0,,FV0000,DUVETICA_공통,,,,,,,기타영업비,감가상각비(매장외),감가상각비_일반,202410,부서
,2024/10,,55250115,감가상각비_공기구비품,AF,4000000112,0,2024-11-08,2024-10-31,2024-10-31,S,40,2400,Duvetica,KRW,9967,9967.0,KRW,,,AFB/01/2024/010/01,,,,,1000.0,,FV1100,DUVETICA_디자인팀,,,,,,,기타영업비,감가상각비(매장외),감가상각비_일반,202410,부서
,2024/10,,55250115,감가상각비_공기구비품,AF,4000000112,0,2024-11-08,2024-10-31,2024-10-31,S,40,2400,Duvetica,KRW,9967,9967.0,KRW,,,AFB/01/2024/010/01,,,,,1000.0,,FV1100,DUVETICA_디자인팀,,,,,,,기타영업비,감가상각비(매장외),감가상각비_일반,202410,부서
,2024/10,,55250115,감가상각비_공기구비품,AF,4000000114,0,2024-11-08,2024-10-31,2024-10-31,S,40,2400,Duvetica,KRW,27834,27834.0,KRW,,,AFB/01/2024/010/01,,,,,2000.0,,FV0800,[CLSD]DUVETICA_영업팀,,,,,,,기타영업비,감가상각비(매장외),감가상각비_일반,202410,부서
,2024/10,,55250115,감가상각비_공기구비품,AF,4000000114,0,2024-11-08,2024-10-31,2024-10-31,S,40,2400,Duvetica,KRW,27834,27834.0,KRW,,,AFB/01/2024/010/01,,,,,2000.0,,FV0800,[CLSD]DUVETICA_영업팀,,,,,,,기타영업비,감가상각비(매장외),감가상각비_일반,202410,부서
,2024/10,,55250115,감가상각비_공기구비품,AF,4000000114,0,2024-11-08,2024-10-31,2024-10-31,S,40,2400,Duvetica,KRW,25000,25000.0,KRW,,,AFB/01/2024/010/01,,,,,2000.0,,FV0000,DUVETICA_공통,,,,,,,기타영업비,감가상각비(매장외),감가상각비_일반,202410,부서
,2024/10,,55250115,감가상각비_공기구비품,AF,4000000114,0,2024-11-08,2024-10-31,2024-10-31,S,40,2400,Duvetica,KRW,25834,25834.0,KRW,,,AFB/01/2024/010/01,,,,,2000.0,,FV0000,DUVETICA_공통,,,,,,,기타영업비,감가상각비(매장외),감가상각비_일반,202410,부서
,2024/10,,55250115,감가상각비_공기구비품,AF,4000000114,0,2024-11-08,2024-10-31,2024-10-31,S,40,2400,Duvetica,KRW,66666,66666.0,KRW,,,AFB/01/2024/010/01,,,,,2000.0,,FV0000,DUVETICA_공통,,,,,,,기타영업비,감가상각비(매장외),감가상각비_일반,202410,부서
,2024/10,,55250115,감가상각비_공기구비품,AF,4000000114,0,2024-11-08,2024-10-31,2024-10-31,S,40,2400,Duvetica,KRW,16666,16666.0,KRW,,,AFB/01/2024/010/01,,,,,2000.0,,FV0000,DUVETICA_공통,,,,,,,기타영업비,감가상각비(매장외),감가상각비_일반,202410,부서
,2024/10,,55250115,감가상각비_공기구비품,AF,4000000114,0,2024-11-08,2024-10-31,2024-10-31,S,40,2400,Duvetica,KRW,18334,18334.0,KRW,,,AFB/01/2024/010/01,,,,,2000.0,,FV0000,DUVETICA_공통,,,,,,,기타영업비,감가상각비(매장외),감가상각비_일반,202410,부서
,2024/10,,55250115,감가상각비_공기구비품,AF,4000000114,0,2024-11-08,2024-10-31,2024-10-31,S,40,2400,Duvetica,KRW,15834,15834.0,KRW,,,AFB/01/2024/010/01,,,,,2000.0,,FV0000,DUVETICA_공통,,,,,,,기타영업비,감가상각비(매장외),감가상각비_일반,202410,부서
,2024/10,,55250115,감가상각비_공기구비품,AF,4000000114,0,2024-11-08,2024-10-31,2024-10-31,S,40,2400,Duvetica,KRW,11000,11000.0,KRW,,,AFB/01/2024/010/01,,,,,2000.0,,FV0000,DUVETICA_공통,,,,,,,기타영업비,감가상각비(매장외),감가상각비_일반,202410,부서
,2024/10,,55250115,감가상각비_공기구비품,AF,4000000117,0,2024-11-08,2024-10-31,2024-10-31,S,40,2400,Duvetica,KRW,31417,31417.0,KRW,,,AFB/01/2024/010/01,,,,,2000.0,,FV0800,[CLSD]DUVETICA_영업팀,,,,,,,기타영업비,감가상각비(매장외),감가상각비_일반,202410,부서
,2024/10,,55250115,감가상각비_공기구비품,AF,4000000117,0,2024-11-08,2024-10-31,2024-10-31,S,40,2400,Duvetica,KRW,41000,41000.0,KRW,,,AFB/01/2024/010/01,,,,,2000.0,,FV0200,DUVETICA_TD팀,,,,,,,기타영업비,감가상각비(매장외),감가상각비_일반,202410,부서
,2024/10,,55250115,감가상각비_공기구비품,AF,4000000117,0,2024-11-08,2024-10-31,2024-10-31,S,40,2400,Duvetica,KRW,22334,22334.0,KRW,,,AFB/01/2024/010/01,,,,,2000.0,,FV0200,DUVETICA_TD팀,,,,,,,기타영업비,감가상각비(매장외),감가상각비_일반,202410,부서
,2024/10,,55250115,감가상각비_공기구비품,AF,4000000117,0,2024-11-08,2024-10-31,2024-10-31,S,40,2400,Duvetica,KRW,36583,36583.0,KRW,,,AFB/01/2024/010/01,,,,,1000.0,,FV1100,DUVETICA_디자인팀,,,,,,,기타영업비,감가상각비(매장외),감가상각비_일반,202410,부서
,2024/10,,55250115,감가상각비_공기구비품,AF,4000000118,0,2024-11-08,2024-10-31,2024-10-31,S,40,2400,Duvetica,KRW,23000,23000.0,KRW,,,AFB/01/2024/010/01,,,,,2000.0,,FV0800,[CLSD]DUVETICA_영업팀,,,,,,,기타영업비,감가상각비(매장외),감가상각비_일반,202410,부서
,2024/10,,55250115,감가상각비_공기구비품,AF,4000000118,0,2024-11-08,2024-10-31,2024-10-31,S,40,2400,Duvetica,KRW,17167,17167.0,KRW,,,AFB/01/2024/010/01,,,,,2000.0,,FV0600,DUVETICA_마케팅팀,,,,,,,기타영업비,감가상각비(매장외),감가상각비_일반,202410,부서
,2024/10,,55250115,감가상각비_공기구비품,AF,4000000118,0,2024-11-08,2024-10-31,2024-10-31,S,40,2400,Duvetica,KRW,33917,33917.0,KRW,,,AFB/01/2024/010/01,,,,,2000.0,,FV0000,DUVETICA_공통,,,,,,,기타영업비,감가상각비(매장외),감가상각비_일반,202410,부서
,2024/10,,55250115,감가상각비_공기구비품,AF,4000000118,0,2024-11-08,2024-10-31,2024-10-31,S,40,2400,Duvetica,KRW,51667,51667.0,KRW,,,AFB/01/2024/010/01,,,,,2000.0,,FV0700,DUVETICA_소재팀,,,,,,,기타영업비,감가상각비(매장외),감가상각비_일반,202410,부서
