반제/미결항목 기호,연도/월,반제전표,G/L 계정,G/L 계정 설명,전표 유형,전표 번호,개별 항목,입력일,전기일,증빙일,차변/대변지시자,전기 키,사업 영역,사업 영역 내역,현지 통화,금액(현지 통화),금액(전표 통화),전표통화,세금 코드,사업장,텍스트,고객,공급업체,거래처명,세금 번호 2,기능 영역,손익 센터,코스트 센터,코스트센터명,지정,자재,참조 키 1,참조 키 2,참조 키 3,반제일,CATEGORY_L1,CATEGORY_L2,CATEGORY_L3,연월,코스트센터타입
,2025/10,,55130101,세금과공과_국민연금,K3,3200006643,380,2025-11-05,2025-10-31,2025-10-31,S,40,2110,MLB KIDS,KRW,433120,433120.0,KRW,VZ,1000.0,25.10월 국민연금 회사부담분 MLB KIDS_VMD팀||||,,,,,2000.0,,FI0400,MLB KIDS_VMD팀,4대 사회보험료,,,,,,인건비,인건비,세금과공과_국민연금,202510,부서
,2025/10,,55130101,세금과공과_국민연금,K3,3200006643,381,2025-11-05,2025-10-31,2025-10-31,S,40,2110,MLB KIDS,KRW,1153890,1153890.0,KRW,VZ,1000.0,25.10월 국민연금 회사부담분 MLB KIDS_기획팀||||,,,,,1000.0,,FI0500,MLB KIDS_기획팀,4대 사회보험료,,,,,,인건비,인건비,세금과공과_국민연금,202510,부서
,2025/10,,55130101,세금과공과_국민연금,K3,3200006643,382,2025-11-05,2025-10-31,2025-10-31,S,40,2110,MLB KIDS,KRW,2586750,2586750.0,KRW,VZ,1000.0,25.10월 국민연금 회사부담분 MLB KIDS_소싱팀||||,,,,,1000.0,,FI0700,MLB KIDS_소싱팀,4대 사회보험료,,,,,,인건비,인건비,세금과공과_국민연금,202510,부서
,2025/10,,55130101,세금과공과_국민연금,K3,3200006643,383,2025-11-05,2025-10-31,2025-10-31,S,40,2110,MLB KIDS,KRW,882170,882170.0,KRW,VZ,1000.0,25.10월 국민연금 회사부담분 MLB KIDS_마케팅팀||||,,,,,2000.0,,FI0300,MLB KIDS_마케팅팀,4대 사회보험료,,,,,,인건비,인건비,세금과공과_국민연금,202510,부서
,2025/10,,55130101,세금과공과_국민연금,K3,3200006643,384,2025-11-05,2025-10-31,2025-10-31,S,40,2110,MLB KIDS,KRW,286650,286650.0,KRW,VZ,1000.0,25.10월 국민연금 회사부담분 MLB KIDS_사업담당||||,,,,,1000.0,,FI0500,MLB KIDS_기획팀,4대 사회보험료,,,,,,인건비,인건비,세금과공과_국민연금,202510,부서
,2025/10,,55130101,세금과공과_국민연금,K3,3200006643,385,2025-11-05,2025-10-31,2025-10-31,S,40,2110,MLB KIDS,KRW,269100,269100.0,KRW,VZ,1000.0,25.10월 국민연금 회사부담분 MLB KIDS_슈즈팀||||,,,,,1000.0,,FI2000,MLB KIDS_슈즈팀,4대 사회보험료,,,,,,인건비,인건비,세금과공과_국민연금,202510,부서
,2025/10,,55130101,세금과공과_국민연금,K3,3200006643,386,2025-11-05,2025-10-31,2025-10-31,S,40,2110,MLB KIDS,KRW,334120,334120.0,KRW,VZ,1000.0,25.10월 국민연금 회사부담분 MLBKIDS 디자인연구실_슈즈팀||||,,,,,1000.0,,FI2000,MLB KIDS_슈즈팀,4대 사회보험료,,,,,,인건비,인건비,세금과공과_국민연금,202510,부서
,2025/10,,55130101,세금과공과_국민연금,K3,3200006643,387,2025-11-05,2025-10-31,2025-10-31,S,40,2110,MLB KIDS,KRW,900350,900350.0,KRW,VZ,1000.0,25.10월 국민연금 회사부담분 MLBKIDS 디자인연구실_용품디자인팀||||,,,,,1000.0,,FI0600,MLB KIDS_디자인팀,4대 사회보험료,,,,,,인건비,인건비,세금과공과_국민연금,202510,부서
,2025/10,,55130101,세금과공과_국민연금,K3,3200006643,388,2025-11-05,2025-10-31,2025-10-31,S,40,2110,MLB KIDS,KRW,2122050,2122050.0,KRW,VZ,1000.0,25.10월 국민연금 회사부담분 MLBKIDS 디자인연구실_의류디자인팀||||,,,,,1000.0,,FI0600,MLB KIDS_디자인팀,4대 사회보험료,,,,,,인건비,인건비,세금과공과_국민연금,202510,부서
,2025/10,,55130101,세금과공과_국민연금,K3,3200006643,389,2025-11-05,2025-10-31,2025-10-31,S,40,2110,MLB KIDS,KRW,711930,711930.0,KRW,VZ,1000.0,25.10월 국민연금 회사부담분 MLBKIDS 디자인연구실_소재디자인팀||||,,,,,1000.0,,FI0600,MLB KIDS_디자인팀,4대 사회보험료,,,,,,인건비,인건비,세금과공과_국민연금,202510,부서
