반제/미결항목 기호,연도/월,반제전표,G/L 계정,G/L 계정 설명,전표 유형,전표 번호,개별 항목,입력일,전기일,증빙일,차변/대변지시자,전기 키,사업 영역,사업 영역 내역,현지 통화,금액(현지 통화),금액(전표 통화),전표통화,세금 코드,사업장,텍스트,고객,공급업체,거래처명,세금 번호 2,기능 영역,손익 센터,코스트 센터,코스트센터명,지정,자재,참조 키 1,참조 키 2,참조 키 3,반제일,CATEGORY_L1,CATEGORY_L2,CATEGORY_L3,연월,코스트센터타입
,2025/10,,55110127,소모품비_유니폼사용,DA,2000131606,1,2025-10-30,2025-10-29,2025-10-29,S,40,2200,Discovery,KRW,19818,19818.0,KRW,,1000.0,X25SDMPT7C053,,,,,2000.0,,FX0000,DISCOVERY_공통,0000101179,,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_유니폼사용,202510,부서
,2025/10,,55110127,소모품비_유니폼사용,DA,2000131607,1,2025-10-30,2025-10-29,2025-10-29,S,40,2200,Discovery,KRW,12546,12546.0,KRW,,1000.0,X25SDXRS83053,,,,,2000.0,,FX0000,DISCOVERY_공통,0000101179,,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_유니폼사용,202510,부서
,2025/10,,55110127,소모품비_유니폼사용,DA,2000131608,1,2025-10-30,2025-10-29,2025-10-29,S,40,2200,Discovery,KRW,15364,15364.0,KRW,,1000.0,X25NDXSH4305N,,,,,2000.0,,FX0000,DISCOVERY_공통,0000101179,,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_유니폼사용,202510,부서
,2025/10,,55110127,소모품비_유니폼사용,DA,2000131609,1,2025-10-30,2025-10-29,2025-10-29,S,40,2200,Discovery,KRW,1091,1091.0,KRW,,1250.0,X24NDXSO7024N,,,,,2000.0,,FX0000,DISCOVERY_공통,0000106017,,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_유니폼사용,202510,부서
,2025/10,,55110127,소모품비_유니폼사용,DA,2000131610,1,2025-10-30,2025-10-29,2025-10-29,S,40,2200,Discovery,KRW,1091,1091.0,KRW,,1250.0,X24NDXSO7044N,,,,,2000.0,,FX0000,DISCOVERY_공통,0000106017,,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_유니폼사용,202510,부서
,2025/10,,55110127,소모품비_유니폼사용,DA,2000131611,1,2025-10-30,2025-10-29,2025-10-29,S,40,2200,Discovery,KRW,2182,2182.0,KRW,,1250.0,X24NDXSO7014N,,,,,2000.0,,FX0000,DISCOVERY_공통,0000106017,,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_유니폼사용,202510,부서
,2025/10,,55110127,소모품비_유니폼사용,DA,2000131612,1,2025-10-30,2025-10-29,2025-10-29,S,40,2200,Discovery,KRW,1091,1091.0,KRW,,1250.0,X24NDXSO7084N,,,,,2000.0,,FX0000,DISCOVERY_공통,0000106017,,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_유니폼사용,202510,부서
,2025/10,,55110127,소모품비_유니폼사용,DA,2000131613,1,2025-10-30,2025-10-29,2025-10-29,S,40,2200,Discovery,KRW,6273,6273.0,KRW,,1250.0,X25SDXRS8R053,,,,,2000.0,,FX0000,DISCOVERY_공통,0000106017,,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_유니폼사용,202510,부서
,2025/10,,55110127,소모품비_유니폼사용,DA,2000131614,1,2025-10-30,2025-10-29,2025-10-29,S,40,2200,Discovery,KRW,10818,10818.0,KRW,,1250.0,X25SDMPT7E053,,,,,2000.0,,FX0000,DISCOVERY_공통,0000106017,,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_유니폼사용,202510,부서
,2025/10,,55110127,소모품비_유니폼사용,DA,2000131615,1,2025-10-30,2025-10-29,2025-10-29,S,40,2200,Discovery,KRW,43092,43092.0,KRW,,1250.0,X25SDWSP72053,,,,,2000.0,,FX0000,DISCOVERY_공통,0000106017,,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_유니폼사용,202510,부서
