반제/미결항목 기호,연도/월,반제전표,G/L 계정,G/L 계정 설명,전표 유형,전표 번호,개별 항목,입력일,전기일,증빙일,차변/대변지시자,전기 키,사업 영역,사업 영역 내역,현지 통화,금액(현지 통화),금액(전표 통화),전표통화,세금 코드,사업장,텍스트,고객,공급업체,거래처명,세금 번호 2,기능 영역,손익 센터,코스트 센터,코스트센터명,지정,자재,참조 키 1,참조 키 2,참조 키 3,반제일,CATEGORY_L1,CATEGORY_L2,CATEGORY_L3,연월,코스트센터타입
,2025/10,,55010129,복리후생비_산재보험,K3,3200006643,312,2025-11-05,2025-10-31,2025-10-31,S,40,2200,Discovery,KRW,351036,351036.0,KRW,VZ,1000.0,25.10월 산재보험 회사부담분 Discovery_마케팅팀||||,,,,,2000.0,,FX0300,DISCOVERY_마케팅팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202510,부서
,2025/10,,55010129,복리후생비_산재보험,K3,3200006643,313,2025-11-05,2025-10-31,2025-10-31,S,40,2200,Discovery,KRW,133538,133538.0,KRW,VZ,1000.0,25.10월 산재보험 회사부담분 Discovery_VMD팀||||,,,,,2000.0,,FX0400,DISCOVERY_VMD팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202510,부서
,2025/10,,55010129,복리후생비_산재보험,K3,3200006643,314,2025-11-05,2025-10-31,2025-10-31,S,40,2200,Discovery,KRW,80912,80912.0,KRW,VZ,1000.0,25.10월 산재보험 회사부담분 Discovery_소싱부문담당||||,,,,,1000.0,,FX1600,DISCOVERY_소싱팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202510,부서
,2025/10,,55010129,복리후생비_산재보험,K3,3200006643,315,2025-11-05,2025-10-31,2025-10-31,S,40,2200,Discovery,KRW,346798,346798.0,KRW,VZ,1000.0,25.10월 산재보험 회사부담분 Discovery_유통1팀||||,,,,,2000.0,,FX1200,DISCOVERY_유통1팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202510,부서
,2025/10,,55010129,복리후생비_산재보험,K3,3200006643,316,2025-11-05,2025-10-31,2025-10-31,S,40,2200,Discovery,KRW,165294,165294.0,KRW,VZ,1000.0,25.10월 산재보험 회사부담분 Discovery 디자인연구실_키즈팀||||,,,,,1000.0,,FX0500,DISCOVERY_KIDS 디자인팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202510,부서
,2025/10,,55010129,복리후생비_산재보험,K3,3200006643,317,2025-11-05,2025-10-31,2025-10-31,S,40,2200,Discovery,KRW,354550,354550.0,KRW,VZ,1000.0,25.10월 산재보험 회사부담분 Discovery_QM팀||||,,,,,1000.0,,FX1000,DISCOVERY_QM팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202510,부서
,2025/10,,55010129,복리후생비_산재보험,K3,3200006643,318,2025-11-05,2025-10-31,2025-10-31,S,40,2200,Discovery,KRW,189916,189916.0,KRW,VZ,1000.0,25.10월 산재보험 회사부담분 Discovery_소재팀||||,,,,,1000.0,,FX1100,DISCOVERY_소재팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202510,부서
,2025/10,,55010129,복리후생비_산재보험,K3,3200006643,319,2025-11-05,2025-10-31,2025-10-31,S,40,2200,Discovery,KRW,268812,268812.0,KRW,VZ,1000.0,25.10월 산재보험 회사부담분 Discovery_유통2팀||||,,,,,2000.0,,FX1300,DISCOVERY_유통2팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202510,부서
,2025/10,,55010129,복리후생비_산재보험,K3,3200006643,320,2025-11-05,2025-10-31,2025-10-31,S,40,2200,Discovery,KRW,372438,372438.0,KRW,VZ,1000.0,25.10월 산재보험 회사부담분 Discovery_의류기획팀||||,,,,,1000.0,,FX1500,DISCOVERY_기획팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202510,부서
,2025/10,,55010129,복리후생비_산재보험,K3,3200006643,321,2025-11-05,2025-10-31,2025-10-31,S,40,2200,Discovery,KRW,319624,319624.0,KRW,VZ,1000.0,25.10월 산재보험 회사부담분 Discovery_카테고리운영팀||||,,,,,2000.0,,FX1400,DISCOVERY_카테고리운영팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202510,부서
,2025/10,,55010129,복리후생비_산재보험,K3,3200006643,322,2025-11-05,2025-10-31,2025-10-31,S,40,2200,Discovery,KRW,109974,109974.0,KRW,VZ,1000.0,25.10월 산재보험 회사부담분 Discovery_키즈팀||||,,,,,1000.0,,FX2300,DISCOVERY_KIDS 기획팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202510,부서
,2025/10,,55010129,복리후생비_산재보험,K3,3200006643,323,2025-11-05,2025-10-31,2025-10-31,S,40,2200,Discovery,KRW,36529,36529.0,KRW,VZ,1000.0,25.10월 산재보험 회사부담분 Discovery_운영기획팀||||,,,,,1000.0,,FX2400,DISCOVERY_운영기획팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202510,부서
