반제/미결항목 기호,연도/월,반제전표,G/L 계정,G/L 계정 설명,전표 유형,전표 번호,개별 항목,입력일,전기일,증빙일,차변/대변지시자,전기 키,사업 영역,사업 영역 내역,현지 통화,금액(현지 통화),금액(전표 통화),전표통화,세금 코드,사업장,텍스트,고객,공급업체,거래처명,세금 번호 2,기능 영역,손익 센터,코스트 센터,코스트센터명,지정,자재,참조 키 1,참조 키 2,참조 키 3,반제일,CATEGORY_L1,CATEGORY_L2,CATEGORY_L3,연월,코스트센터타입
,2025/10,,55350101,수선비_기타,Z2,2000136629,1,2025-11-06,2025-10-31,2025-10-31,H,50,2100,MLB,KRW,-150000,-150000.0,KRW,A2,1000.0,25.10월 수선비 마감(대리점/중간관리자),,,,,2000.0,,ZM0070,M_갤러리아진주(백),ZM0070,,,,,,기타영업비,수선비,수선비_기타,202510,매장
,2025/10,,55350101,수선비_기타,Z2,2000136630,1,2025-11-06,2025-10-31,2025-10-31,H,50,2100,MLB,KRW,-137000,-137000.0,KRW,A2,1000.0,25.10월 수선비 마감(대리점/중간관리자),,,,,2000.0,,ZM0830,M_롯데강남(백),ZM0830,,,,,,기타영업비,수선비,수선비_기타,202510,매장
,2025/10,,55350101,수선비_기타,Z2,2000136631,1,2025-11-06,2025-10-31,2025-10-31,H,50,2100,MLB,KRW,-42000,-42000.0,KRW,A2,1000.0,25.10월 수선비 마감(대리점/중간관리자),,,,,2000.0,,ZM0910,M_롯데일산(백),ZM0910,,,,,,기타영업비,수선비,수선비_기타,202510,매장
,2025/10,,55350101,수선비_기타,Z2,2000136632,1,2025-11-06,2025-10-31,2025-10-31,H,50,2100,MLB,KRW,-60000,-60000.0,KRW,A2,1000.0,25.10월 수선비 마감(대리점/중간관리자),,,,,2000.0,,ZM0960,M_롯데청량리(백),ZM0960,,,,,,기타영업비,수선비,수선비_기타,202510,매장
,2025/10,,55350101,수선비_기타,Z2,2000136633,1,2025-11-06,2025-10-31,2025-10-31,H,50,2100,MLB,KRW,-20000,-20000.0,KRW,A2,1000.0,25.10월 수선비 마감(대리점/중간관리자),,,,,2000.0,,ZM0130,M_신세계경기(백),ZM0130,,,,,,기타영업비,수선비,수선비_기타,202510,매장
,2025/10,,55350101,수선비_기타,Z2,2000136634,1,2025-11-06,2025-10-31,2025-10-31,H,50,2100,MLB,KRW,-8000,-8000.0,KRW,A2,1000.0,25.10월 수선비 마감(대리점/중간관리자),,,,,2000.0,,ZM0850,M_롯데광복(백),ZM0850,,,,,,기타영업비,수선비,수선비_기타,202510,매장
,2025/10,,55350101,수선비_기타,Z2,2000136635,1,2025-11-06,2025-10-31,2025-10-31,H,50,2100,MLB,KRW,-68000,-68000.0,KRW,A2,1000.0,25.10월 수선비 마감(대리점/중간관리자),,,,,2000.0,,ZM0150,M_신세계센텀(백),ZM0150,,,,,,기타영업비,수선비,수선비_기타,202510,매장
,2025/10,,55350101,수선비_기타,Z2,2000136636,1,2025-11-06,2025-10-31,2025-10-31,H,50,2100,MLB,KRW,-76000,-76000.0,KRW,A2,1000.0,25.10월 수선비 마감(대리점/중간관리자),,,,,2000.0,,ZM0180,M_현대킨텍스(백),ZM0180,,,,,,기타영업비,수선비,수선비_기타,202510,매장
,2025/10,,55350101,수선비_기타,Z2,2000136637,1,2025-11-06,2025-10-31,2025-10-31,H,50,2100,MLB,KRW,-17000,-17000.0,KRW,A2,1000.0,25.10월 수선비 마감(대리점/중간관리자),,,,,2000.0,,ZM0240,M_갤러리아센터시티(백),ZM0240,,,,,,기타영업비,수선비,수선비_기타,202510,매장
,2025/10,,55350101,수선비_기타,Z2,2000136638,1,2025-11-06,2025-10-31,2025-10-31,H,50,2100,MLB,KRW,-8000,-8000.0,KRW,A2,1000.0,25.10월 수선비 마감(대리점/중간관리자),,,,,2000.0,,ZM0280,M_현대대구(백),ZM0280,,,,,,기타영업비,수선비,수선비_기타,202510,매장
