반제/미결항목 기호,연도/월,반제전표,G/L 계정,G/L 계정 설명,전표 유형,전표 번호,개별 항목,입력일,전기일,증빙일,차변/대변지시자,전기 키,사업 영역,사업 영역 내역,현지 통화,금액(현지 통화),금액(전표 통화),전표통화,세금 코드,사업장,텍스트,고객,공급업체,거래처명,세금 번호 2,기능 영역,손익 센터,코스트 센터,코스트센터명,지정,자재,참조 키 1,참조 키 2,참조 키 3,반제일,CATEGORY_L1,CATEGORY_L2,CATEGORY_L3,연월,코스트센터타입
,2024/10,,55110109,소모품비_쇼핑백사용,WA,6105974561,24,2024-10-12,2024-10-01,2024-10-01,S,81,2600,SERGIO TACCHINI,KRW,164953,164953.0,KRW,,,,105342.0,,세르지오타키니,6901500559.0,2000.0,,FT0000,ST_공통,FT0000,STXTS009,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_쇼핑백사용,202410,부서
,2024/10,,55110109,소모품비_쇼핑백사용,WA,6105974561,26,2024-10-12,2024-10-01,2024-10-01,S,81,2600,SERGIO TACCHINI,KRW,206957,206957.0,KRW,,,,105342.0,,세르지오타키니,6901500559.0,2000.0,,FT0000,ST_공통,FT0000,STXTS010,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_쇼핑백사용,202410,부서
,2024/10,,55110109,소모품비_쇼핑백사용,WA,6105974561,28,2024-10-12,2024-10-01,2024-10-01,S,81,2600,SERGIO TACCHINI,KRW,282179,282179.0,KRW,,,,105342.0,,세르지오타키니,6901500559.0,2000.0,,FT0000,ST_공통,FT0000,STXTS011,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_쇼핑백사용,202410,부서
,2024/10,,55110109,소모품비_쇼핑백사용,WA,6105974561,30,2024-10-12,2024-10-01,2024-10-01,S,81,2600,SERGIO TACCHINI,KRW,184488,184488.0,KRW,,,,105342.0,,세르지오타키니,6901500559.0,2000.0,,FT0000,ST_공통,FT0000,STXTS012,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_쇼핑백사용,202410,부서
,2024/10,,55110109,소모품비_쇼핑백사용,WA,6105974562,24,2024-10-12,2024-10-01,2024-10-01,H,91,2600,SERGIO TACCHINI,KRW,-164953,-164953.0,KRW,,,,105342.0,,세르지오타키니,6901500559.0,2000.0,,FT0000,ST_공통,FT0000,STXTS009,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_쇼핑백사용,202410,부서
,2024/10,,55110109,소모품비_쇼핑백사용,WA,6105974562,26,2024-10-12,2024-10-01,2024-10-01,H,91,2600,SERGIO TACCHINI,KRW,-206957,-206957.0,KRW,,,,105342.0,,세르지오타키니,6901500559.0,2000.0,,FT0000,ST_공통,FT0000,STXTS010,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_쇼핑백사용,202410,부서
,2024/10,,55110109,소모품비_쇼핑백사용,WA,6105974562,28,2024-10-12,2024-10-01,2024-10-01,H,91,2600,SERGIO TACCHINI,KRW,-282179,-282179.0,KRW,,,,105342.0,,세르지오타키니,6901500559.0,2000.0,,FT0000,ST_공통,FT0000,STXTS011,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_쇼핑백사용,202410,부서
,2024/10,,55110109,소모품비_쇼핑백사용,WA,6105974562,30,2024-10-12,2024-10-01,2024-10-01,H,91,2600,SERGIO TACCHINI,KRW,-184488,-184488.0,KRW,,,,105342.0,,세르지오타키니,6901500559.0,2000.0,,FT0000,ST_공통,FT0000,STXTS012,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_쇼핑백사용,202410,부서
,2024/10,,55110109,소모품비_쇼핑백사용,WA,6105974566,6,2024-10-12,2024-10-11,2024-10-11,S,81,2600,SERGIO TACCHINI,KRW,105000,105000.0,KRW,,,,104939.0,,자가소모(저장품),0.0,2000.0,,FT0000,ST_공통,FT0000,STXTS008,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_쇼핑백사용,202410,부서
,2024/10,,55110109,소모품비_쇼핑백사용,WA,6105974566,8,2024-10-12,2024-10-11,2024-10-11,S,81,2600,SERGIO TACCHINI,KRW,142600,142600.0,KRW,,,,104939.0,,자가소모(저장품),0.0,2000.0,,FT0000,ST_공통,FT0000,STXTS006,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_쇼핑백사용,202410,부서
,2024/10,,55110109,소모품비_쇼핑백사용,WA,6105974566,10,2024-10-12,2024-10-11,2024-10-11,S,81,2600,SERGIO TACCHINI,KRW,84000,84000.0,KRW,,,,104939.0,,자가소모(저장품),0.0,2000.0,,FT0000,ST_공통,FT0000,STXTS005,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_쇼핑백사용,202410,부서
