반제/미결항목 기호,연도/월,반제전표,G/L 계정,G/L 계정 설명,전표 유형,전표 번호,개별 항목,입력일,전기일,증빙일,차변/대변지시자,전기 키,사업 영역,사업 영역 내역,현지 통화,금액(현지 통화),금액(전표 통화),전표통화,세금 코드,사업장,텍스트,고객,공급업체,거래처명,세금 번호 2,기능 영역,손익 센터,코스트 센터,코스트센터명,지정,자재,참조 키 1,참조 키 2,참조 키 3,반제일,CATEGORY_L1,CATEGORY_L2,CATEGORY_L3,연월,코스트센터타입
,2024/10,,55170125,광고선전비_물류,DA,2000135646,1,2024-10-11,2024-10-10,2024-10-10,S,40,2600,SERGIO TACCHINI,KRW,153729,153729.0,KRW,,1000.0,ST24STMRS10743,,,,,2000.0,,FT0000,ST_공통,0000104932,,,,,,광고선전비,광고선전비,광고선전비_협찬/제휴,202410,부서
,2024/10,,55170125,광고선전비_물류,DA,2000135647,1,2024-10-11,2024-10-10,2024-10-10,S,40,2600,SERGIO TACCHINI,KRW,48546,48546.0,KRW,,1000.0,ST24STWRS10743,,,,,2000.0,,FT0000,ST_공통,0000104932,,,,,,광고선전비,광고선전비,광고선전비_협찬/제휴,202410,부서
,2024/10,,55170125,광고선전비_물류,DA,2000135648,1,2024-10-11,2024-10-10,2024-10-10,S,40,2600,SERGIO TACCHINI,KRW,375480,375480.0,KRW,,1000.0,ST24NTXCP9044N,,,,,2000.0,,FT0000,ST_공통,0000104932,,,,,,광고선전비,광고선전비,광고선전비_협찬/제휴,202410,부서
,2024/10,,55170125,광고선전비_물류,DA,2000135649,1,2024-10-11,2024-10-10,2024-10-10,S,40,2600,SERGIO TACCHINI,KRW,23545,23545.0,KRW,,1000.0,ST24NTXBW9014N,,,,,2000.0,,FT0000,ST_공통,0000104932,,,,,,광고선전비,광고선전비,광고선전비_협찬/제휴,202410,부서
,2024/10,,55170125,광고선전비_물류,DA,2000141258,1,2024-10-18,2024-10-17,2024-10-17,S,40,2600,SERGIO TACCHINI,KRW,423810,423810.0,KRW,,1000.0,ST24NTXBW9014N,,,,,2000.0,,FT0000,ST_공통,0000104932,,,,,,광고선전비,광고선전비,광고선전비_협찬/제휴,202410,부서
,2024/10,,55170125,광고선전비_물류,DA,2000141259,1,2024-10-18,2024-10-17,2024-10-17,S,40,2600,SERGIO TACCHINI,KRW,135450,135450.0,KRW,,1000.0,ST24FTMMT64044,,,,,2000.0,,FT0000,ST_공통,0000104932,,,,,,광고선전비,광고선전비,광고선전비_협찬/제휴,202410,부서
,2024/10,,55170125,광고선전비_물류,DA,2000141260,1,2024-10-18,2024-10-17,2024-10-17,S,40,2600,SERGIO TACCHINI,KRW,27090,27090.0,KRW,,1000.0,ST24FTWMT64044,,,,,2000.0,,FT0000,ST_공통,0000104932,,,,,,광고선전비,광고선전비,광고선전비_협찬/제휴,202410,부서
,2024/10,,55170125,광고선전비_물류,DA,2000141261,1,2024-10-18,2024-10-17,2024-10-17,H,50,2600,SERGIO TACCHINI,KRW,-423810,-423810.0,KRW,,1000.0,ST24NTXBW9014N,,,,,2000.0,,FT0000,ST_공통,0000104932,,,,,,광고선전비,광고선전비,광고선전비_협찬/제휴,202410,부서
,2024/10,,55170125,광고선전비_물류,DA,2000141262,1,2024-10-18,2024-10-17,2024-10-17,H,50,2600,SERGIO TACCHINI,KRW,-135450,-135450.0,KRW,,1000.0,ST24FTMMT64044,,,,,2000.0,,FT0000,ST_공통,0000104932,,,,,,광고선전비,광고선전비,광고선전비_협찬/제휴,202410,부서
,2024/10,,55170125,광고선전비_물류,DA,2000141263,1,2024-10-18,2024-10-17,2024-10-17,H,50,2600,SERGIO TACCHINI,KRW,-27090,-27090.0,KRW,,1000.0,ST24FTWMT64044,,,,,2000.0,,FT0000,ST_공통,0000104932,,,,,,광고선전비,광고선전비,광고선전비_협찬/제휴,202410,부서
,2024/10,,55170125,광고선전비_물류,DA,2000141545,1,2024-10-22,2024-10-21,2024-10-21,S,40,2600,SERGIO TACCHINI,KRW,97908,97908.0,KRW,,1000.0,ST24FTWDJ70146,,,,,2000.0,,FT0000,ST_공통,0000104931,,,,,,광고선전비,광고선전비,광고선전비_협찬/제휴,202410,부서
,2024/10,,55170125,광고선전비_물류,DA,2000141546,1,2024-10-22,2024-10-21,2024-10-21,S,40,2600,SERGIO TACCHINI,KRW,29000,29000.0,KRW,,1000.0,ST24FTWDJ20446,,,,,2000.0,,FT0000,ST_공통,0000104931,,,,,,광고선전비,광고선전비,광고선전비_협찬/제휴,202410,부서
,2024/10,,55170125,광고선전비_물류,DA,2000141547,1,2024-10-22,2024-10-21,2024-10-21,S,40,2600,SERGIO TACCHINI,KRW,58000,58000.0,KRW,,1000.0,ST24FTMDJ20446,,,,,2000.0,,FT0000,ST_공통,0000104931,,,,,,광고선전비,광고선전비,광고선전비_협찬/제휴,202410,부서
