반제/미결항목 기호,연도/월,반제전표,G/L 계정,G/L 계정 설명,전표 유형,전표 번호,개별 항목,입력일,전기일,증빙일,차변/대변지시자,전기 키,사업 영역,사업 영역 내역,현지 통화,금액(현지 통화),금액(전표 통화),전표통화,세금 코드,사업장,텍스트,고객,공급업체,거래처명,세금 번호 2,기능 영역,손익 센터,코스트 센터,코스트센터명,지정,자재,참조 키 1,참조 키 2,참조 키 3,반제일,CATEGORY_L1,CATEGORY_L2,CATEGORY_L3,연월,코스트센터타입
,2024/10,,55170127,광고선전비_물류_재고대체,WA,6105955023,2,2024-10-11,2024-10-10,2024-10-10,S,81,2600,SERGIO TACCHINI,KRW,440610,440610.0,KRW,,,,104932.0,,자가소모(광고선전),0.0,2000.0,,FT0000,ST_공통,FT0000,ST24STMRS10743,,,,,광고선전비,광고선전비,광고선전비_기타,202410,부서
,2024/10,,55170127,광고선전비_물류_재고대체,WA,6105955023,4,2024-10-11,2024-10-10,2024-10-10,S,81,2600,SERGIO TACCHINI,KRW,116820,116820.0,KRW,,,,104932.0,,자가소모(광고선전),0.0,2000.0,,FT0000,ST_공통,FT0000,ST24STWRS10743,,,,,광고선전비,광고선전비,광고선전비_기타,202410,부서
,2024/10,,55170127,광고선전비_물류_재고대체,WA,6105955023,6,2024-10-11,2024-10-10,2024-10-10,S,81,2600,SERGIO TACCHINI,KRW,749000,749000.0,KRW,,,,104932.0,,자가소모(광고선전),0.0,2000.0,,FT0000,ST_공통,FT0000,ST24NTXCP9044N,,,,,광고선전비,광고선전비,광고선전비_기타,202410,부서
,2024/10,,55170127,광고선전비_물류_재고대체,WA,6105955023,8,2024-10-11,2024-10-10,2024-10-10,S,81,2600,SERGIO TACCHINI,KRW,66650,66650.0,KRW,,,,104932.0,,자가소모(광고선전),0.0,2000.0,,FT0000,ST_공통,FT0000,ST24NTXBW9014N,,,,,광고선전비,광고선전비,광고선전비_기타,202410,부서
,2024/10,,55170127,광고선전비_물류_재고대체,WA,6106089222,2,2024-10-18,2024-10-17,2024-10-17,S,81,2600,SERGIO TACCHINI,KRW,1199700,1199700.0,KRW,,,,104932.0,,자가소모(광고선전),0.0,2000.0,,FT0000,ST_공통,FT0000,ST24NTXBW9014N,,,,,광고선전비,광고선전비,광고선전비_기타,202410,부서
,2024/10,,55170127,광고선전비_물류_재고대체,WA,6106089222,4,2024-10-18,2024-10-17,2024-10-17,S,81,2600,SERGIO TACCHINI,KRW,350400,350400.0,KRW,,,,104932.0,,자가소모(광고선전),0.0,2000.0,,FT0000,ST_공통,FT0000,ST24FTMMT64044,,,,,광고선전비,광고선전비,광고선전비_기타,202410,부서
,2024/10,,55170127,광고선전비_물류_재고대체,WA,6106089222,6,2024-10-18,2024-10-17,2024-10-17,S,81,2600,SERGIO TACCHINI,KRW,62020,62020.0,KRW,,,,104932.0,,자가소모(광고선전),0.0,2000.0,,FT0000,ST_공통,FT0000,ST24FTWMT64044,,,,,광고선전비,광고선전비,광고선전비_기타,202410,부서
,2024/10,,55170127,광고선전비_물류_재고대체,WA,6106089223,2,2024-10-18,2024-10-17,2024-10-17,H,91,2600,SERGIO TACCHINI,KRW,-1199700,-1199700.0,KRW,,,,104932.0,,자가소모(광고선전),0.0,2000.0,,FT0000,ST_공통,FT0000,ST24NTXBW9014N,,,,,광고선전비,광고선전비,광고선전비_기타,202410,부서
,2024/10,,55170127,광고선전비_물류_재고대체,WA,6106089223,4,2024-10-18,2024-10-17,2024-10-17,H,91,2600,SERGIO TACCHINI,KRW,-350400,-350400.0,KRW,,,,104932.0,,자가소모(광고선전),0.0,2000.0,,FT0000,ST_공통,FT0000,ST24FTMMT64044,,,,,광고선전비,광고선전비,광고선전비_기타,202410,부서
,2024/10,,55170127,광고선전비_물류_재고대체,WA,6106089223,6,2024-10-18,2024-10-17,2024-10-17,H,91,2600,SERGIO TACCHINI,KRW,-62020,-62020.0,KRW,,,,104932.0,,자가소모(광고선전),0.0,2000.0,,FT0000,ST_공통,FT0000,ST24FTWMT64044,,,,,광고선전비,광고선전비,광고선전비_기타,202410,부서
,2024/10,,55170127,광고선전비_물류_재고대체,WA,6106167137,2,2024-10-22,2024-10-21,2024-10-21,S,81,2600,SERGIO TACCHINI,KRW,244980,244980.0,KRW,,,,104931.0,,자가소모(e-biz)-,0.0,2000.0,,FT0000,ST_공통,FT0000,ST24FTWDJ70146,,,,,광고선전비,광고선전비,광고선전비_기타,202410,부서
,2024/10,,55170127,광고선전비_물류_재고대체,WA,6106167137,4,2024-10-22,2024-10-21,2024-10-21,S,81,2600,SERGIO TACCHINI,KRW,86800,86800.0,KRW,,,,104931.0,,자가소모(e-biz)-,0.0,2000.0,,FT0000,ST_공통,FT0000,ST24FTWDJ20446,,,,,광고선전비,광고선전비,광고선전비_기타,202410,부서
,2024/10,,55170127,광고선전비_물류_재고대체,WA,6106167137,6,2024-10-22,2024-10-21,2024-10-21,S,81,2600,SERGIO TACCHINI,KRW,196940,196940.0,KRW,,,,104931.0,,자가소모(e-biz)-,0.0,2000.0,,FT0000,ST_공통,FT0000,ST24FTMDJ20446,,,,,광고선전비,광고선전비,광고선전비_기타,202410,부서
