반제/미결항목 기호,연도/월,반제전표,G/L 계정,G/L 계정 설명,전표 유형,전표 번호,개별 항목,입력일,전기일,증빙일,차변/대변지시자,전기 키,사업 영역,사업 영역 내역,현지 통화,금액(현지 통화),금액(전표 통화),전표통화,세금 코드,사업장,텍스트,고객,공급업체,거래처명,세금 번호 2,기능 영역,손익 센터,코스트 센터,코스트센터명,지정,자재,참조 키 1,참조 키 2,참조 키 3,반제일,CATEGORY_L1,CATEGORY_L2,CATEGORY_L3,연월,코스트센터타입
,2024/10,,53030101,퇴직급여충당금전입액,CO,8000194755,0,2024-11-08,2024-10-31,2024-10-31,S,40,2100,MLB,KRW,7293741,7293741.0,KRW,,,[24.10결산] 퇴직급여 반영,,,,,2000.0,,FM0300,MLB_마케팅팀,,,,,,,인건비,인건비,퇴직급여,202410,부서
,2024/10,,53030101,퇴직급여충당금전입액,CO,8000194755,0,2024-11-08,2024-10-31,2024-10-31,S,40,2100,MLB,KRW,2059136,2059136.0,KRW,,,[24.10결산] 퇴직급여 반영,,,,,2000.0,,FM0500,MLB_VMD팀,,,,,,,인건비,인건비,퇴직급여,202410,부서
,2024/10,,53030101,퇴직급여충당금전입액,CO,8000194755,0,2024-11-08,2024-10-31,2024-10-31,S,40,2100,MLB,KRW,14420685,14420685.0,KRW,,,[24.10결산] 퇴직급여 반영,,,,,1000.0,,FM0600,MLB_기획팀,,,,,,,인건비,인건비,퇴직급여,202410,부서
,2024/10,,53030101,퇴직급여충당금전입액,CO,8000194755,0,2024-11-08,2024-10-31,2024-10-31,S,40,2100,MLB,KRW,25524421,25524421.0,KRW,,,[24.10결산] 퇴직급여 반영,,,,,1000.0,,FM0700,MLB_디자인팀,,,,,,,인건비,인건비,퇴직급여,202410,부서
,2024/10,,53030101,퇴직급여충당금전입액,CO,8000194755,0,2024-11-08,2024-10-31,2024-10-31,S,40,2100,MLB,KRW,8770647,8770647.0,KRW,,,[24.10결산] 퇴직급여 반영,,,,,1000.0,,FM0800,MLB_슈즈팀,,,,,,,인건비,인건비,퇴직급여,202410,부서
,2024/10,,53030101,퇴직급여충당금전입액,CO,8000194755,0,2024-11-08,2024-10-31,2024-10-31,S,40,2100,MLB,KRW,7517355,7517355.0,KRW,,,[24.10결산] 퇴직급여 반영,,,,,1000.0,,FM0900,MLB_소싱팀,,,,,,,인건비,인건비,퇴직급여,202410,부서
,2024/10,,53030101,퇴직급여충당금전입액,CO,8000194755,0,2024-11-08,2024-10-31,2024-10-31,S,40,2100,MLB,KRW,7012011,7012011.0,KRW,,,[24.10결산] 퇴직급여 반영,,,,,2000.0,,FM1000,MLB_파트너채널팀,,,,,,,인건비,인건비,퇴직급여,202410,부서
,2024/10,,53030101,퇴직급여충당금전입액,CO,8000194755,0,2024-11-08,2024-10-31,2024-10-31,S,40,2100,MLB,KRW,1942730,1942730.0,KRW,,,[24.10결산] 퇴직급여 반영,,,,,2000.0,,FM1100,MLB_면세점팀,,,,,,,인건비,인건비,퇴직급여,202410,부서
,2024/10,,53030101,퇴직급여충당금전입액,CO,8000194755,0,2024-11-08,2024-10-31,2024-10-31,S,40,2100,MLB,KRW,2536251,2536251.0,KRW,,,[24.10결산] 퇴직급여 반영,,,,,2000.0,,FM1200,MLB_카테고리운영팀,,,,,,,인건비,인건비,퇴직급여,202410,부서
,2024/10,,53030101,퇴직급여충당금전입액,CO,8000194755,0,2024-11-08,2024-10-31,2024-10-31,S,40,2100,MLB,KRW,5973907,5973907.0,KRW,,,[24.10결산] 퇴직급여 반영,,,,,2000.0,,FM1300,[CLSD]MLB_해외사업,,,,,,,인건비,인건비,퇴직급여,202410,부서
,2024/10,,53030101,퇴직급여충당금전입액,CO,8000194755,0,2024-11-08,2024-10-31,2024-10-31,S,40,2100,MLB,KRW,6831335,6831335.0,KRW,,,[24.10결산] 퇴직급여 반영,,,,,1000.0,,FM1400,MLB_QM팀,,,,,,,인건비,인건비,퇴직급여,202410,부서
,2024/10,,53030101,퇴직급여충당금전입액,CO,8000194755,0,2024-11-08,2024-10-31,2024-10-31,S,40,2100,MLB,KRW,6623762,6623762.0,KRW,,,[24.10결산] 퇴직급여 반영,,,,,1000.0,,FM1500,MLB_용품소싱팀,,,,,,,인건비,인건비,퇴직급여,202410,부서
,2024/10,,53030101,퇴직급여충당금전입액,CO,8000194755,0,2024-11-08,2024-10-31,2024-10-31,S,40,2100,MLB,KRW,3281584,3281584.0,KRW,,,[24.10결산] 퇴직급여 반영,,,,,2000.0,,FM1700,MLB_리테일채널팀,,,,,,,인건비,인건비,퇴직급여,202410,부서
,2024/10,,53030101,퇴직급여충당금전입액,CO,8000194756,0,2024-11-08,2024-10-31,2024-10-31,H,50,2100,MLB,KRW,-1248750,-1248750.0,KRW,,,[CC대체]24.10월 슈즈팀 임원 퇴직급여 안분(MLB슈즈->MK슈즈),,,,,1000.0,,FM0800,MLB_슈즈팀,,,,,,,인건비,인건비,퇴직급여,202410,부서
