반제/미결항목 기호,연도/월,반제전표,G/L 계정,G/L 계정 설명,전표 유형,전표 번호,개별 항목,입력일,전기일,증빙일,차변/대변지시자,전기 키,사업 영역,사업 영역 내역,현지 통화,금액(현지 통화),금액(전표 통화),전표통화,세금 코드,사업장,텍스트,고객,공급업체,거래처명,세금 번호 2,기능 영역,손익 센터,코스트 센터,코스트센터명,지정,자재,참조 키 1,참조 키 2,참조 키 3,반제일,CATEGORY_L1,CATEGORY_L2,CATEGORY_L3,연월,코스트센터타입
,2024/10,,55250115,감가상각비_공기구비품,AF,4000000109,0,2024-11-08,2024-10-31,2024-10-31,S,40,2200,Discovery,KRW,51111,51111.0,KRW,,,AFB/01/2024/010/01,,,,,2000.0,,ZX8280,DX_팩토리죽전(직),,,,,,,기타영업비,감가상각비(매장외),감가상각비_일반,202410,매장
,2024/10,,55250115,감가상각비_공기구비품,AF,4000000109,0,2024-11-08,2024-10-31,2024-10-31,S,40,2200,Discovery,KRW,900833,900833.0,KRW,,,AFB/01/2024/010/01,,,,,1000.0,,FX1900,DISCOVERY_슈즈소싱팀,,,,,,,기타영업비,감가상각비(매장외),감가상각비_일반,202410,부서
,2024/10,,55250115,감가상각비_공기구비품,AF,4000000109,0,2024-11-08,2024-10-31,2024-10-31,S,40,2200,Discovery,KRW,14439,14439.0,KRW,,,AFB/01/2024/010/01,,,,,2000.0,,FX0300,DISCOVERY_마케팅팀,,,,,,,기타영업비,감가상각비(매장외),감가상각비_일반,202410,부서
,2024/10,,55250115,감가상각비_공기구비품,AF,4000000109,0,2024-11-08,2024-10-31,2024-10-31,S,40,2200,Discovery,KRW,16555,16555.0,KRW,,,AFB/01/2024/010/01,,,,,1000.0,,FX0800,DISCOVERY_용품팀,,,,,,,기타영업비,감가상각비(매장외),감가상각비_일반,202410,부서
,2024/10,,55250115,감가상각비_공기구비품,AF,4000000109,0,2024-11-08,2024-10-31,2024-10-31,S,40,2200,Discovery,KRW,23275,23275.0,KRW,,,AFB/01/2024/010/01,,,,,1000.0,,FX1600,DISCOVERY_소싱팀,,,,,,,기타영업비,감가상각비(매장외),감가상각비_일반,202410,부서
,2024/10,,55250115,감가상각비_공기구비품,AF,4000000109,0,2024-11-08,2024-10-31,2024-10-31,S,40,2200,Discovery,KRW,23275,23275.0,KRW,,,AFB/01/2024/010/01,,,,,1000.0,,FX0800,DISCOVERY_용품팀,,,,,,,기타영업비,감가상각비(매장외),감가상각비_일반,202410,부서
,2024/10,,55250115,감가상각비_공기구비품,AF,4000000109,0,2024-11-08,2024-10-31,2024-10-31,S,40,2200,Discovery,KRW,22730,22730.0,KRW,,,AFB/01/2024/010/01,,,,,1000.0,,FX0800,DISCOVERY_용품팀,,,,,,,기타영업비,감가상각비(매장외),감가상각비_일반,202410,부서
,2024/10,,55250115,감가상각비_공기구비품,AF,4000000109,0,2024-11-08,2024-10-31,2024-10-31,S,40,2200,Discovery,KRW,26746,26746.0,KRW,,,AFB/01/2024/010/01,,,,,2000.0,,FX0200,DISCOVERY_영업부문담당,,,,,,,기타영업비,감가상각비(매장외),감가상각비_일반,202410,부서
,2024/10,,55250115,감가상각비_공기구비품,AF,4000000109,0,2024-11-08,2024-10-31,2024-10-31,S,40,2200,Discovery,KRW,14861,14861.0,KRW,,,AFB/01/2024/010/01,,,,,2000.0,,FX0400,DISCOVERY_VMD팀,,,,,,,기타영업비,감가상각비(매장외),감가상각비_일반,202410,부서
,2024/10,,55250115,감가상각비_공기구비품,AF,4000000109,0,2024-11-08,2024-10-31,2024-10-31,S,40,2200,Discovery,KRW,26805,26805.0,KRW,,,AFB/01/2024/010/01,,,,,2000.0,,FX0400,DISCOVERY_VMD팀,,,,,,,기타영업비,감가상각비(매장외),감가상각비_일반,202410,부서
,2024/10,,55250115,감가상각비_공기구비품,AF,4000000109,0,2024-11-08,2024-10-31,2024-10-31,S,40,2200,Discovery,KRW,23183,23183.0,KRW,,,AFB/01/2024/010/01,,,,,1000.0,,FX1600,DISCOVERY_소싱팀,,,,,,,기타영업비,감가상각비(매장외),감가상각비_일반,202410,부서
,2024/10,,55250115,감가상각비_공기구비품,AF,4000000109,0,2024-11-08,2024-10-31,2024-10-31,S,40,2200,Discovery,KRW,33973,33973.0,KRW,,,AFB/01/2024/010/01,,,,,1000.0,,FX1600,DISCOVERY_소싱팀,,,,,,,기타영업비,감가상각비(매장외),감가상각비_일반,202410,부서
,2024/10,,55250115,감가상각비_공기구비품,AF,4000000109,0,2024-11-08,2024-10-31,2024-10-31,S,40,2200,Discovery,KRW,10155,10155.0,KRW,,,AFB/01/2024/010/01,,,,,1000.0,,FX1100,DISCOVERY_소재팀,,,,,,,기타영업비,감가상각비(매장외),감가상각비_일반,202410,부서
,2024/10,,55250115,감가상각비_공기구비품,AF,4000000109,0,2024-11-08,2024-10-31,2024-10-31,S,40,2200,Discovery,KRW,10155,10155.0,KRW,,,AFB/01/2024/010/01,,,,,1000.0,,FX1000,DISCOVERY_QM팀,,,,,,,기타영업비,감가상각비(매장외),감가상각비_일반,202410,부서
,2024/10,,55250115,감가상각비_공기구비품,AF,4000000109,0,2024-11-08,2024-10-31,2024-10-31,S,40,2200,Discovery,KRW,20309,20309.0,KRW,,,AFB/01/2024/010/01,,,,,2000.0,,FX0400,DISCOVERY_VMD팀,,,,,,,기타영업비,감가상각비(매장외),감가상각비_일반,202410,부서
,2024/10,,55250115,감가상각비_공기구비품,AF,4000000109,0,2024-11-08,2024-10-31,2024-10-31,S,40,2200,Discovery,KRW,135778,135778.0,KRW,,,AFB/01/2024/010/01,,,,,1000.0,,FX1900,DISCOVERY_슈즈소싱팀,,,,,,,기타영업비,감가상각비(매장외),감가상각비_일반,202410,부서
