반제/미결항목 기호,연도/월,반제전표,G/L 계정,G/L 계정 설명,전표 유형,전표 번호,개별 항목,입력일,전기일,증빙일,차변/대변지시자,전기 키,사업 영역,사업 영역 내역,현지 통화,금액(현지 통화),금액(전표 통화),전표통화,세금 코드,사업장,텍스트,고객,공급업체,거래처명,세금 번호 2,기능 영역,손익 센터,코스트 센터,코스트센터명,지정,자재,참조 키 1,참조 키 2,참조 키 3,반제일,CATEGORY_L1,CATEGORY_L2,CATEGORY_L3,연월,코스트센터타입
,2024/10,,55010129,복리후생비_산재보험,K3,3200007582,357,2024-11-04,2024-10-31,2024-10-31,S,40,2600,SERGIO TACCHINI,KRW,2533660,2533660.0,KRW,VZ,1000.0,24.10월국민연금회사부담분SERGIOTACCHINI_디자인팀,,,,,2000.0,,FT0200,ST_디자인팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010129,복리후생비_산재보험,K3,3200007582,358,2024-11-04,2024-10-31,2024-10-31,S,40,2600,SERGIO TACCHINI,KRW,994540,994540.0,KRW,VZ,1000.0,24.10월국민연금회사부담분SERGIOTACCHINI_소싱팀,,,,,2000.0,,FT0500,[CLSD]ST_소싱팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010129,복리후생비_산재보험,K3,3200007582,359,2024-11-04,2024-10-31,2024-10-31,S,40,2600,SERGIO TACCHINI,KRW,1086020,1086020.0,KRW,VZ,1000.0,24.10월국민연금회사부담분SERGIOTACCHINI_영업팀,,,,,2000.0,,FT0800,[CLSD]ST_영업팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010129,복리후생비_산재보험,K3,3200007582,360,2024-11-04,2024-10-31,2024-10-31,S,40,2600,SERGIO TACCHINI,KRW,206320,206320.0,KRW,VZ,1000.0,24.10월국민연금회사부담분SERGIOTACCHINI_글로벌기획팀,,,,,2000.0,,FT0900,[CLSD]ST_글로벌기획팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010129,복리후생비_산재보험,K3,3200007582,361,2024-11-04,2024-10-31,2024-10-31,S,40,2600,SERGIO TACCHINI,KRW,929830,929830.0,KRW,VZ,1000.0,24.10월국민연금회사부담분SERGIOTACCHINI_TD팀,,,,,2000.0,,FT0700,ST_TD팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010129,복리후생비_산재보험,K3,3200007582,362,2024-11-04,2024-10-31,2024-10-31,S,40,2600,SERGIO TACCHINI,KRW,814270,814270.0,KRW,VZ,1000.0,24.10월국민연금회사부담분SERGIOTACCHINI_상품기획팀,,,,,2000.0,,FT0901,ST_기획팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010129,복리후생비_산재보험,K3,3200007582,363,2024-11-04,2024-10-31,2024-10-31,S,40,2600,SERGIO TACCHINI,KRW,277650,277650.0,KRW,VZ,1000.0,24.10월국민연금회사부담분SERGIOTACCHINI_사업담당,,,,,2000.0,,FT0901,ST_기획팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010129,복리후생비_산재보험,HR,8100000017,18,2024-11-04,2024-10-31,2024-10-31,H,50,2600,SERGIO TACCHINI,KRW,-730576,-730576.0,KRW,VZ,1000.0,SERGIO TACCHINI_영업팀,,,,,2000.0,,FT0800,[CLSD]ST_영업팀,FT0800,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010129,복리후생비_산재보험,HR,8100000017,19,2024-11-04,2024-10-31,2024-10-31,H,50,2600,SERGIO TACCHINI,KRW,-910803,-910803.0,KRW,VZ,1000.0,SERGIO TACCHINI_소싱팀,,,,,2000.0,,FT0500,[CLSD]ST_소싱팀,FT0500,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010129,복리후생비_산재보험,HR,8100000017,20,2024-11-04,2024-10-31,2024-10-31,H,50,2600,SERGIO TACCHINI,KRW,-385196,-385196.0,KRW,VZ,1000.0,SERGIO TACCHINI_상품기획팀,,,,,2000.0,,FT0901,ST_기획팀,FT0901,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010129,복리후생비_산재보험,HR,8100000017,21,2024-11-04,2024-10-31,2024-10-31,H,50,2600,SERGIO TACCHINI,KRW,-974570,-974570.0,KRW,VZ,1000.0,SERGIO TACCHINI_사업담당,,,,,2000.0,,FT0400,ST_사업담당,FT0400,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010129,복리후생비_산재보험,HR,8100000017,22,2024-11-04,2024-10-31,2024-10-31,H,50,2600,SERGIO TACCHINI,KRW,-2040934,-2040934.0,KRW,VZ,1000.0,SERGIO TACCHINI_디자인팀,,,,,2000.0,,FT0200,ST_디자인팀,FT0200,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010129,복리후생비_산재보험,HR,8100000017,23,2024-11-04,2024-10-31,2024-10-31,H,50,2600,SERGIO TACCHINI,KRW,-281689,-281689.0,KRW,VZ,1000.0,SERGIO TACCHINI_글로벌기획팀,,,,,2000.0,,FT0900,[CLSD]ST_글로벌기획팀,FT0900,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010129,복리후생비_산재보험,HR,8100000017,24,2024-11-04,2024-10-31,2024-10-31,H,50,2600,SERGIO TACCHINI,KRW,-1558701,-1558701.0,KRW,VZ,1000.0,SERGIO TACCHINI_TD팀,,,,,2000.0,,FT0700,ST_TD팀,FT0700,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010129,복리후생비_산재보험,HR,8100000018,201,2024-11-19,2024-10-31,2024-10-31,H,50,2600,SERGIO TACCHINI,KRW,-2533660,-2533660.0,KRW,VZ,1000.0,24.10월 국민연금 회사부담분 SERGIO TACCHINI_디자인팀,,,,,2000.0,,FT0200,ST_디자인팀,FT0200,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010129,복리후생비_산재보험,HR,8100000018,202,2024-11-19,2024-10-31,2024-10-31,H,50,2600,SERGIO TACCHINI,KRW,-994540,-994540.0,KRW,VZ,1000.0,24.10월 국민연금 회사부담분 SERGIO TACCHINI_소싱팀,,,,,2000.0,,FT0500,[CLSD]ST_소싱팀,FT0500,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010129,복리후생비_산재보험,HR,8100000018,203,2024-11-19,2024-10-31,2024-10-31,H,50,2600,SERGIO TACCHINI,KRW,-1086020,-1086020.0,KRW,VZ,1000.0,24.10월 국민연금 회사부담분 SERGIO TACCHINI_영업팀,,,,,2000.0,,FT0800,[CLSD]ST_영업팀,FT0800,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010129,복리후생비_산재보험,HR,8100000018,204,2024-11-19,2024-10-31,2024-10-31,H,50,2600,SERGIO TACCHINI,KRW,-206320,-206320.0,KRW,VZ,1000.0,24.10월 국민연금 회사부담분 SERGIO TACCHINI_글로벌기획팀,,,,,2000.0,,FT0900,[CLSD]ST_글로벌기획팀,FT0900,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010129,복리후생비_산재보험,HR,8100000018,205,2024-11-19,2024-10-31,2024-10-31,H,50,2600,SERGIO TACCHINI,KRW,-929830,-929830.0,KRW,VZ,1000.0,24.10월 국민연금 회사부담분 SERGIO TACCHINI_TD팀,,,,,2000.0,,FT0700,ST_TD팀,FT0700,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010129,복리후생비_산재보험,HR,8100000018,206,2024-11-19,2024-10-31,2024-10-31,H,50,2600,SERGIO TACCHINI,KRW,-814270,-814270.0,KRW,VZ,1000.0,24.10월 국민연금 회사부담분 SERGIO TACCHINI_상품기획팀,,,,,2000.0,,FT0901,ST_기획팀,FT0901,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010129,복리후생비_산재보험,HR,8100000018,207,2024-11-19,2024-10-31,2024-10-31,H,50,2600,SERGIO TACCHINI,KRW,-277650,-277650.0,KRW,VZ,1000.0,24.10월 국민연금 회사부담분 SERGIO TACCHINI_사업담당,,,,,2000.0,,FT0901,ST_기획팀,FT0901,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
