반제/미결항목 기호,연도/월,반제전표,G/L 계정,G/L 계정 설명,전표 유형,전표 번호,개별 항목,입력일,전기일,증빙일,차변/대변지시자,전기 키,사업 영역,사업 영역 내역,현지 통화,금액(현지 통화),금액(전표 통화),전표통화,세금 코드,사업장,텍스트,고객,공급업체,거래처명,세금 번호 2,기능 영역,손익 센터,코스트 센터,코스트센터명,지정,자재,참조 키 1,참조 키 2,참조 키 3,반제일,CATEGORY_L1,CATEGORY_L2,CATEGORY_L3,연월,코스트센터타입
,2024/10,,53010103,제수당,HR,8100000012,45,2024-10-25,2024-10-28,2024-10-28,S,40,2600,SERGIO TACCHINI,KRW,13525000,13525000.0,KRW,,1000.0,24.10월_SERGIO TACCHINI_사업담당_제수당,,,,,2000.0,,FT0901,ST_기획팀,FT0901,,,,,,인건비,인건비,급료와 임금,202410,부서
,2024/10,,53010103,제수당,HR,8100000012,47,2024-10-25,2024-10-28,2024-10-28,S,40,2600,SERGIO TACCHINI,KRW,7720450,7720450.0,KRW,,1000.0,24.10월_SERGIO TACCHINI_상품기획팀_제수당,,,,,2000.0,,FT0901,ST_기획팀,FT0901,,,,,,인건비,인건비,급료와 임금,202410,부서
,2024/10,,53010103,제수당,HR,8100000012,58,2024-10-25,2024-10-28,2024-10-28,S,40,2600,SERGIO TACCHINI,KRW,26083762,26083762.0,KRW,,1000.0,24.10월_SERGIO TACCHINI_디자인팀_제수당,,,,,2000.0,,FT0200,ST_디자인팀,FT0200,,,,,,인건비,인건비,급료와 임금,202410,부서
,2024/10,,53010103,제수당,HR,8100000012,71,2024-10-25,2024-10-28,2024-10-28,S,40,2600,SERGIO TACCHINI,KRW,12494930,12494930.0,KRW,,1000.0,24.10월_SERGIO TACCHINI_영업팀_제수당,,,,,2000.0,,FT0800,[CLSD]ST_영업팀,FT0800,,,,,,인건비,인건비,급료와 임금,202410,부서
,2024/10,,53010103,제수당,HR,8100000012,97,2024-10-25,2024-10-28,2024-10-28,S,40,2600,SERGIO TACCHINI,KRW,14794320,14794320.0,KRW,,1000.0,24.10월_SERGIO TACCHINI_소싱팀_제수당,,,,,2000.0,,FT0500,[CLSD]ST_소싱팀,FT0500,,,,,,인건비,인건비,급료와 임금,202410,부서
,2024/10,,53010103,제수당,HR,8100000012,98,2024-10-25,2024-10-28,2024-10-28,S,40,2600,SERGIO TACCHINI,KRW,4113231,4113231.0,KRW,,1000.0,24.10월_SERGIO TACCHINI_글로벌기획팀_제수당,,,,,2000.0,,FT0900,[CLSD]ST_글로벌기획팀,FT0900,,,,,,인건비,인건비,급료와 임금,202410,부서
,2024/10,,53010103,제수당,HR,8100000012,144,2024-10-25,2024-10-28,2024-10-28,S,40,2600,SERGIO TACCHINI,KRW,8592789,8592789.0,KRW,,1000.0,24.10월_SERGIO TACCHINI_TD팀_제수당,,,,,2000.0,,FT0700,ST_TD팀,FT0700,,,,,,인건비,인건비,급료와 임금,202410,부서
,2024/10,,53010103,제수당,HR,8100000016,144,2024-10-29,2024-10-28,2024-10-28,S,40,2600,SERGIO TACCHINI,KRW,8592789,8592789.0,KRW,,1000.0,24.10월_SERGIO TACCHINI_TD팀_제수당,,,,,2000.0,,FT0700,ST_TD팀,FT0700,,,,,,인건비,인건비,급료와 임금,202410,부서
,2024/10,,53010103,제수당,HR,8100000016,160,2024-10-29,2024-10-28,2024-10-28,S,40,2600,SERGIO TACCHINI,KRW,4113231,4113231.0,KRW,,1000.0,24.10월_SERGIO TACCHINI_글로벌기획팀_제수당,,,,,2000.0,,FT0900,[CLSD]ST_글로벌기획팀,FT0900,,,,,,인건비,인건비,급료와 임금,202410,부서
,2024/10,,53010103,제수당,HR,8100000016,217,2024-10-29,2024-10-28,2024-10-28,S,40,2600,SERGIO TACCHINI,KRW,12494930,12494930.0,KRW,,1000.0,24.10월_SERGIO TACCHINI_영업팀_제수당,,,,,2000.0,,FT0800,[CLSD]ST_영업팀,FT0800,,,,,,인건비,인건비,급료와 임금,202410,부서
,2024/10,,53010103,제수당,HR,8100000016,236,2024-10-29,2024-10-28,2024-10-28,S,40,2600,SERGIO TACCHINI,KRW,26083762,26083762.0,KRW,,1000.0,24.10월_SERGIO TACCHINI_디자인팀_제수당,,,,,2000.0,,FT0200,ST_디자인팀,FT0200,,,,,,인건비,인건비,급료와 임금,202410,부서
,2024/10,,53010103,제수당,HR,8100000016,248,2024-10-29,2024-10-28,2024-10-28,S,40,2600,SERGIO TACCHINI,KRW,13525000,13525000.0,KRW,,1000.0,24.10월_SERGIO TACCHINI_사업담당_제수당,,,,,2000.0,,FT0901,ST_기획팀,FT0901,,,,,,인건비,인건비,급료와 임금,202410,부서
,2024/10,,53010103,제수당,HR,8100000016,250,2024-10-29,2024-10-28,2024-10-28,S,40,2600,SERGIO TACCHINI,KRW,7720450,7720450.0,KRW,,1000.0,24.10월_SERGIO TACCHINI_상품기획팀_제수당,,,,,2000.0,,FT0901,ST_기획팀,FT0901,,,,,,인건비,인건비,급료와 임금,202410,부서
,2024/10,,53010103,제수당,HR,8100000016,257,2024-10-29,2024-10-28,2024-10-28,S,40,2600,SERGIO TACCHINI,KRW,14794320,14794320.0,KRW,,1000.0,24.10월_SERGIO TACCHINI_소싱팀_제수당,,,,,2000.0,,FT0500,[CLSD]ST_소싱팀,FT0500,,,,,,인건비,인건비,급료와 임금,202410,부서
,2024/10,,53010103,제수당,HR,8100000016,410,2024-10-29,2024-10-28,2024-10-28,H,50,2600,SERGIO TACCHINI,KRW,-8592789,-8592789.0,KRW,,1000.0,24.10월_SERGIO TACCHINI_TD팀_제수당,,,,,2000.0,,FT0700,ST_TD팀,FT0700,,,,,,인건비,인건비,급료와 임금,202410,부서
,2024/10,,53010103,제수당,HR,8100000016,426,2024-10-29,2024-10-28,2024-10-28,H,50,2600,SERGIO TACCHINI,KRW,-4113231,-4113231.0,KRW,,1000.0,24.10월_SERGIO TACCHINI_글로벌기획팀_제수당,,,,,2000.0,,FT0900,[CLSD]ST_글로벌기획팀,FT0900,,,,,,인건비,인건비,급료와 임금,202410,부서
,2024/10,,53010103,제수당,HR,8100000016,483,2024-10-29,2024-10-28,2024-10-28,H,50,2600,SERGIO TACCHINI,KRW,-12494930,-12494930.0,KRW,,1000.0,24.10월_SERGIO TACCHINI_영업팀_제수당,,,,,2000.0,,FT0800,[CLSD]ST_영업팀,FT0800,,,,,,인건비,인건비,급료와 임금,202410,부서
,2024/10,,53010103,제수당,HR,8100000016,502,2024-10-29,2024-10-28,2024-10-28,H,50,2600,SERGIO TACCHINI,KRW,-26083762,-26083762.0,KRW,,1000.0,24.10월_SERGIO TACCHINI_디자인팀_제수당,,,,,2000.0,,FT0200,ST_디자인팀,FT0200,,,,,,인건비,인건비,급료와 임금,202410,부서
,2024/10,,53010103,제수당,HR,8100000016,514,2024-10-29,2024-10-28,2024-10-28,H,50,2600,SERGIO TACCHINI,KRW,-13525000,-13525000.0,KRW,,1000.0,24.10월_SERGIO TACCHINI_사업담당_제수당,,,,,2000.0,,FT0901,ST_기획팀,FT0901,,,,,,인건비,인건비,급료와 임금,202410,부서
,2024/10,,53010103,제수당,HR,8100000016,516,2024-10-29,2024-10-28,2024-10-28,H,50,2600,SERGIO TACCHINI,KRW,-7720450,-7720450.0,KRW,,1000.0,24.10월_SERGIO TACCHINI_상품기획팀_제수당,,,,,2000.0,,FT0901,ST_기획팀,FT0901,,,,,,인건비,인건비,급료와 임금,202410,부서
