반제/미결항목 기호,연도/월,반제전표,G/L 계정,G/L 계정 설명,전표 유형,전표 번호,개별 항목,입력일,전기일,증빙일,차변/대변지시자,전기 키,사업 영역,사업 영역 내역,현지 통화,금액(현지 통화),금액(전표 통화),전표통화,세금 코드,사업장,텍스트,고객,공급업체,거래처명,세금 번호 2,기능 영역,손익 센터,코스트 센터,코스트센터명,지정,자재,참조 키 1,참조 키 2,참조 키 3,반제일,CATEGORY_L1,CATEGORY_L2,CATEGORY_L3,연월,코스트센터타입
,2025/10,,55070105,통신비_휴대폰지원,KR,3000008726,565,2025-11-06,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,80000,80000.0,KRW,,1000.0,25.10 임직원 통신비_MLB_AX팀,,,,,1000.0,,FM2300,MLB_AX팀,FM2300,,,,,,기타영업비,복리비/차량/핸드폰,통신비_휴대폰지원,202510,부서
,2025/10,,55070105,통신비_휴대폰지원,KR,3000008726,568,2025-11-06,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,400000,400000.0,KRW,,1000.0,25.10 임직원 통신비_MLB_QM팀,,,,,1000.0,,FM1400,MLB_QM팀,FM1400,,,,,,기타영업비,복리비/차량/핸드폰,통신비_휴대폰지원,202510,부서
,2025/10,,55070105,통신비_휴대폰지원,KR,3000008726,569,2025-11-06,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,200000,200000.0,KRW,,1000.0,25.10 임직원 통신비_MLB_VMD팀,,,,,2000.0,,FM0500,MLB_VMD팀,FM0500,,,,,,기타영업비,복리비/차량/핸드폰,통신비_휴대폰지원,202510,부서
,2025/10,,55070105,통신비_휴대폰지원,KR,3000008726,570,2025-11-06,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,240000,240000.0,KRW,,1000.0,25.10 임직원 통신비_MLB_그래픽디자인팀,,,,,1000.0,,FM0700,MLB_디자인팀,FM0700,,,,,,기타영업비,복리비/차량/핸드폰,통신비_휴대폰지원,202510,부서
,2025/10,,55070105,통신비_휴대폰지원,KR,3000008726,578,2025-11-06,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,164300,164300.0,KRW,,1000.0,25.10 임직원 통신비_MLB_기획담당,,,,,1000.0,,FM0600,MLB_기획팀,FM0600,,,,,,기타영업비,복리비/차량/핸드폰,통신비_휴대폰지원,202510,부서
,2025/10,,55070105,통신비_휴대폰지원,KR,3000008726,579,2025-11-06,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,400000,400000.0,KRW,,1000.0,25.10 임직원 통신비_MLB_니트디자인팀,,,,,1000.0,,FM0700,MLB_디자인팀,FM0700,,,,,,기타영업비,복리비/차량/핸드폰,통신비_휴대폰지원,202510,부서
,2025/10,,55070105,통신비_휴대폰지원,KR,3000008726,580,2025-11-06,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,200000,200000.0,KRW,,1000.0,25.10 임직원 통신비_MLB_리테일채널팀,,,,,2000.0,,FM1700,MLB_리테일채널팀,FM1700,,,,,,기타영업비,복리비/차량/핸드폰,통신비_휴대폰지원,202510,부서
,2025/10,,55070105,통신비_휴대폰지원,KR,3000008726,581,2025-11-06,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,280000,280000.0,KRW,,1000.0,25.10 임직원 통신비_MLB_마케팅팀,,,,,2000.0,,FM0300,MLB_마케팅팀,FM0300,,,,,,기타영업비,복리비/차량/핸드폰,통신비_휴대폰지원,202510,부서
,2025/10,,55070105,통신비_휴대폰지원,KR,3000008726,582,2025-11-06,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,160100,160100.0,KRW,,1000.0,25.10 임직원 통신비_MLB_사업담당,,,,,1000.0,,FM0100,MLB_사업담당,FM0100,,,,,,기타영업비,복리비/차량/핸드폰,통신비_휴대폰지원,202510,부서
,2025/10,,55070105,통신비_휴대폰지원,KR,3000008726,583,2025-11-06,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,120000,120000.0,KRW,,1000.0,25.10 임직원 통신비_MLB_소재디자인팀,,,,,1000.0,,FM0700,MLB_디자인팀,FM0700,,,,,,기타영업비,복리비/차량/핸드폰,통신비_휴대폰지원,202510,부서
,2025/10,,55070105,통신비_휴대폰지원,KR,3000008726,584,2025-11-06,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,122890,122890.0,KRW,,1000.0,25.10 임직원 통신비_MLB_슈즈담당,,,,,1000.0,,FM0800,MLB_슈즈팀,FM0800,,,,,,기타영업비,복리비/차량/핸드폰,통신비_휴대폰지원,202510,부서
,2025/10,,55070105,통신비_휴대폰지원,KR,3000008726,585,2025-11-06,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,240000,240000.0,KRW,,1000.0,25.10 임직원 통신비_MLB_슈즈디자인팀,,,,,1000.0,,FM0800,MLB_슈즈팀,FM0800,,,,,,기타영업비,복리비/차량/핸드폰,통신비_휴대폰지원,202510,부서
,2025/10,,55070105,통신비_휴대폰지원,KR,3000008726,586,2025-11-06,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,200000,200000.0,KRW,,1000.0,25.10 임직원 통신비_MLB_슈즈소싱팀,,,,,1000.0,,FM0800,MLB_슈즈팀,FM0800,,,,,,기타영업비,복리비/차량/핸드폰,통신비_휴대폰지원,202510,부서
,2025/10,,55070105,통신비_휴대폰지원,KR,3000008726,587,2025-11-06,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,40000,40000.0,KRW,,1000.0,25.10 임직원 통신비_MLB_영업담당,,,,,2000.0,,FM0200,MLB_영업부문담당,FM0200,,,,,,기타영업비,복리비/차량/핸드폰,통신비_휴대폰지원,202510,부서
,2025/10,,55070105,통신비_휴대폰지원,KR,3000008726,588,2025-11-06,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,200000,200000.0,KRW,,1000.0,25.10 임직원 통신비_MLB_용품기획팀,,,,,1000.0,,FM0600,MLB_기획팀,FM0600,,,,,,기타영업비,복리비/차량/핸드폰,통신비_휴대폰지원,202510,부서
,2025/10,,55070105,통신비_휴대폰지원,KR,3000008726,589,2025-11-06,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,320000,320000.0,KRW,,1000.0,25.10 임직원 통신비_MLB_용품디자인팀,,,,,1000.0,,FM0700,MLB_디자인팀,FM0700,,,,,,기타영업비,복리비/차량/핸드폰,통신비_휴대폰지원,202510,부서
,2025/10,,55070105,통신비_휴대폰지원,KR,3000008726,590,2025-11-06,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,360000,360000.0,KRW,,1000.0,25.10 임직원 통신비_MLB_용품소싱팀,,,,,1000.0,,FM1500,MLB_용품소싱팀,FM1500,,,,,,기타영업비,복리비/차량/핸드폰,통신비_휴대폰지원,202510,부서
