반제/미결항목 기호,연도/월,반제전표,G/L 계정,G/L 계정 설명,전표 유형,전표 번호,개별 항목,입력일,전기일,증빙일,차변/대변지시자,전기 키,사업 영역,사업 영역 내역,현지 통화,금액(현지 통화),금액(전표 통화),전표통화,세금 코드,사업장,텍스트,고객,공급업체,거래처명,세금 번호 2,기능 영역,손익 센터,코스트 센터,코스트센터명,지정,자재,참조 키 1,참조 키 2,참조 키 3,반제일,CATEGORY_L1,CATEGORY_L2,CATEGORY_L3,연월,코스트센터타입
,2025/10,,55110135,소모품비_샘플대_재고대체,SC,1800750960,1,2025-11-10,2025-10-31,2025-10-31,S,40,2400,Duvetica,KRW,32215,32215.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FV0000,DUVETICA_공통,FV0000,V25FVDDH11155,,,,,샘플대(제작/구입),샘플대(제작/구입),소모품비_샘플대,202510,부서
,2025/10,,55110135,소모품비_샘플대_재고대체,SC,1800750961,1,2025-11-10,2025-10-31,2025-10-31,S,40,2400,Duvetica,KRW,25643,25643.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FV0000,DUVETICA_공통,FV0000,V25FVDDH30155,,,,,샘플대(제작/구입),샘플대(제작/구입),소모품비_샘플대,202510,부서
,2025/10,,55110135,소모품비_샘플대_재고대체,SC,1800750962,1,2025-11-10,2025-10-31,2025-10-31,S,40,2400,Duvetica,KRW,33008,33008.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FV0000,DUVETICA_공통,FV0000,V25FVDDJ16356,,,,,샘플대(제작/구입),샘플대(제작/구입),소모품비_샘플대,202510,부서
,2025/10,,55110135,소모품비_샘플대_재고대체,SC,1800750963,1,2025-11-10,2025-10-31,2025-10-31,S,40,2400,Duvetica,KRW,67184,67184.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FV0000,DUVETICA_공통,FV0000,V25FVDDJ30756,,,,,샘플대(제작/구입),샘플대(제작/구입),소모품비_샘플대,202510,부서
,2025/10,,55110135,소모품비_샘플대_재고대체,SC,1800750964,1,2025-11-10,2025-10-31,2025-10-31,S,40,2400,Duvetica,KRW,27699,27699.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FV0000,DUVETICA_공통,FV0000,V25FVUDJ11355,,,,,샘플대(제작/구입),샘플대(제작/구입),소모품비_샘플대,202510,부서
,2025/10,,55110135,소모품비_샘플대_재고대체,SC,1800750965,1,2025-11-10,2025-10-31,2025-10-31,S,40,2400,Duvetica,KRW,29628,29628.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FV0000,DUVETICA_공통,FV0000,V25FVUDJ11455,,,,,샘플대(제작/구입),샘플대(제작/구입),소모품비_샘플대,202510,부서
,2025/10,,55110135,소모품비_샘플대_재고대체,WA,6105092448,2,2025-10-21,2025-10-20,2025-10-20,S,81,2400,Duvetica,KRW,123880,123880.0,KRW,,,,102104.0,,자가소모(샘플대),,2000.0,,FV0000,DUVETICA_공통,FV0000,V25FVDDH30155,,,,,샘플대(제작/구입),샘플대(제작/구입),소모품비_샘플대,202510,부서
,2025/10,,55110135,소모품비_샘플대_재고대체,WA,6105092448,4,2025-10-21,2025-10-20,2025-10-20,S,81,2400,Duvetica,KRW,324558,324558.0,KRW,,,,102104.0,,자가소모(샘플대),,2000.0,,FV0000,DUVETICA_공통,FV0000,V25FVDDJ30756,,,,,샘플대(제작/구입),샘플대(제작/구입),소모품비_샘플대,202510,부서
,2025/10,,55110135,소모품비_샘플대_재고대체,WA,6105092448,6,2025-10-21,2025-10-20,2025-10-20,S,81,2400,Duvetica,KRW,133810,133810.0,KRW,,,,102104.0,,자가소모(샘플대),,2000.0,,FV0000,DUVETICA_공통,FV0000,V25FVUDJ11355,,,,,샘플대(제작/구입),샘플대(제작/구입),소모품비_샘플대,202510,부서
,2025/10,,55110135,소모품비_샘플대_재고대체,WA,6105092448,8,2025-10-21,2025-10-20,2025-10-20,S,81,2400,Duvetica,KRW,155618,155618.0,KRW,,,,102104.0,,자가소모(샘플대),,2000.0,,FV0000,DUVETICA_공통,FV0000,V25FVDDH11155,,,,,샘플대(제작/구입),샘플대(제작/구입),소모품비_샘플대,202510,부서
