반제/미결항목 기호,연도/월,반제전표,G/L 계정,G/L 계정 설명,전표 유형,전표 번호,개별 항목,입력일,전기일,증빙일,차변/대변지시자,전기 키,사업 영역,사업 영역 내역,현지 통화,금액(현지 통화),금액(전표 통화),전표통화,세금 코드,사업장,텍스트,고객,공급업체,거래처명,세금 번호 2,기능 영역,손익 센터,코스트 센터,코스트센터명,지정,자재,참조 키 1,참조 키 2,참조 키 3,반제일,CATEGORY_L1,CATEGORY_L2,CATEGORY_L3,연월,코스트센터타입
,2025/10,,55130101,세금과공과_국민연금,K3,3200006643,393,2025-11-05,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,1738010,1738010.0,KRW,VZ,1000.0,25.10월 국민연금 회사부담분 MLB_마케팅팀||||,,,,,2000.0,,FM0300,MLB_마케팅팀,4대 사회보험료,,,,,,인건비,인건비,세금과공과_국민연금,202510,부서
,2025/10,,55130101,세금과공과_국민연금,K3,3200006643,394,2025-11-05,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,973250,973250.0,KRW,VZ,1000.0,25.10월 국민연금 회사부담분 MLB_VMD팀||||,,,,,2000.0,,FM0500,MLB_VMD팀,4대 사회보험료,,,,,,인건비,인건비,세금과공과_국민연금,202510,부서
,2025/10,,55130101,세금과공과_국민연금,K3,3200006643,395,2025-11-05,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,1063790,1063790.0,KRW,VZ,1000.0,25.10월 국민연금 회사부담분 MLB_용품기획팀||||,,,,,1000.0,,FM0600,MLB_기획팀,4대 사회보험료,,,,,,인건비,인건비,세금과공과_국민연금,202510,부서
,2025/10,,55130101,세금과공과_국민연금,K3,3200006643,396,2025-11-05,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,1188980,1188980.0,KRW,VZ,1000.0,25.10월 국민연금 회사부담분 MLB_의류기획팀||||,,,,,1000.0,,FM0600,MLB_기획팀,4대 사회보험료,,,,,,인건비,인건비,세금과공과_국민연금,202510,부서
,2025/10,,55130101,세금과공과_국민연금,K3,3200006643,397,2025-11-05,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,2199140,2199140.0,KRW,VZ,1000.0,25.10월 국민연금 회사부담분 MLB_용품소싱팀||||,,,,,1000.0,,FM1500,MLB_용품소싱팀,4대 사회보험료,,,,,,인건비,인건비,세금과공과_국민연금,202510,부서
,2025/10,,55130101,세금과공과_국민연금,K3,3200006643,398,2025-11-05,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,3592870,3592870.0,KRW,VZ,1000.0,25.10월 국민연금 회사부담분 MLB_의류소싱팀||||,,,,,1000.0,,FM0900,MLB_소싱팀,4대 사회보험료,,,,,,인건비,인건비,세금과공과_국민연금,202510,부서
,2025/10,,55130101,세금과공과_국민연금,K3,3200006643,399,2025-11-05,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,286650,286650.0,KRW,VZ,1000.0,25.10월 국민연금 회사부담분 MLB_영업담당||||,,,,,2000.0,,FM1000,MLB_파트너채널팀,4대 사회보험료,,,,,,인건비,인건비,세금과공과_국민연금,202510,부서
,2025/10,,55130101,세금과공과_국민연금,K3,3200006643,400,2025-11-05,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,286650,286650.0,KRW,VZ,1000.0,25.10월 국민연금 회사부담분 MLB_사업담당||||,,,,,1000.0,,FM0600,MLB_기획팀,4대 사회보험료,,,,,,인건비,인건비,세금과공과_국민연금,202510,부서
,2025/10,,55130101,세금과공과_국민연금,K3,3200006643,401,2025-11-05,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,1246360,1246360.0,KRW,VZ,1000.0,25.10월 국민연금 회사부담분 MLB 디자인연구실_슈즈디자인팀||||,,,,,1000.0,,FM0800,MLB_슈즈팀,4대 사회보험료,,,,,,인건비,인건비,세금과공과_국민연금,202510,부서
,2025/10,,55130101,세금과공과_국민연금,K3,3200006643,402,2025-11-05,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,1106270,1106270.0,KRW,VZ,1000.0,25.10월 국민연금 회사부담분 MLB 디자인연구실_슈즈소싱팀||||,,,,,1000.0,,FM0800,MLB_슈즈팀,4대 사회보험료,,,,,,인건비,인건비,세금과공과_국민연금,202510,부서
