반제/미결항목 기호,연도/월,반제전표,G/L 계정,G/L 계정 설명,전표 유형,전표 번호,개별 항목,입력일,전기일,증빙일,차변/대변지시자,전기 키,사업 영역,사업 영역 내역,현지 통화,금액(현지 통화),금액(전표 통화),전표통화,세금 코드,사업장,텍스트,고객,공급업체,거래처명,세금 번호 2,기능 영역,손익 센터,코스트 센터,코스트센터명,지정,자재,참조 키 1,참조 키 2,참조 키 3,반제일,CATEGORY_L1,CATEGORY_L2,CATEGORY_L3,연월,코스트센터타입
,2024/10,,55010129,복리후생비_산재보험,K3,3200007582,331,2024-11-04,2024-10-31,2024-10-31,S,40,2400,Duvetica,KRW,2241250,2241250.0,KRW,VZ,1000.0,24.10월국민연금회사부담분DUVETICA_디자인팀,,,,,1000.0,,FV1100,DUVETICA_디자인팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010129,복리후생비_산재보험,K3,3200007582,332,2024-11-04,2024-10-31,2024-10-31,S,40,2400,Duvetica,KRW,700470,700470.0,KRW,VZ,1000.0,24.10월국민연금회사부담분DUVETICA_TD팀,,,,,2000.0,,FV0200,DUVETICA_TD팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010129,복리후생비_산재보험,K3,3200007582,333,2024-11-04,2024-10-31,2024-10-31,S,40,2400,Duvetica,KRW,1885450,1885450.0,KRW,VZ,1000.0,24.10월국민연금회사부담분DUVETICA_소싱팀,,,,,2000.0,,FV0400,[CLSD]DUVETICA_소싱팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010129,복리후생비_산재보험,K3,3200007582,334,2024-11-04,2024-10-31,2024-10-31,S,40,2400,Duvetica,KRW,759010,759010.0,KRW,VZ,1000.0,24.10월국민연금회사부담분DUVETICA_소재소싱팀,,,,,2000.0,,FV0700,DUVETICA_소재팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010129,복리후생비_산재보험,K3,3200007582,335,2024-11-04,2024-10-31,2024-10-31,S,40,2400,Duvetica,KRW,1130800,1130800.0,KRW,VZ,1000.0,24.10월국민연금회사부담분DUVETICA_영업팀,,,,,2000.0,,FV0800,[CLSD]DUVETICA_영업팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010129,복리후생비_산재보험,K3,3200007582,336,2024-11-04,2024-10-31,2024-10-31,S,40,2400,Duvetica,KRW,1009250,1009250.0,KRW,VZ,1000.0,24.10월국민연금회사부담분DUVETICA_MD팀,,,,,2000.0,,FV0900,DUVETICA_기획팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010129,복리후생비_산재보험,K3,3200007582,337,2024-11-04,2024-10-31,2024-10-31,S,40,2400,Duvetica,KRW,277650,277650.0,KRW,VZ,1000.0,24.10월국민연금회사부담분DUVETICA_공통,,,,,2000.0,,FV0900,DUVETICA_기획팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010129,복리후생비_산재보험,HR,8100000017,50,2024-11-04,2024-10-31,2024-10-31,H,50,2400,Duvetica,KRW,-1005526,-1005526.0,KRW,VZ,1000.0,DUVETICA_소재소싱팀,,,,,2000.0,,FV0700,DUVETICA_소재팀,FV0700,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010129,복리후생비_산재보험,HR,8100000017,51,2024-11-04,2024-10-31,2024-10-31,H,50,2400,Duvetica,KRW,-2028257,-2028257.0,KRW,VZ,1000.0,DUVETICA_소싱팀,,,,,2000.0,,FV0400,[CLSD]DUVETICA_소싱팀,FV0400,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010129,복리후생비_산재보험,HR,8100000017,52,2024-11-04,2024-10-31,2024-10-31,H,50,2400,Duvetica,KRW,-2967503,-2967503.0,KRW,VZ,1000.0,DUVETICA_디자인팀,,,,,1000.0,,FV1100,DUVETICA_디자인팀,FV1100,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010129,복리후생비_산재보험,HR,8100000017,53,2024-11-04,2024-10-31,2024-10-31,H,50,2400,Duvetica,KRW,-730230,-730230.0,KRW,VZ,1000.0,DUVETICA_공통,,,,,2000.0,,FV0000,DUVETICA_공통,FV0000,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010129,복리후생비_산재보험,HR,8100000017,54,2024-11-04,2024-10-31,2024-10-31,H,50,2400,Duvetica,KRW,-931282,-931282.0,KRW,VZ,1000.0,DUVETICA_TD팀,,,,,2000.0,,FV0200,DUVETICA_TD팀,FV0200,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010129,복리후생비_산재보험,HR,8100000017,55,2024-11-04,2024-10-31,2024-10-31,H,50,2400,Duvetica,KRW,-1011457,-1011457.0,KRW,VZ,1000.0,DUVETICA_MD팀,,,,,2000.0,,FV0900,DUVETICA_기획팀,FV0900,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010129,복리후생비_산재보험,HR,8100000017,97,2024-11-04,2024-10-31,2024-10-31,H,50,2400,Duvetica,KRW,-1424883,-1424883.0,KRW,VZ,1000.0,DUVETICA_영업팀,,,,,2000.0,,FV0800,[CLSD]DUVETICA_영업팀,FV0800,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010129,복리후생비_산재보험,HR,8100000018,181,2024-11-19,2024-10-31,2024-10-31,H,50,2400,Duvetica,KRW,-277650,-277650.0,KRW,VZ,1000.0,24.10월 국민연금 회사부담분 DUVETICA_공통,,,,,2000.0,,FV0900,DUVETICA_기획팀,FV0900,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010129,복리후생비_산재보험,HR,8100000018,235,2024-11-19,2024-10-31,2024-10-31,H,50,2400,Duvetica,KRW,-2241250,-2241250.0,KRW,VZ,1000.0,24.10월 국민연금 회사부담분 DUVETICA_디자인팀,,,,,1000.0,,FV1100,DUVETICA_디자인팀,FV1100,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010129,복리후생비_산재보험,HR,8100000018,236,2024-11-19,2024-10-31,2024-10-31,H,50,2400,Duvetica,KRW,-700470,-700470.0,KRW,VZ,1000.0,24.10월 국민연금 회사부담분 DUVETICA_TD팀,,,,,2000.0,,FV0200,DUVETICA_TD팀,FV0200,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010129,복리후생비_산재보험,HR,8100000018,237,2024-11-19,2024-10-31,2024-10-31,H,50,2400,Duvetica,KRW,-1885450,-1885450.0,KRW,VZ,1000.0,24.10월 국민연금 회사부담분 DUVETICA_소싱팀,,,,,2000.0,,FV0400,[CLSD]DUVETICA_소싱팀,FV0400,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010129,복리후생비_산재보험,HR,8100000018,238,2024-11-19,2024-10-31,2024-10-31,H,50,2400,Duvetica,KRW,-759010,-759010.0,KRW,VZ,1000.0,24.10월 국민연금 회사부담분 DUVETICA_소재소싱팀,,,,,2000.0,,FV0700,DUVETICA_소재팀,FV0700,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010129,복리후생비_산재보험,HR,8100000018,239,2024-11-19,2024-10-31,2024-10-31,H,50,2400,Duvetica,KRW,-1130800,-1130800.0,KRW,VZ,1000.0,24.10월 국민연금 회사부담분 DUVETICA_영업팀,,,,,2000.0,,FV0800,[CLSD]DUVETICA_영업팀,FV0800,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010129,복리후생비_산재보험,HR,8100000018,240,2024-11-19,2024-10-31,2024-10-31,H,50,2400,Duvetica,KRW,-1009250,-1009250.0,KRW,VZ,1000.0,24.10월 국민연금 회사부담분 DUVETICA_MD팀,,,,,2000.0,,FV0900,DUVETICA_기획팀,FV0900,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
