반제/미결항목 기호,연도/월,반제전표,G/L 계정,G/L 계정 설명,전표 유형,전표 번호,개별 항목,입력일,전기일,증빙일,차변/대변지시자,전기 키,사업 영역,사업 영역 내역,현지 통화,금액(현지 통화),금액(전표 통화),전표통화,세금 코드,사업장,텍스트,고객,공급업체,거래처명,세금 번호 2,기능 영역,손익 센터,코스트 센터,코스트센터명,지정,자재,참조 키 1,참조 키 2,참조 키 3,반제일,CATEGORY_L1,CATEGORY_L2,CATEGORY_L3,연월,코스트센터타입
,2024/10,,55010107,복리후생비_고용보험,K3,3200007582,219,2024-11-04,2024-10-31,2024-10-31,S,40,2200,Discovery,KRW,212962,212962.0,KRW,VZ,1000.0,24.10월고용보험회사부담분Discovery_기획부문담당,,,,,1000.0,,FX1500,DISCOVERY_기획팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010107,복리후생비_고용보험,K3,3200007582,220,2024-11-04,2024-10-31,2024-10-31,S,40,2200,Discovery,KRW,122119,122119.0,KRW,VZ,1000.0,24.10월고용보험회사부담분Discovery_영업부문담당,,,,,2000.0,,FX1200,DISCOVERY_유통1팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010107,복리후생비_고용보험,K3,3200007582,221,2024-11-04,2024-10-31,2024-10-31,S,40,2200,Discovery,KRW,377399,377399.0,KRW,VZ,1000.0,24.10월고용보험회사부담분Discovery_마케팅팀,,,,,2000.0,,FX0300,DISCOVERY_마케팅팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010107,복리후생비_고용보험,K3,3200007582,222,2024-11-04,2024-10-31,2024-10-31,S,40,2200,Discovery,KRW,117490,117490.0,KRW,VZ,1000.0,24.10월고용보험회사부담분Discovery_VMD팀,,,,,2000.0,,FX0400,DISCOVERY_VMD팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010107,복리후생비_고용보험,K3,3200007582,223,2024-11-04,2024-10-31,2024-10-31,S,40,2200,Discovery,KRW,213695,213695.0,KRW,VZ,1000.0,24.10월고용보험회사부담분Discovery_TD팀,,,,,1000.0,,FX1000,DISCOVERY_QM팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010107,복리후생비_고용보험,K3,3200007582,224,2024-11-04,2024-10-31,2024-10-31,S,40,2200,Discovery,KRW,179772,179772.0,KRW,VZ,1000.0,24.10월고용보험회사부담분Discovery_소재소싱팀,,,,,1000.0,,FX1100,DISCOVERY_소재팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010107,복리후생비_고용보험,K3,3200007582,225,2024-11-04,2024-10-31,2024-10-31,S,40,2200,Discovery,KRW,412058,412058.0,KRW,VZ,1000.0,24.10월고용보험회사부담분Discovery_영업1팀,,,,,2000.0,,FX1200,DISCOVERY_유통1팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010107,복리후생비_고용보험,K3,3200007582,226,2024-11-04,2024-10-31,2024-10-31,S,40,2200,Discovery,KRW,359575,359575.0,KRW,VZ,1000.0,24.10월고용보험회사부담분Discovery_영업2팀,,,,,2000.0,,FX1300,DISCOVERY_유통2팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010107,복리후생비_고용보험,K3,3200007582,227,2024-11-04,2024-10-31,2024-10-31,S,40,2200,Discovery,KRW,292958,292958.0,KRW,VZ,1000.0,24.10월고용보험회사부담분Discovery_유통MD팀,,,,,2000.0,,FX1400,DISCOVERY_카테고리운영팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010107,복리후생비_고용보험,K3,3200007582,228,2024-11-04,2024-10-31,2024-10-31,S,40,2200,Discovery,KRW,110488,110488.0,KRW,VZ,1000.0,24.10월고용보험회사부담분Discovery_소싱부문담당,,,,,1000.0,,FX1600,DISCOVERY_소싱팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010107,복리후생비_고용보험,K3,3200007582,229,2024-11-04,2024-10-31,2024-10-31,S,40,2200,Discovery,KRW,46032,46032.0,KRW,VZ,1000.0,24.10월고용보험회사부담분Discovery_해외사업팀,,,,,2000.0,,FX1700,DISCOVERY_해외사업팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010107,복리후생비_고용보험,K3,3200007582,230,2024-11-04,2024-10-31,2024-10-31,S,40,2200,Discovery,KRW,143723,143723.0,KRW,VZ,1000.0,24.10월고용보험회사부담분Discovery디자인연구실_슈즈팀,,,,,1000.0,,FX2100,DISCOVERY_슈즈팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010107,복리후생비_고용보험,K3,3200007582,231,2024-11-04,2024-10-31,2024-10-31,S,40,2200,Discovery,KRW,223473,223473.0,KRW,VZ,1000.0,24.10월고용보험회사부담분Discovery디자인연구실_용품팀,,,,,1000.0,,FX0800,DISCOVERY_용품팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010107,복리후생비_고용보험,K3,3200007582,232,2024-11-04,2024-10-31,2024-10-31,S,40,2200,Discovery,KRW,450252,450252.0,KRW,VZ,1000.0,24.10월고용보험회사부담분Discovery_소싱팀,,,,,1000.0,,FX1600,DISCOVERY_소싱팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010107,복리후생비_고용보험,K3,3200007582,233,2024-11-04,2024-10-31,2024-10-31,S,40,2200,Discovery,KRW,132336,132336.0,KRW,VZ,1000.0,24.10월고용보험회사부담분Discovery디자인연구실_키즈디자인팀,,,,,1000.0,,FX0500,DISCOVERY_KIDS 디자인팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010107,복리후생비_고용보험,K3,3200007582,234,2024-11-04,2024-10-31,2024-10-31,S,40,2200,Discovery,KRW,617604,617604.0,KRW,VZ,1000.0,24.10월고용보험회사부담분Discovery디자인연구실_성인디자인팀,,,,,1000.0,,FX0600,DISCOVERY_디자인팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010107,복리후생비_고용보험,K3,3200007582,235,2024-11-04,2024-10-31,2024-10-31,S,40,2200,Discovery,KRW,505884,505884.0,KRW,VZ,1000.0,24.10월고용보험회사부담분Discovery_기획팀,,,,,1000.0,,FX1500,DISCOVERY_기획팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010107,복리후생비_고용보험,K3,3200007582,236,2024-11-04,2024-10-31,2024-10-31,S,40,2200,Discovery,KRW,319124,319124.0,KRW,VZ,1000.0,24.10월고용보험회사부담분Discovery_슈즈팀,,,,,1000.0,,FX2100,DISCOVERY_슈즈팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
