반제/미결항목 기호,연도/월,반제전표,G/L 계정,G/L 계정 설명,전표 유형,전표 번호,개별 항목,입력일,전기일,증빙일,차변/대변지시자,전기 키,사업 영역,사업 영역 내역,현지 통화,금액(현지 통화),금액(전표 통화),전표통화,세금 코드,사업장,텍스트,고객,공급업체,거래처명,세금 번호 2,기능 영역,손익 센터,코스트 센터,코스트센터명,지정,자재,참조 키 1,참조 키 2,참조 키 3,반제일,CATEGORY_L1,CATEGORY_L2,CATEGORY_L3,연월,코스트센터타입
,2024/10,,55010127,복리후생비_직원구매,K3,3200007630,24,2024-11-04,2024-10-31,2024-10-31,S,40,2100,MLB,KRW,64000,64000.0,KRW,VZ,1000.0,24.10월임직원직원구매분_MLB_Branch팀,,,,,2000.0,,FM1300,[CLSD]MLB_해외사업,임직원 직원구매,,,,,,기타영업비,복리비/차량/핸드폰,복리후생비_기타,202410,부서
,2024/10,,55010127,복리후생비_직원구매,K3,3200007630,25,2024-11-04,2024-10-31,2024-10-31,S,40,2100,MLB,KRW,303500,303500.0,KRW,VZ,1000.0,24.10월임직원직원구매분_MLB_Distributor팀,,,,,2000.0,,FM1300,[CLSD]MLB_해외사업,임직원 직원구매,,,,,,기타영업비,복리비/차량/핸드폰,복리후생비_기타,202410,부서
,2024/10,,55010127,복리후생비_직원구매,K3,3200007630,26,2024-11-04,2024-10-31,2024-10-31,S,40,2100,MLB,KRW,1142000,1142000.0,KRW,VZ,1000.0,24.10월임직원직원구매분_MLB_TD팀,,,,,1000.0,,FM1400,MLB_QM팀,임직원 직원구매,,,,,,기타영업비,복리비/차량/핸드폰,복리후생비_기타,202410,부서
,2024/10,,55010127,복리후생비_직원구매,K3,3200007630,27,2024-11-04,2024-10-31,2024-10-31,S,40,2100,MLB,KRW,1482500,1482500.0,KRW,VZ,1000.0,24.10월임직원직원구매분_MLB_VMD팀,,,,,2000.0,,FM0500,MLB_VMD팀,임직원 직원구매,,,,,,기타영업비,복리비/차량/핸드폰,복리후생비_기타,202410,부서
,2024/10,,55010127,복리후생비_직원구매,K3,3200007630,28,2024-11-04,2024-10-31,2024-10-31,S,40,2100,MLB,KRW,3738500,3738500.0,KRW,VZ,1000.0,24.10월임직원직원구매분_MLB_공통,,,,,2000.0,,FM0000,MLB_공통,임직원 직원구매,,,,,,기타영업비,복리비/차량/핸드폰,복리후생비_기타,202410,부서
,2024/10,,55010127,복리후생비_직원구매,K3,3200007630,29,2024-11-04,2024-10-31,2024-10-31,S,40,2100,MLB,KRW,18000,18000.0,KRW,VZ,1000.0,24.10월임직원직원구매분_MLB_글로벌마케팅팀,,,,,2000.0,,FM1300,[CLSD]MLB_해외사업,임직원 직원구매,,,,,,기타영업비,복리비/차량/핸드폰,복리후생비_기타,202410,부서
,2024/10,,55010127,복리후생비_직원구매,K3,3200007630,30,2024-11-04,2024-10-31,2024-10-31,S,40,2100,MLB,KRW,1084450,1084450.0,KRW,VZ,1000.0,24.10월임직원직원구매분_MLB_마케팅팀,,,,,2000.0,,FM0300,MLB_마케팅팀,임직원 직원구매,,,,,,기타영업비,복리비/차량/핸드폰,복리후생비_기타,202410,부서
,2024/10,,55010127,복리후생비_직원구매,K3,3200007630,31,2024-11-04,2024-10-31,2024-10-31,S,40,2100,MLB,KRW,565500,565500.0,KRW,VZ,1000.0,24.10월임직원직원구매분_MLB_사업담당,,,,,1000.0,,FM0100,MLB_사업담당,임직원 직원구매,,,,,,기타영업비,복리비/차량/핸드폰,복리후생비_기타,202410,부서
,2024/10,,55010127,복리후생비_직원구매,K3,3200007630,32,2024-11-04,2024-10-31,2024-10-31,S,40,2100,MLB,KRW,523500,523500.0,KRW,VZ,1000.0,24.10월임직원직원구매분_MLB_영업1팀,,,,,2000.0,,FM1000,MLB_파트너채널팀,임직원 직원구매,,,,,,기타영업비,복리비/차량/핸드폰,복리후생비_기타,202410,부서
,2024/10,,55010127,복리후생비_직원구매,K3,3200007630,33,2024-11-04,2024-10-31,2024-10-31,S,40,2100,MLB,KRW,835500,835500.0,KRW,VZ,1000.0,24.10월임직원직원구매분_MLB_영업2팀,,,,,2000.0,,FM1700,MLB_리테일채널팀,임직원 직원구매,,,,,,기타영업비,복리비/차량/핸드폰,복리후생비_기타,202410,부서
