반제/미결항목 기호,연도/월,반제전표,G/L 계정,G/L 계정 설명,전표 유형,전표 번호,개별 항목,입력일,전기일,증빙일,차변/대변지시자,전기 키,사업 영역,사업 영역 내역,현지 통화,금액(현지 통화),금액(전표 통화),전표통화,세금 코드,사업장,텍스트,고객,공급업체,거래처명,세금 번호 2,기능 영역,손익 센터,코스트 센터,코스트센터명,지정,자재,참조 키 1,참조 키 2,참조 키 3,반제일,CATEGORY_L1,CATEGORY_L2,CATEGORY_L3,연월,코스트센터타입
,2024/10,,55010105,복리후생비_의료보험,K3,3200007582,53,2024-11-04,2024-10-31,2024-10-31,S,40,2110,MLB KIDS,KRW,593900,593900.0,KRW,VZ,1000.0,24.10월건강보험회사부담분MLBKIDS_VMD팀,,,,,2000.0,,FI0400,MLB KIDS_VMD팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010105,복리후생비_의료보험,K3,3200007582,54,2024-11-04,2024-10-31,2024-10-31,S,40,2110,MLB KIDS,KRW,1473580,1473580.0,KRW,VZ,1000.0,24.10월건강보험회사부담분MLBKIDS_기획팀,,,,,1000.0,,FI0500,MLB KIDS_기획팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010105,복리후생비_의료보험,K3,3200007582,55,2024-11-04,2024-10-31,2024-10-31,S,40,2110,MLB KIDS,KRW,2902550,2902550.0,KRW,VZ,1000.0,24.10월건강보험회사부담분MLBKIDS_소싱팀,,,,,1000.0,,FI0700,MLB KIDS_소싱팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010105,복리후생비_의료보험,K3,3200007582,56,2024-11-04,2024-10-31,2024-10-31,S,40,2110,MLB KIDS,KRW,1164660,1164660.0,KRW,VZ,1000.0,24.10월건강보험회사부담분MLBKIDS_영업1팀,,,,,2000.0,,FI0800,MLB KIDS_영업팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010105,복리후생비_의료보험,K3,3200007582,57,2024-11-04,2024-10-31,2024-10-31,S,40,2110,MLB KIDS,KRW,904130,904130.0,KRW,VZ,1000.0,24.10월건강보험회사부담분MLBKIDS_유통MD팀,,,,,2000.0,,FI1000,MLB KIDS_카테고리운영팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010105,복리후생비_의료보험,K3,3200007582,58,2024-11-04,2024-10-31,2024-10-31,S,40,2110,MLB KIDS,KRW,702260,702260.0,KRW,VZ,1000.0,24.10월건강보험회사부담분MLBKIDS_마케팅팀,,,,,2000.0,,FI0300,MLB KIDS_마케팅팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010105,복리후생비_의료보험,K3,3200007582,59,2024-11-04,2024-10-31,2024-10-31,S,40,2110,MLB KIDS,KRW,355780,355780.0,KRW,VZ,1000.0,24.10월건강보험회사부담분MLBKIDS_사업담당,,,,,1000.0,,FI0500,MLB KIDS_기획팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010105,복리후생비_의료보험,K3,3200007582,60,2024-11-04,2024-10-31,2024-10-31,S,40,2110,MLB KIDS,KRW,265060,265060.0,KRW,VZ,1000.0,24.10월건강보험회사부담분MLBKIDS디자인연구실_슈즈팀,,,,,1000.0,,FI2000,MLB KIDS_슈즈팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010105,복리후생비_의료보험,K3,3200007582,61,2024-11-04,2024-10-31,2024-10-31,S,40,2110,MLB KIDS,KRW,933270,933270.0,KRW,VZ,1000.0,24.10월건강보험회사부담분MLBKIDS디자인연구실_용품디자인팀,,,,,1000.0,,FI0600,MLB KIDS_디자인팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010105,복리후생비_의료보험,K3,3200007582,62,2024-11-04,2024-10-31,2024-10-31,S,40,2110,MLB KIDS,KRW,2149460,2149460.0,KRW,VZ,1000.0,24.10월건강보험회사부담분MLBKIDS디자인연구실_의류디자인팀,,,,,1000.0,,FI0600,MLB KIDS_디자인팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010105,복리후생비_의료보험,K3,3200007582,63,2024-11-04,2024-10-31,2024-10-31,S,40,2110,MLB KIDS,KRW,582790,582790.0,KRW,VZ,1000.0,24.10월건강보험회사부담분MLBKIDS디자인연구실_소재디자인팀,,,,,1000.0,,FI0600,MLB KIDS_디자인팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010105,복리후생비_의료보험,K3,3200007582,64,2024-11-04,2024-10-31,2024-10-31,S,40,2110,MLB KIDS,KRW,276290,276290.0,KRW,VZ,1000.0,24.10월건강보험회사부담분MLBKIDS디자인연구실_그래픽디자인팀,,,,,1000.0,,FI0600,MLB KIDS_디자인팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
