반제/미결항목 기호,연도/월,반제전표,G/L 계정,G/L 계정 설명,전표 유형,전표 번호,개별 항목,입력일,전기일,증빙일,차변/대변지시자,전기 키,사업 영역,사업 영역 내역,현지 통화,금액(현지 통화),금액(전표 통화),전표통화,세금 코드,사업장,텍스트,고객,공급업체,거래처명,세금 번호 2,기능 영역,손익 센터,코스트 센터,코스트센터명,지정,자재,참조 키 1,참조 키 2,참조 키 3,반제일,CATEGORY_L1,CATEGORY_L2,CATEGORY_L3,연월,코스트센터타입
,2025/10,,55010107,복리후생비_고용보험,K3,3200006643,160,2025-11-05,2025-10-31,2025-10-31,S,40,2110,MLB KIDS,KRW,78850,78850.0,KRW,VZ,1000.0,25.10월 고용보험 회사부담분 MLB KIDS_VMD팀||||,,,,,2000.0,,FI0400,MLB KIDS_VMD팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202510,부서
,2025/10,,55010107,복리후생비_고용보험,K3,3200006643,161,2025-11-05,2025-10-31,2025-10-31,S,40,2110,MLB KIDS,KRW,231011,231011.0,KRW,VZ,1000.0,25.10월 고용보험 회사부담분 MLB KIDS_기획팀||||,,,,,1000.0,,FI0500,MLB KIDS_기획팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202510,부서
,2025/10,,55010107,복리후생비_고용보험,K3,3200006643,162,2025-11-05,2025-10-31,2025-10-31,S,40,2110,MLB KIDS,KRW,512529,512529.0,KRW,VZ,1000.0,25.10월 고용보험 회사부담분 MLB KIDS_소싱팀||||,,,,,1000.0,,FI0700,MLB KIDS_소싱팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202510,부서
,2025/10,,55010107,복리후생비_고용보험,K3,3200006643,163,2025-11-05,2025-10-31,2025-10-31,S,40,2110,MLB KIDS,KRW,181348,181348.0,KRW,VZ,1000.0,25.10월 고용보험 회사부담분 MLB KIDS_마케팅팀||||,,,,,2000.0,,FI0300,MLB KIDS_마케팅팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202510,부서
,2025/10,,55010107,복리후생비_고용보험,K3,3200006643,164,2025-11-05,2025-10-31,2025-10-31,S,40,2110,MLB KIDS,KRW,65669,65669.0,KRW,VZ,1000.0,25.10월 고용보험 회사부담분 MLB KIDS_사업담당||||,,,,,1000.0,,FI0500,MLB KIDS_기획팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202510,부서
,2025/10,,55010107,복리후생비_고용보험,K3,3200006643,165,2025-11-05,2025-10-31,2025-10-31,S,40,2110,MLB KIDS,KRW,58956,58956.0,KRW,VZ,1000.0,25.10월 고용보험 회사부담분 MLB KIDS_슈즈팀||||,,,,,1000.0,,FI2000,MLB KIDS_슈즈팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202510,부서
,2025/10,,55010107,복리후생비_고용보험,K3,3200006643,166,2025-11-05,2025-10-31,2025-10-31,S,40,2110,MLB KIDS,KRW,61029,61029.0,KRW,VZ,1000.0,25.10월 고용보험 회사부담분 MLBKIDS 디자인연구실_슈즈팀||||,,,,,1000.0,,FI2000,MLB KIDS_슈즈팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202510,부서
,2025/10,,55010107,복리후생비_고용보험,K3,3200006643,167,2025-11-05,2025-10-31,2025-10-31,S,40,2110,MLB KIDS,KRW,186322,186322.0,KRW,VZ,1000.0,25.10월 고용보험 회사부담분 MLBKIDS 디자인연구실_용품디자인팀||||,,,,,1000.0,,FI0600,MLB KIDS_디자인팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202510,부서
,2025/10,,55010107,복리후생비_고용보험,K3,3200006643,168,2025-11-05,2025-10-31,2025-10-31,S,40,2110,MLB KIDS,KRW,412030,412030.0,KRW,VZ,1000.0,25.10월 고용보험 회사부담분 MLBKIDS 디자인연구실_의류디자인팀||||,,,,,1000.0,,FI0600,MLB KIDS_디자인팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202510,부서
,2025/10,,55010107,복리후생비_고용보험,K3,3200006643,169,2025-11-05,2025-10-31,2025-10-31,S,40,2110,MLB KIDS,KRW,124094,124094.0,KRW,VZ,1000.0,25.10월 고용보험 회사부담분 MLBKIDS 디자인연구실_소재디자인팀||||,,,,,1000.0,,FI0600,MLB KIDS_디자인팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202510,부서
,2025/10,,55010107,복리후생비_고용보험,K3,3200006643,170,2025-11-05,2025-10-31,2025-10-31,S,40,2110,MLB KIDS,KRW,64596,64596.0,KRW,VZ,1000.0,25.10월 고용보험 회사부담분 MLBKIDS 디자인연구실_그래픽디자인팀||||,,,,,1000.0,,FI0600,MLB KIDS_디자인팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202510,부서
,2025/10,,55010107,복리후생비_고용보험,K3,3200006643,171,2025-11-05,2025-10-31,2025-10-31,S,40,2110,MLB KIDS,KRW,241498,241498.0,KRW,VZ,1000.0,25.10월 고용보험 회사부담분 MLB KIDS_영업팀||||,,,,,2000.0,,FI0800,MLB KIDS_영업팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202510,부서
,2025/10,,55010107,복리후생비_고용보험,K3,3200006643,172,2025-11-05,2025-10-31,2025-10-31,S,40,2110,MLB KIDS,KRW,181182,181182.0,KRW,VZ,1000.0,25.10월 고용보험 회사부담분 MLB KIDS_카테고리운영팀||||,,,,,2000.0,,FI1000,MLB KIDS_카테고리운영팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202510,부서
