반제/미결항목 기호,연도/월,반제전표,G/L 계정,G/L 계정 설명,전표 유형,전표 번호,개별 항목,입력일,전기일,증빙일,차변/대변지시자,전기 키,사업 영역,사업 영역 내역,현지 통화,금액(현지 통화),금액(전표 통화),전표통화,세금 코드,사업장,텍스트,고객,공급업체,거래처명,세금 번호 2,기능 영역,손익 센터,코스트 센터,코스트센터명,지정,자재,참조 키 1,참조 키 2,참조 키 3,반제일,CATEGORY_L1,CATEGORY_L2,CATEGORY_L3,연월,코스트센터타입
,2024/10,,55010129,복리후생비_산재보험,K3,3200007582,338,2024-11-04,2024-10-31,2024-10-31,S,40,2200,Discovery,KRW,277650,277650.0,KRW,VZ,1000.0,24.10월국민연금회사부담분Discovery_기획부문담당,,,,,1000.0,,FX1500,DISCOVERY_기획팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010129,복리후생비_산재보험,K3,3200007582,339,2024-11-04,2024-10-31,2024-10-31,S,40,2200,Discovery,KRW,277650,277650.0,KRW,VZ,1000.0,24.10월국민연금회사부담분Discovery_영업부문담당,,,,,2000.0,,FX1200,DISCOVERY_유통1팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010129,복리후생비_산재보험,K3,3200007582,340,2024-11-04,2024-10-31,2024-10-31,S,40,2200,Discovery,KRW,1837060,1837060.0,KRW,VZ,1000.0,24.10월국민연금회사부담분Discovery_마케팅팀,,,,,2000.0,,FX0300,DISCOVERY_마케팅팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010129,복리후생비_산재보험,K3,3200007582,341,2024-11-04,2024-10-31,2024-10-31,S,40,2200,Discovery,KRW,667740,667740.0,KRW,VZ,1000.0,24.10월국민연금회사부담분Discovery_VMD팀,,,,,2000.0,,FX0400,DISCOVERY_VMD팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010129,복리후생비_산재보험,K3,3200007582,342,2024-11-04,2024-10-31,2024-10-31,S,40,2200,Discovery,KRW,1220940,1220940.0,KRW,VZ,1000.0,24.10월국민연금회사부담분Discovery_TD팀,,,,,1000.0,,FX1000,DISCOVERY_QM팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010129,복리후생비_산재보험,K3,3200007582,343,2024-11-04,2024-10-31,2024-10-31,S,40,2200,Discovery,KRW,925370,925370.0,KRW,VZ,1000.0,24.10월국민연금회사부담분Discovery_소재소싱팀,,,,,1000.0,,FX1100,DISCOVERY_소재팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010129,복리후생비_산재보험,K3,3200007582,344,2024-11-04,2024-10-31,2024-10-31,S,40,2200,Discovery,KRW,2083810,2083810.0,KRW,VZ,1000.0,24.10월국민연금회사부담분Discovery_영업1팀,,,,,2000.0,,FX1200,DISCOVERY_유통1팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010129,복리후생비_산재보험,K3,3200007582,345,2024-11-04,2024-10-31,2024-10-31,S,40,2200,Discovery,KRW,1806830,1806830.0,KRW,VZ,1000.0,24.10월국민연금회사부담분Discovery_영업2팀,,,,,2000.0,,FX1300,DISCOVERY_유통2팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010129,복리후생비_산재보험,K3,3200007582,346,2024-11-04,2024-10-31,2024-10-31,S,40,2200,Discovery,KRW,1664720,1664720.0,KRW,VZ,1000.0,24.10월국민연금회사부담분Discovery_유통MD팀,,,,,2000.0,,FX1400,DISCOVERY_카테고리운영팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010129,복리후생비_산재보험,K3,3200007582,347,2024-11-04,2024-10-31,2024-10-31,S,40,2200,Discovery,KRW,277650,277650.0,KRW,VZ,1000.0,24.10월국민연금회사부담분Discovery_소싱부문담당,,,,,1000.0,,FX1600,DISCOVERY_소싱팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010129,복리후생비_산재보험,K3,3200007582,348,2024-11-04,2024-10-31,2024-10-31,S,40,2200,Discovery,KRW,277650,277650.0,KRW,VZ,1000.0,24.10월국민연금회사부담분Discovery_해외사업팀,,,,,2000.0,,FX1700,DISCOVERY_해외사업팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010129,복리후생비_산재보험,K3,3200007582,349,2024-11-04,2024-10-31,2024-10-31,S,40,2200,Discovery,KRW,724500,724500.0,KRW,VZ,1000.0,24.10월국민연금회사부담분Discovery디자인연구실_슈즈팀,,,,,1000.0,,FX2100,DISCOVERY_슈즈팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010129,복리후생비_산재보험,K3,3200007582,350,2024-11-04,2024-10-31,2024-10-31,S,40,2200,Discovery,KRW,1194610,1194610.0,KRW,VZ,1000.0,24.10월국민연금회사부담분Discovery디자인연구실_용품팀,,,,,1000.0,,FX0800,DISCOVERY_용품팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010129,복리후생비_산재보험,K3,3200007582,351,2024-11-04,2024-10-31,2024-10-31,S,40,2200,Discovery,KRW,2556890,2556890.0,KRW,VZ,1000.0,24.10월국민연금회사부담분Discovery_소싱팀,,,,,1000.0,,FX1600,DISCOVERY_소싱팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010129,복리후생비_산재보험,K3,3200007582,352,2024-11-04,2024-10-31,2024-10-31,S,40,2200,Discovery,KRW,727600,727600.0,KRW,VZ,1000.0,24.10월국민연금회사부담분Discovery디자인연구실_키즈디자인팀,,,,,1000.0,,FX0500,DISCOVERY_KIDS 디자인팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010129,복리후생비_산재보험,K3,3200007582,353,2024-11-04,2024-10-31,2024-10-31,S,40,2200,Discovery,KRW,2869220,2869220.0,KRW,VZ,1000.0,24.10월국민연금회사부담분Discovery디자인연구실_성인디자인팀,,,,,1000.0,,FX0600,DISCOVERY_디자인팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010129,복리후생비_산재보험,K3,3200007582,354,2024-11-04,2024-10-31,2024-10-31,S,40,2200,Discovery,KRW,2206970,2206970.0,KRW,VZ,1000.0,24.10월국민연금회사부담분Discovery_기획팀,,,,,1000.0,,FX1500,DISCOVERY_기획팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010129,복리후생비_산재보험,K3,3200007582,355,2024-11-04,2024-10-31,2024-10-31,S,40,2200,Discovery,KRW,1676650,1676650.0,KRW,VZ,1000.0,24.10월국민연금회사부담분Discovery_슈즈팀,,,,,1000.0,,FX2100,DISCOVERY_슈즈팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010129,복리후생비_산재보험,HR,8100000017,56,2024-11-04,2024-10-31,2024-10-31,H,50,2200,Discovery,KRW,-513730,-513730.0,KRW,VZ,1000.0,DISCOVERY_해외사업팀,,,,,2000.0,,FX1700,DISCOVERY_해외사업팀,FX1700,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010129,복리후생비_산재보험,HR,8100000017,57,2024-11-04,2024-10-31,2024-10-31,H,50,2200,Discovery,KRW,-2840828,-2840828.0,KRW,VZ,1000.0,DISCOVERY_유통MD팀,,,,,2000.0,,FX1400,DISCOVERY_카테고리운영팀,FX1400,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010129,복리후생비_산재보험,HR,8100000017,58,2024-11-04,2024-10-31,2024-10-31,H,50,2200,Discovery,KRW,-2118422,-2118422.0,KRW,VZ,1000.0,DISCOVERY_용품팀,,,,,1000.0,,FX0800,DISCOVERY_용품팀,FX0800,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
