반제/미결항목 기호,연도/월,반제전표,G/L 계정,G/L 계정 설명,전표 유형,전표 번호,개별 항목,입력일,전기일,증빙일,차변/대변지시자,전기 키,사업 영역,사업 영역 내역,현지 통화,금액(현지 통화),금액(전표 통화),전표통화,세금 코드,사업장,텍스트,고객,공급업체,거래처명,세금 번호 2,기능 영역,손익 센터,코스트 센터,코스트센터명,지정,자재,참조 키 1,참조 키 2,참조 키 3,반제일,CATEGORY_L1,CATEGORY_L2,CATEGORY_L3,연월,코스트센터타입
,2025/10,,55170127,광고선전비_물류_재고대체,SC,1800750709,1,2025-11-10,2025-10-31,2025-10-31,S,40,2400,Duvetica,KRW,96645,96645.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FV0000,DUVETICA_공통,FV0000,V25FVDDH11155,,,,,광고선전비,광고선전비,광고선전비_기타,202510,부서
,2025/10,,55170127,광고선전비_물류_재고대체,SC,1800750710,1,2025-11-10,2025-10-31,2025-10-31,S,40,2400,Duvetica,KRW,60906,60906.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FV0000,DUVETICA_공통,FV0000,V25FVDDH31255,,,,,광고선전비,광고선전비,광고선전비_기타,202510,부서
,2025/10,,55170127,광고선전비_물류_재고대체,SC,1800750711,1,2025-11-10,2025-10-31,2025-10-31,S,40,2400,Duvetica,KRW,32085,32085.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FV0000,DUVETICA_공통,FV0000,V25FVDDH36355,,,,,광고선전비,광고선전비,광고선전비_기타,202510,부서
,2025/10,,55170127,광고선전비_물류_재고대체,SC,1800750712,1,2025-11-10,2025-10-31,2025-10-31,S,40,2400,Duvetica,KRW,37066,37066.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FV0000,DUVETICA_공통,FV0000,V25FVDDJ15456,,,,,광고선전비,광고선전비,광고선전비_기타,202510,부서
,2025/10,,55170127,광고선전비_물류_재고대체,SC,1800750713,1,2025-11-10,2025-10-31,2025-10-31,S,40,2400,Duvetica,KRW,41326,41326.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FV0000,DUVETICA_공통,FV0000,V25FVDDJ31756,,,,,광고선전비,광고선전비,광고선전비_기타,202510,부서
,2025/10,,55170127,광고선전비_물류_재고대체,SC,1800750714,1,2025-11-10,2025-10-31,2025-10-31,S,40,2400,Duvetica,KRW,114328,114328.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FV0000,DUVETICA_공통,FV0000,V25FVDKC12954,,,,,광고선전비,광고선전비,광고선전비_기타,202510,부서
,2025/10,,55170127,광고선전비_물류_재고대체,SC,1800750715,1,2025-11-10,2025-10-31,2025-10-31,S,40,2400,Duvetica,KRW,63764,63764.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FV0000,DUVETICA_공통,FV0000,V25FVDKP10956,,,,,광고선전비,광고선전비,광고선전비_기타,202510,부서
,2025/10,,55170127,광고선전비_물류_재고대체,SC,1800750716,1,2025-11-10,2025-10-31,2025-10-31,S,40,2400,Duvetica,KRW,88285,88285.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FV0000,DUVETICA_공통,FV0000,V25FVDKP12854,,,,,광고선전비,광고선전비,광고선전비_기타,202510,부서
,2025/10,,55170127,광고선전비_물류_재고대체,SC,1800750717,1,2025-11-10,2025-10-31,2025-10-31,S,40,2400,Duvetica,KRW,22857,22857.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FV0000,DUVETICA_공통,FV0000,V25FVDPT12156,,,,,광고선전비,광고선전비,광고선전비_기타,202510,부서
,2025/10,,55170127,광고선전비_물류_재고대체,SC,1800750718,1,2025-11-10,2025-10-31,2025-10-31,S,40,2400,Duvetica,KRW,33459,33459.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FV0000,DUVETICA_공통,FV0000,V25FVUKP12854,,,,,광고선전비,광고선전비,광고선전비_기타,202510,부서
