반제/미결항목 기호,연도/월,반제전표,G/L 계정,G/L 계정 설명,전표 유형,전표 번호,개별 항목,입력일,전기일,증빙일,차변/대변지시자,전기 키,사업 영역,사업 영역 내역,현지 통화,금액(현지 통화),금액(전표 통화),전표통화,세금 코드,사업장,텍스트,고객,공급업체,거래처명,세금 번호 2,기능 영역,손익 센터,코스트 센터,코스트센터명,지정,자재,참조 키 1,참조 키 2,참조 키 3,반제일,CATEGORY_L1,CATEGORY_L2,CATEGORY_L3,연월,코스트센터타입
,2024/10,,55010127,복리후생비_직원구매,K3,3200007630,42,2024-11-04,2024-10-31,2024-10-31,S,40,2110,MLB KIDS,KRW,1273000,1273000.0,KRW,VZ,1000.0,24.10월임직원직원구매분_MLBKIDS_VMD팀,,,,,2000.0,,FI0400,MLB KIDS_VMD팀,임직원 직원구매,,,,,,기타영업비,복리비/차량/핸드폰,복리후생비_기타,202410,부서
,2024/10,,55010127,복리후생비_직원구매,K3,3200007630,43,2024-11-04,2024-10-31,2024-10-31,S,40,2110,MLB KIDS,KRW,553500,553500.0,KRW,VZ,1000.0,24.10월임직원직원구매분_MLBKIDS_기획팀,,,,,1000.0,,FI0500,MLB KIDS_기획팀,임직원 직원구매,,,,,,기타영업비,복리비/차량/핸드폰,복리후생비_기타,202410,부서
,2024/10,,55010127,복리후생비_직원구매,K3,3200007630,44,2024-11-04,2024-10-31,2024-10-31,S,40,2110,MLB KIDS,KRW,110500,110500.0,KRW,VZ,1000.0,24.10월임직원직원구매분_MLBKIDS_마케팅팀,,,,,2000.0,,FI0300,MLB KIDS_마케팅팀,임직원 직원구매,,,,,,기타영업비,복리비/차량/핸드폰,복리후생비_기타,202410,부서
,2024/10,,55010127,복리후생비_직원구매,K3,3200007630,45,2024-11-04,2024-10-31,2024-10-31,S,40,2110,MLB KIDS,KRW,1193800,1193800.0,KRW,VZ,1000.0,24.10월임직원직원구매분_MLBKIDS_소싱팀,,,,,1000.0,,FI0700,MLB KIDS_소싱팀,임직원 직원구매,,,,,,기타영업비,복리비/차량/핸드폰,복리후생비_기타,202410,부서
,2024/10,,55010127,복리후생비_직원구매,K3,3200007630,46,2024-11-04,2024-10-31,2024-10-31,S,40,2110,MLB KIDS,KRW,618000,618000.0,KRW,VZ,1000.0,24.10월임직원직원구매분_MLBKIDS_영업1팀,,,,,2000.0,,FI0800,MLB KIDS_영업팀,임직원 직원구매,,,,,,기타영업비,복리비/차량/핸드폰,복리후생비_기타,202410,부서
,2024/10,,55010127,복리후생비_직원구매,K3,3200007630,47,2024-11-04,2024-10-31,2024-10-31,S,40,2110,MLB KIDS,KRW,36000,36000.0,KRW,VZ,1000.0,24.10월임직원직원구매분_MLBKIDS_유통MD팀,,,,,2000.0,,FI1000,MLB KIDS_카테고리운영팀,임직원 직원구매,,,,,,기타영업비,복리비/차량/핸드폰,복리후생비_기타,202410,부서
,2024/10,,55010127,복리후생비_직원구매,K3,3200007630,48,2024-11-04,2024-10-31,2024-10-31,S,40,2110,MLB KIDS,KRW,135000,135000.0,KRW,VZ,1000.0,24.10월임직원직원구매분_MLBKIDS디자인연구실_그래픽디자인팀,,,,,1000.0,,FI0600,MLB KIDS_디자인팀,임직원 직원구매,,,,,,기타영업비,복리비/차량/핸드폰,복리후생비_기타,202410,부서
,2024/10,,55010127,복리후생비_직원구매,K3,3200007630,49,2024-11-04,2024-10-31,2024-10-31,S,40,2110,MLB KIDS,KRW,660000,660000.0,KRW,VZ,1000.0,24.10월임직원직원구매분_MLBKIDS디자인연구실_소재디자인팀,,,,,1000.0,,FI0600,MLB KIDS_디자인팀,임직원 직원구매,,,,,,기타영업비,복리비/차량/핸드폰,복리후생비_기타,202410,부서
,2024/10,,55010127,복리후생비_직원구매,K3,3200007630,50,2024-11-04,2024-10-31,2024-10-31,S,40,2110,MLB KIDS,KRW,333000,333000.0,KRW,VZ,1000.0,24.10월임직원직원구매분_MLBKIDS디자인연구실_슈즈팀,,,,,1000.0,,FI2000,MLB KIDS_슈즈팀,임직원 직원구매,,,,,,기타영업비,복리비/차량/핸드폰,복리후생비_기타,202410,부서
,2024/10,,55010127,복리후생비_직원구매,K3,3200007630,51,2024-11-04,2024-10-31,2024-10-31,S,40,2110,MLB KIDS,KRW,243850,243850.0,KRW,VZ,1000.0,24.10월임직원직원구매분_MLBKIDS디자인연구실_용품디자인팀,,,,,1000.0,,FI0600,MLB KIDS_디자인팀,임직원 직원구매,,,,,,기타영업비,복리비/차량/핸드폰,복리후생비_기타,202410,부서
,2024/10,,55010127,복리후생비_직원구매,K3,3200007630,52,2024-11-04,2024-10-31,2024-10-31,S,40,2110,MLB KIDS,KRW,869600,869600.0,KRW,VZ,1000.0,24.10월임직원직원구매분_MLBKIDS디자인연구실_의류디자인팀,,,,,1000.0,,FI0600,MLB KIDS_디자인팀,임직원 직원구매,,,,,,기타영업비,복리비/차량/핸드폰,복리후생비_기타,202410,부서
