반제/미결항목 기호,연도/월,반제전표,G/L 계정,G/L 계정 설명,전표 유형,전표 번호,개별 항목,입력일,전기일,증빙일,차변/대변지시자,전기 키,사업 영역,사업 영역 내역,현지 통화,금액(현지 통화),금액(전표 통화),전표통화,세금 코드,사업장,텍스트,고객,공급업체,거래처명,세금 번호 2,기능 영역,손익 센터,코스트 센터,코스트센터명,지정,자재,참조 키 1,참조 키 2,참조 키 3,반제일,CATEGORY_L1,CATEGORY_L2,CATEGORY_L3,연월,코스트센터타입
,2025/10,,55110141,소모품비_유니폼사용_재고대체,SC,1800750864,1,2025-11-10,2025-10-31,2025-10-31,S,40,2200,Discovery,KRW,2298,2298.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FX0000,DISCOVERY_공통,FX0000,X21NDXSH2111N,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_유니폼사용_재고대체,202510,부서
,2025/10,,55110141,소모품비_유니폼사용_재고대체,SC,1800750865,1,2025-11-10,2025-10-31,2025-10-31,S,40,2200,Discovery,KRW,1154,1154.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FX0000,DISCOVERY_공통,FX0000,X24NDXSH5534N,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_유니폼사용_재고대체,202510,부서
,2025/10,,55110141,소모품비_유니폼사용_재고대체,SC,1800750866,1,2025-11-10,2025-10-31,2025-10-31,S,40,2200,Discovery,KRW,4768,4768.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FX0000,DISCOVERY_공통,FX0000,X24NDXSH7244N,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_유니폼사용_재고대체,202510,부서
,2025/10,,55110141,소모품비_유니폼사용_재고대체,SC,1800750867,1,2025-11-10,2025-10-31,2025-10-31,S,40,2200,Discovery,KRW,472,472.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FX0000,DISCOVERY_공통,FX0000,X24NDXSO7014N,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_유니폼사용_재고대체,202510,부서
,2025/10,,55110141,소모품비_유니폼사용_재고대체,SC,1800750868,1,2025-11-10,2025-10-31,2025-10-31,S,40,2200,Discovery,KRW,148,148.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FX0000,DISCOVERY_공통,FX0000,X24NDXSO7024N,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_유니폼사용_재고대체,202510,부서
,2025/10,,55110141,소모품비_유니폼사용_재고대체,SC,1800750869,1,2025-11-10,2025-10-31,2025-10-31,S,40,2200,Discovery,KRW,430,430.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FX0000,DISCOVERY_공통,FX0000,X24NDXSO7044N,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_유니폼사용_재고대체,202510,부서
,2025/10,,55110141,소모품비_유니폼사용_재고대체,SC,1800750870,1,2025-11-10,2025-10-31,2025-10-31,S,40,2200,Discovery,KRW,97,97.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FX0000,DISCOVERY_공통,FX0000,X24NDXSO7084N,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_유니폼사용_재고대체,202510,부서
,2025/10,,55110141,소모품비_유니폼사용_재고대체,SC,1800750871,1,2025-11-10,2025-10-31,2025-10-31,S,40,2200,Discovery,KRW,480,480.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FX0000,DISCOVERY_공통,FX0000,X24NDXSO7144N,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_유니폼사용_재고대체,202510,부서
,2025/10,,55110141,소모품비_유니폼사용_재고대체,SC,1800750872,1,2025-11-10,2025-10-31,2025-10-31,S,40,2200,Discovery,KRW,1622,1622.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FX0000,DISCOVERY_공통,FX0000,X24NDXSO7154N,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_유니폼사용_재고대체,202510,부서
,2025/10,,55110141,소모품비_유니폼사용_재고대체,SC,1800750873,1,2025-11-10,2025-10-31,2025-10-31,S,40,2200,Discovery,KRW,3413,3413.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FX0000,DISCOVERY_공통,FX0000,X25FDMPT3I054,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_유니폼사용_재고대체,202510,부서
,2025/10,,55110141,소모품비_유니폼사용_재고대체,SC,1800750874,1,2025-11-10,2025-10-31,2025-10-31,S,40,2200,Discovery,KRW,18578,18578.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FX0000,DISCOVERY_공통,FX0000,X25FDMPT3Q054,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_유니폼사용_재고대체,202510,부서
,2025/10,,55110141,소모품비_유니폼사용_재고대체,SC,1800750875,1,2025-11-10,2025-10-31,2025-10-31,S,40,2200,Discovery,KRW,2114,2114.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FX0000,DISCOVERY_공통,FX0000,X25FDMTP21054,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_유니폼사용_재고대체,202510,부서
,2025/10,,55110141,소모품비_유니폼사용_재고대체,SC,1800750876,1,2025-11-10,2025-10-31,2025-10-31,S,40,2200,Discovery,KRW,2241,2241.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FX0000,DISCOVERY_공통,FX0000,X25FDMTP2A054,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_유니폼사용_재고대체,202510,부서
,2025/10,,55110141,소모품비_유니폼사용_재고대체,SC,1800750877,1,2025-11-10,2025-10-31,2025-10-31,S,40,2200,Discovery,KRW,14182,14182.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FX0000,DISCOVERY_공통,FX0000,X25FDMTP2C054,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_유니폼사용_재고대체,202510,부서
