반제/미결항목 기호,연도/월,반제전표,G/L 계정,G/L 계정 설명,전표 유형,전표 번호,개별 항목,입력일,전기일,증빙일,차변/대변지시자,전기 키,사업 영역,사업 영역 내역,현지 통화,금액(현지 통화),금액(전표 통화),전표통화,세금 코드,사업장,텍스트,고객,공급업체,거래처명,세금 번호 2,기능 영역,손익 센터,코스트 센터,코스트센터명,지정,자재,참조 키 1,참조 키 2,참조 키 3,반제일,CATEGORY_L1,CATEGORY_L2,CATEGORY_L3,연월,코스트센터타입
,2024/10,,55330101,보험료_화재보험료,ST,1900000355,20,2024-11-07,2024-10-31,2024-10-31,S,40,2100,MLB,KRW,405847,405847.0,KRW,,,24.10월_M 명동중앙점 화재보험료,,,,,2000.0,,ZM7070,M_명동중앙(직),2023.12.22,,,,,,기타영업비,기타비용,보험료,202410,매장
,2024/10,,55330101,보험료_화재보험료,ST,1900000356,14,2024-11-07,2024-10-31,2024-10-31,S,40,2100,MLB,KRW,45301,45301.0,KRW,,,24.10월_M 스타필드수원 화재보험료,,,,,2000.0,,ZM8080,M_스타필드수원(직),2024.01.25,,,,,,기타영업비,기타비용,보험료,202410,매장
,2024/10,,55330101,보험료_화재보험료,ST,1900000356,44,2024-11-07,2024-10-31,2024-10-31,S,40,2100,MLB,KRW,87628,87628.0,KRW,,,24.10월_MLB역삼 화재보험 갱신,,,,,2000.0,,ZM7100,M_강남사옥(직),20240219,,,,,,기타영업비,기타비용,보험료,202410,매장
,2024/10,,55330101,보험료_화재보험료,ST,1900000357,4,2024-11-07,2024-10-31,2024-10-31,S,40,2100,MLB,KRW,67396,67396.0,KRW,,,24.10월_MLB 홍대직영점 화재보험료,,,,,2000.0,,ZM7090,M_홍대(직),2024.03.25,,,,,,기타영업비,기타비용,보험료,202410,매장
,2024/10,,55330101,보험료_화재보험료,ST,1900000357,6,2024-11-07,2024-10-31,2024-10-31,S,40,2100,MLB,KRW,58544,58544.0,KRW,,,24.10월_MLB 타임테라스동탄 화재보험 갱신의 건,,,,,2000.0,,ZM8060,M_타임테라스동탄(직),2024.04.02,,,,,,기타영업비,기타비용,보험료,202410,매장
,2024/10,,55330101,보험료_화재보험료,ST,1900000357,24,2024-11-07,2024-10-31,2024-10-31,S,40,2100,MLB,KRW,34591,34591.0,KRW,,,24.10월_MLB 트리플스트리트 화재보험 갱신의 건,,,,,2000.0,,ZM7050,M_트리플스트리트(직),2024.05.21,,,,,,기타영업비,기타비용,보험료,202410,매장
,2024/10,,55330101,보험료_화재보험료,ST,1900000357,26,2024-11-07,2024-10-31,2024-10-31,S,40,2100,MLB,KRW,56825,56825.0,KRW,,,24.10월_MLB 충장로(직) 화재보험 보험료,,,,,2000.0,,ZM7000,M_충장로(직),2024.05.21,,,,,,기타영업비,기타비용,보험료,202410,매장
,2024/10,,55330101,보험료_화재보험료,ST,1900000357,64,2024-11-07,2024-10-31,2024-10-31,S,40,2100,MLB,KRW,63008,63008.0,KRW,,,24.10월_MLB 동성로(직) 화재보험료,,,,,2000.0,,ZM7040,M_동성로(직),2024.06.19,,,,,,기타영업비,기타비용,보험료,202410,매장
,2024/10,,55330101,보험료_화재보험료,ST,1900000357,82,2024-11-07,2024-10-31,2024-10-31,S,40,2100,MLB,KRW,96041,96041.0,KRW,,,24.10월_MLB 가로수길 화재보험,,,,,2000.0,,ZM7060,M_가로수길(직),2024.07.05,,,,,,기타영업비,기타비용,보험료,202410,매장
,2024/10,,55330101,보험료_화재보험료,ST,1900000357,96,2024-11-07,2024-10-31,2024-10-31,S,40,2100,MLB,KRW,57875,57875.0,KRW,,,24.10월_MLB 스타필드안성 화재보험,,,,,2000.0,,ZM8040,M_스타필드안성(직),2024.07.15,,,,,,기타영업비,기타비용,보험료,202410,매장
,2024/10,,55330101,보험료_화재보험료,ST,1900000358,24,2024-11-08,2024-10-31,2024-10-31,S,40,2100,MLB,KRW,36353,36353.0,KRW,,,24.10월_MLB 스타필드고양 화재보험,,,,,2000.0,,ZM8030,[CLSD]M_스타필드고양(직),2024.08.14,,,,,,기타영업비,기타비용,보험료,202410,매장
,2024/10,,55330101,보험료_화재보험료,ST,1900000358,26,2024-11-08,2024-10-31,2024-10-31,S,40,2100,MLB,KRW,91882,91882.0,KRW,,,24.10월_MLB 롯데아울렛의왕 화재보험,,,,,2000.0,,ZM8020,M_롯데아울렛의왕(직),2024.08.14,,,,,,기타영업비,기타비용,보험료,202410,매장
,2024/10,,55330101,보험료_화재보험료,ST,1900000358,50,2024-11-08,2024-10-31,2024-10-31,S,40,2100,MLB,KRW,36277,36277.0,KRW,,,24.10월_MLB 타임스퀘어영등포 화재보험료,,,,,2000.0,,ZM7010,M_타임스퀘어(직),2024.09.09,,,,,,기타영업비,기타비용,보험료,202410,매장
,2024/10,,55330101,보험료_화재보험료,ST,1900000358,52,2024-11-08,2024-10-31,2024-10-31,S,40,2100,MLB,KRW,38622,38622.0,KRW,,,24.10월_MLB 타임스트림신림 화재보험료,,,,,2000.0,,ZM8050,M_타임스퀘어신림(직),2024.09.09,,,,,,기타영업비,기타비용,보험료,202410,매장
,2024/10,,55330101,보험료_화재보험료,ST,1900000358,84,2024-11-08,2024-10-31,2024-10-31,S,40,2100,MLB,KRW,141358,141358.0,KRW,,,24.10월_MLB 한남점 화재보험료,,,,,2000.0,,ZM7110,M_한남(직),2024.10.07,,,,,,기타영업비,기타비용,보험료,202410,매장
