반제/미결항목 기호,연도/월,반제전표,G/L 계정,G/L 계정 설명,전표 유형,전표 번호,개별 항목,입력일,전기일,증빙일,차변/대변지시자,전기 키,사업 영역,사업 영역 내역,현지 통화,금액(현지 통화),금액(전표 통화),전표통화,세금 코드,사업장,텍스트,고객,공급업체,거래처명,세금 번호 2,기능 영역,손익 센터,코스트 센터,코스트센터명,지정,자재,참조 키 1,참조 키 2,참조 키 3,반제일,CATEGORY_L1,CATEGORY_L2,CATEGORY_L3,연월,코스트센터타입
,2025/10,,55170125,광고선전비_물류,DA,2000130988,1,2025-10-28,2025-10-27,2025-10-27,S,40,2110,MLB KIDS,KRW,21727,21727.0,KRW,,1000.0,I25F7ADJB2356,,,,,2000.0,,FI0000,MLB KIDS_공통,0000104316,,,,,,광고선전비,광고선전비,광고선전비_협찬/제휴,202510,부서
,2025/10,,55170125,광고선전비_물류,DA,2000130989,1,2025-10-28,2025-10-27,2025-10-27,S,40,2110,MLB KIDS,KRW,8091,8091.0,KRW,,1000.0,I25F7AWBCB656,,,,,2000.0,,FI0000,MLB KIDS_공통,0000104316,,,,,,광고선전비,광고선전비,광고선전비_협찬/제휴,202510,부서
,2025/10,,55170125,광고선전비_물류,DA,2000130990,1,2025-10-28,2025-10-27,2025-10-27,S,40,2110,MLB KIDS,KRW,8091,8091.0,KRW,,1000.0,I25F7AWBCB156,,,,,2000.0,,FI0000,MLB KIDS_공통,0000104316,,,,,,광고선전비,광고선전비,광고선전비_협찬/제휴,202510,부서
,2025/10,,55170125,광고선전비_물류,DA,2000130991,1,2025-10-28,2025-10-27,2025-10-27,S,40,2110,MLB KIDS,KRW,13545,13545.0,KRW,,1000.0,I25F7AS2B0556,,,,,2000.0,,FI0000,MLB KIDS_공통,0000104316,,,,,,광고선전비,광고선전비,광고선전비_협찬/제휴,202510,부서
,2025/10,,55170125,광고선전비_물류,DA,2000130992,1,2025-10-28,2025-10-27,2025-10-27,S,40,2110,MLB KIDS,KRW,18091,18091.0,KRW,,1000.0,I25F7ADJB2456,,,,,2000.0,,FI0000,MLB KIDS_공통,0000104316,,,,,,광고선전비,광고선전비,광고선전비_협찬/제휴,202510,부서
,2025/10,,55170125,광고선전비_물류,DA,2000130993,1,2025-10-28,2025-10-27,2025-10-27,S,40,2110,MLB KIDS,KRW,11727,11727.0,KRW,,1000.0,I25F7AS2B0956,,,,,2000.0,,FI0000,MLB KIDS_공통,0000104316,,,,,,광고선전비,광고선전비,광고선전비_협찬/제휴,202510,부서
,2025/10,,55170125,광고선전비_물류,DA,2000132695,1,2025-10-31,2025-10-30,2025-10-30,S,40,2110,MLB KIDS,KRW,25364,25364.0,KRW,,1000.0,I24F7ADJR0246,,,,,2000.0,,FI0000,MLB KIDS_공통,0000104316,,,,,,광고선전비,광고선전비,광고선전비_협찬/제휴,202510,부서
,2025/10,,55170125,광고선전비_물류,DA,2000132696,1,2025-10-31,2025-10-30,2025-10-30,S,40,2110,MLB KIDS,KRW,21727,21727.0,KRW,,1000.0,I24F7FDJB0846,,,,,2000.0,,FI0000,MLB KIDS_공통,0000104316,,,,,,광고선전비,광고선전비,광고선전비_협찬/제휴,202510,부서
,2025/10,,55170125,광고선전비_물류,DA,2000132697,1,2025-10-31,2025-10-30,2025-10-30,S,40,2110,MLB KIDS,KRW,24455,24455.0,KRW,,1000.0,I24F7ADJM0746,,,,,2000.0,,FI0000,MLB KIDS_공통,0000104316,,,,,,광고선전비,광고선전비,광고선전비_협찬/제휴,202510,부서
,2025/10,,55170125,광고선전비_물류,DA,2000132698,1,2025-10-31,2025-10-30,2025-10-30,S,40,2110,MLB KIDS,KRW,21727,21727.0,KRW,,1000.0,I24F7ADJR0446,,,,,2000.0,,FI0000,MLB KIDS_공통,0000104316,,,,,,광고선전비,광고선전비,광고선전비_협찬/제휴,202510,부서
