반제/미결항목 기호,연도/월,반제전표,G/L 계정,G/L 계정 설명,전표 유형,전표 번호,개별 항목,입력일,전기일,증빙일,차변/대변지시자,전기 키,사업 영역,사업 영역 내역,현지 통화,금액(현지 통화),금액(전표 통화),전표통화,세금 코드,사업장,텍스트,고객,공급업체,거래처명,세금 번호 2,기능 영역,손익 센터,코스트 센터,코스트센터명,지정,자재,참조 키 1,참조 키 2,참조 키 3,반제일,CATEGORY_L1,CATEGORY_L2,CATEGORY_L3,연월,코스트센터타입
,2024/10,,55170127,광고선전비_물류_재고대체,SC,1800818931,1,2024-11-08,2024-10-31,2024-10-31,S,40,2110,MLB KIDS,KRW,502,502.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FI0000,MLB KIDS_공통,FI0000,I21F7APEH0214,,,,,광고선전비,광고선전비,광고선전비_기타,202410,부서
,2024/10,,55170127,광고선전비_물류_재고대체,SC,1800818932,1,2024-11-08,2024-10-31,2024-10-31,S,40,2110,MLB KIDS,KRW,359,359.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FI0000,MLB KIDS_공통,FI0000,I21F7APEM0114,,,,,광고선전비,광고선전비,광고선전비_기타,202410,부서
,2024/10,,55170127,광고선전비_물류_재고대체,SC,1800818933,1,2024-11-08,2024-10-31,2024-10-31,S,40,2110,MLB KIDS,KRW,1005,1005.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FI0000,MLB KIDS_공통,FI0000,I21S72PEC1111,,,,,광고선전비,광고선전비,광고선전비_기타,202410,부서
,2024/10,,55170127,광고선전비_물류_재고대체,SC,1800818934,1,2024-11-08,2024-10-31,2024-10-31,S,40,2110,MLB KIDS,KRW,19614,19614.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FI0000,MLB KIDS_공통,FI0000,I24F7ABNB2046,,,,,광고선전비,광고선전비,광고선전비_기타,202410,부서
,2024/10,,55170127,광고선전비_물류_재고대체,SC,1800818935,1,2024-11-08,2024-10-31,2024-10-31,S,40,2110,MLB KIDS,KRW,22141,22141.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FI0000,MLB KIDS_공통,FI0000,I24F7ABNR0146,,,,,광고선전비,광고선전비,광고선전비_기타,202410,부서
,2024/10,,55170127,광고선전비_물류_재고대체,SC,1800818936,1,2024-11-08,2024-10-31,2024-10-31,S,40,2110,MLB KIDS,KRW,139644,139644.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FI0000,MLB KIDS_공통,FI0000,I24F7ADJB1146,,,,,광고선전비,광고선전비,광고선전비_기타,202410,부서
,2024/10,,55170127,광고선전비_물류_재고대체,SC,1800818937,1,2024-11-08,2024-10-31,2024-10-31,S,40,2110,MLB KIDS,KRW,166948,166948.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FI0000,MLB KIDS_공통,FI0000,I24F7ADJR0146,,,,,광고선전비,광고선전비,광고선전비_기타,202410,부서
,2024/10,,55170127,광고선전비_물류_재고대체,SC,1800818938,1,2024-11-08,2024-10-31,2024-10-31,S,40,2110,MLB KIDS,KRW,62467,62467.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FI0000,MLB KIDS_공통,FI0000,I24F7AJPV0144,,,,,광고선전비,광고선전비,광고선전비_기타,202410,부서
,2024/10,,55170127,광고선전비_물류_재고대체,SC,1800818939,1,2024-11-08,2024-10-31,2024-10-31,S,40,2110,MLB KIDS,KRW,108778,108778.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FI0000,MLB KIDS_공통,FI0000,I24F7AJPV0244,,,,,광고선전비,광고선전비,광고선전비_기타,202410,부서
,2024/10,,55170127,광고선전비_물류_재고대체,SC,1800818940,1,2024-11-08,2024-10-31,2024-10-31,S,40,2110,MLB KIDS,KRW,124220,124220.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FI0000,MLB KIDS_공통,FI0000,I24F7AJPV0344,,,,,광고선전비,광고선전비,광고선전비_기타,202410,부서
,2024/10,,55170127,광고선전비_물류_재고대체,SC,1800818941,2,2024-11-08,2024-10-31,2024-10-31,H,50,2110,MLB KIDS,KRW,-16262,-16262.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FI0000,MLB KIDS_공통,FI0000,I24F7APQV0144,,,,,광고선전비,광고선전비,광고선전비_기타,202410,부서
,2024/10,,55170127,광고선전비_물류_재고대체,SC,1800818942,1,2024-11-08,2024-10-31,2024-10-31,S,40,2110,MLB KIDS,KRW,47881,47881.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FI0000,MLB KIDS_공통,FI0000,I24F7AS2V0144,,,,,광고선전비,광고선전비,광고선전비_기타,202410,부서
,2024/10,,55170127,광고선전비_물류_재고대체,SC,1800818943,1,2024-11-08,2024-10-31,2024-10-31,S,40,2110,MLB KIDS,KRW,4396,4396.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FI0000,MLB KIDS_공통,FI0000,I24F7AS2VA144,,,,,광고선전비,광고선전비,광고선전비_기타,202410,부서
,2024/10,,55170127,광고선전비_물류_재고대체,SC,1800818944,1,2024-11-08,2024-10-31,2024-10-31,S,40,2110,MLB KIDS,KRW,1703,1703.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FI0000,MLB KIDS_공통,FI0000,I24F7ATSV0144,,,,,광고선전비,광고선전비,광고선전비_기타,202410,부서
,2024/10,,55170127,광고선전비_물류_재고대체,SC,1800818945,1,2024-11-08,2024-10-31,2024-10-31,S,40,2110,MLB KIDS,KRW,122990,122990.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FI0000,MLB KIDS_공통,FI0000,I24F7AWPR0144,,,,,광고선전비,광고선전비,광고선전비_기타,202410,부서
,2024/10,,55170127,광고선전비_물류_재고대체,SC,1800818946,1,2024-11-08,2024-10-31,2024-10-31,S,40,2110,MLB KIDS,KRW,27374,27374.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FI0000,MLB KIDS_공통,FI0000,I24F7AWPR0244,,,,,광고선전비,광고선전비,광고선전비_기타,202410,부서
