반제/미결항목 기호,연도/월,반제전표,G/L 계정,G/L 계정 설명,전표 유형,전표 번호,개별 항목,입력일,전기일,증빙일,차변/대변지시자,전기 키,사업 영역,사업 영역 내역,현지 통화,금액(현지 통화),금액(전표 통화),전표통화,세금 코드,사업장,텍스트,고객,공급업체,거래처명,세금 번호 2,기능 영역,손익 센터,코스트 센터,코스트센터명,지정,자재,참조 키 1,참조 키 2,참조 키 3,반제일,CATEGORY_L1,CATEGORY_L2,CATEGORY_L3,연월,코스트센터타입
,2024/10,,55330103,보험료_배상책임보험료,ST,1900000356,60,2024-11-07,2024-10-31,2024-10-31,S,40,2200,Discovery,KRW,4350,4350.0,KRW,,,24.10월_DX스타필드하남_대인보험,,,,,2000.0,,ZX8340,DX_스타필드하남(직),20240226,,,,,,기타영업비,기타비용,보험료,202410,매장
,2024/10,,55330103,보험료_배상책임보험료,ST,1900000356,62,2024-11-07,2024-10-31,2024-10-31,S,40,2200,Discovery,KRW,4181,4181.0,KRW,,,24.10월_DX스타필드고양_대인보험,,,,,2000.0,,ZX8130,DX_스타필드고양(직),20240226,,,,,,기타영업비,기타비용,보험료,202410,매장
,2024/10,,55330103,보험료_배상책임보험료,ST,1900000356,64,2024-11-07,2024-10-31,2024-10-31,S,40,2200,Discovery,KRW,3894,3894.0,KRW,,,24.10월_DX스타필드안성_대인보험,,,,,2000.0,,ZX8270,DX_스타필드안성(직),20240226,,,,,,기타영업비,기타비용,보험료,202410,매장
,2024/10,,55330103,보험료_배상책임보험료,ST,1900000356,66,2024-11-07,2024-10-31,2024-10-31,S,40,2200,Discovery,KRW,3801,3801.0,KRW,,,24.10월_DX스타필드수원_대인보험,,,,,2000.0,,ZX8380,DX_스타필드수원(직),20240226,,,,,,기타영업비,기타비용,보험료,202410,매장
,2024/10,,55330103,보험료_배상책임보험료,ST,1900000356,68,2024-11-07,2024-10-31,2024-10-31,S,40,2200,Discovery,KRW,4223,4223.0,KRW,,,24.10월_DX LF스퀘어광양_대인보험,,,,,2000.0,,ZX8310,DX_LF스퀘어광양(직),20240226,,,,,,기타영업비,기타비용,보험료,202410,매장
,2024/10,,55330103,보험료_배상책임보험료,ST,1900000356,70,2024-11-07,2024-10-31,2024-10-31,S,40,2200,Discovery,KRW,16125,16125.0,KRW,,,24.10월_DX광주상무_대인보험,,,,,2000.0,,ZX7040,DX_광주상무(직),20240226,,,,,,기타영업비,기타비용,보험료,202410,매장
,2024/10,,55330103,보험료_배상책임보험료,ST,1900000356,72,2024-11-07,2024-10-31,2024-10-31,S,40,2200,Discovery,KRW,3801,3801.0,KRW,,,24.10월_DX타임스트림신림_대인보험,,,,,2000.0,,ZX8330,DX_타임스퀘어신림(직),20240226,,,,,,기타영업비,기타비용,보험료,202410,매장
,2024/10,,55330103,보험료_배상책임보험료,ST,1900000356,74,2024-11-07,2024-10-31,2024-10-31,S,40,2200,Discovery,KRW,4494,4494.0,KRW,,,24.10월_DX타임스퀘어영등포_대인보험,,,,,2000.0,,ZX7010,DX_타임스퀘어(직),20240226,,,,,,기타영업비,기타비용,보험료,202410,매장
,2024/10,,55330103,보험료_배상책임보험료,ST,1900000356,76,2024-11-07,2024-10-31,2024-10-31,S,40,2200,Discovery,KRW,15830,15830.0,KRW,,,24.10월_DX가로수길점_대인보험,,,,,2000.0,,ZX7020,DX_가로수길(직),20240227,,,,,,기타영업비,기타비용,보험료,202410,매장
,2024/10,,55330103,보험료_배상책임보험료,ST,1900000357,40,2024-11-07,2024-10-31,2024-10-31,S,40,2200,Discovery,KRW,6432,6432.0,KRW,,,24.10월_DX 펙토리이천 승강기 책임보험,,,,,2000.0,,ZX7050,DX_팩토리이천(직),2024.05.29,,,,,,기타영업비,기타비용,보험료,202410,매장
