반제/미결항목 기호,연도/월,반제전표,G/L 계정,G/L 계정 설명,전표 유형,전표 번호,개별 항목,입력일,전기일,증빙일,차변/대변지시자,전기 키,사업 영역,사업 영역 내역,현지 통화,금액(현지 통화),금액(전표 통화),전표통화,세금 코드,사업장,텍스트,고객,공급업체,거래처명,세금 번호 2,기능 영역,손익 센터,코스트 센터,코스트센터명,지정,자재,참조 키 1,참조 키 2,참조 키 3,반제일,CATEGORY_L1,CATEGORY_L2,CATEGORY_L3,연월,코스트센터타입
,2024/10,,55190103,접대비_현물,DA,2000136322,1,2024-10-15,2024-10-14,2024-10-14,S,40,2200,Discovery,KRW,10818,10818.0,KRW,,1000.0,X24SDMPT7E043,,,,,2000.0,,FX0000,DISCOVERY_공통,0000102115,,,,,,기타영업비,기타비용,접대비,202410,부서
,2024/10,,55190103,접대비_현물,DA,2000136323,1,2024-10-15,2024-10-14,2024-10-14,S,40,2200,Discovery,KRW,20455,20455.0,KRW,,1000.0,X24SDMRS7M043,,,,,2000.0,,FX0000,DISCOVERY_공통,0000102115,,,,,,기타영업비,기타비용,접대비,202410,부서
,2024/10,,55190103,접대비_현물,DA,2000136324,1,2024-10-15,2024-10-14,2024-10-14,S,40,2200,Discovery,KRW,34455,34455.0,KRW,,1000.0,X24SDMWJ3A041,,,,,2000.0,,FX0000,DISCOVERY_공통,0000102115,,,,,,기타영업비,기타비용,접대비,202410,부서
,2024/10,,55190103,접대비_현물,DA,2000136325,1,2024-10-15,2024-10-14,2024-10-14,S,40,2200,Discovery,KRW,21456,21456.0,KRW,,1000.0,X24SDXRS8D043,,,,,2000.0,,FX0000,DISCOVERY_공통,0000102115,,,,,,기타영업비,기타비용,접대비,202410,부서
,2024/10,,55190103,접대비_현물,DA,2000136326,1,2024-10-15,2024-10-14,2024-10-14,S,40,2200,Discovery,KRW,3273,3273.0,KRW,,1000.0,X24NDXSO7044N,,,,,2000.0,,FX0000,DISCOVERY_공통,0000102115,,,,,,기타영업비,기타비용,접대비,202410,부서
,2024/10,,55190103,접대비_현물,DA,2000136327,1,2024-10-15,2024-10-14,2024-10-14,S,40,2200,Discovery,KRW,3273,3273.0,KRW,,1000.0,X23NDXSO3023N,,,,,2000.0,,FX0000,DISCOVERY_공통,0000102115,,,,,,기타영업비,기타비용,접대비,202410,부서
,2024/10,,55190103,접대비_현물,DA,2000140366,1,2024-10-17,2024-10-16,2024-10-16,H,50,2200,Discovery,KRW,-35450,-35450.0,KRW,,1000.0,X24SDKRS71043,,,,,2000.0,,FX0000,DISCOVERY_공통,0000102115,,,,,,기타영업비,기타비용,접대비,202410,부서
,2024/10,,55190103,접대비_현물,DA,2000140367,1,2024-10-17,2024-10-16,2024-10-16,H,50,2200,Discovery,KRW,-61365,-61365.0,KRW,,1000.0,X24SDMRS71043,,,,,2000.0,,FX0000,DISCOVERY_공통,0000102115,,,,,,기타영업비,기타비용,접대비,202410,부서
,2024/10,,55190103,접대비_현물,DA,2000140368,1,2024-10-17,2024-10-16,2024-10-16,H,50,2200,Discovery,KRW,-643680,-643680.0,KRW,,1000.0,X22NDXCR6102N,,,,,2000.0,,FX0000,DISCOVERY_공통,0000102115,,,,,,기타영업비,기타비용,접대비,202410,부서
,2024/10,,55190103,접대비_현물,DA,2000143217,1,2024-10-29,2024-10-28,2024-10-28,S,40,2200,Discovery,KRW,36273,36273.0,KRW,,1000.0,X24FDMDJ67046,,,,,2000.0,,FX0000,DISCOVERY_공통,0000103731,,,,,,기타영업비,기타비용,접대비,202410,부서
