반제/미결항목 기호,연도/월,반제전표,G/L 계정,G/L 계정 설명,전표 유형,전표 번호,개별 항목,입력일,전기일,증빙일,차변/대변지시자,전기 키,사업 영역,사업 영역 내역,현지 통화,금액(현지 통화),금액(전표 통화),전표통화,세금 코드,사업장,텍스트,고객,공급업체,거래처명,세금 번호 2,기능 영역,손익 센터,코스트 센터,코스트센터명,지정,자재,참조 키 1,참조 키 2,참조 키 3,반제일,CATEGORY_L1,CATEGORY_L2,CATEGORY_L3,연월,코스트센터타입
,2025/10,,53010103,제수당,HR,8100000011,9,2025-10-27,2025-10-28,2025-10-28,S,40,2200,Discovery,KRW,24836039,24836039.0,KRW,,1000.0,25.10월_Discovery_유통1팀_제수당,,,,,2000.0,,FX1200,DISCOVERY_유통1팀,FX1200,,,,,,인건비,인건비,급료와 임금,202510,부서
,2025/10,,53010103,제수당,HR,8100000011,10,2025-10-27,2025-10-28,2025-10-28,S,40,2200,Discovery,KRW,19526594,19526594.0,KRW,,1000.0,25.10월_Discovery_유통2팀_제수당,,,,,2000.0,,FX1300,DISCOVERY_유통2팀,FX1300,,,,,,인건비,인건비,급료와 임금,202510,부서
,2025/10,,53010103,제수당,HR,8100000011,11,2025-10-27,2025-10-28,2025-10-28,S,40,2200,Discovery,KRW,23188504,23188504.0,KRW,,1000.0,25.10월_Discovery_카테고리운영팀_제수당,,,,,2000.0,,FX1400,DISCOVERY_카테고리운영팀,FX1400,,,,,,인건비,인건비,급료와 임금,202510,부서
,2025/10,,53010103,제수당,HR,8100000011,14,2025-10-27,2025-10-28,2025-10-28,S,40,2200,Discovery,KRW,7171705,7171705.0,KRW,,1000.0,25.10월_Discovery_키즈팀_제수당,,,,,1000.0,,FX2300,DISCOVERY_KIDS 기획팀,FX2300,,,,,,인건비,인건비,급료와 임금,202510,부서
,2025/10,,53010103,제수당,HR,8100000011,24,2025-10-27,2025-10-28,2025-10-28,S,40,2200,Discovery,KRW,2018860,2018860.0,KRW,,1000.0,25.10월_Discovery_소싱부문담당_제수당,,,,,1000.0,,FX1600,DISCOVERY_소싱팀,FX1600,,,,,,인건비,인건비,급료와 임금,202510,부서
,2025/10,,53010103,제수당,HR,8100000011,33,2025-10-27,2025-10-28,2025-10-28,S,40,2200,Discovery,KRW,16454713,16454713.0,KRW,,1000.0,25.10월_Discovery 디자인연구실_슈즈팀_제수당,,,,,1000.0,,FX2100,DISCOVERY_슈즈팀,FX2100,,,,,,인건비,인건비,급료와 임금,202510,부서
,2025/10,,53010103,제수당,HR,8100000011,34,2025-10-27,2025-10-28,2025-10-28,S,40,2200,Discovery,KRW,17480409,17480409.0,KRW,,1000.0,25.10월_Discovery 디자인연구실_용품팀_제수당,,,,,1000.0,,FX0800,DISCOVERY_용품팀,FX0800,,,,,,인건비,인건비,급료와 임금,202510,부서
,2025/10,,53010103,제수당,HR,8100000011,45,2025-10-27,2025-10-28,2025-10-28,S,40,2200,Discovery,KRW,27234103,27234103.0,KRW,,1000.0,25.10월_Discovery_마케팅팀_제수당,,,,,2000.0,,FX0300,DISCOVERY_마케팅팀,FX0300,,,,,,인건비,인건비,급료와 임금,202510,부서
,2025/10,,53010103,제수당,HR,8100000011,46,2025-10-27,2025-10-28,2025-10-28,S,40,2200,Discovery,KRW,9035135,9035135.0,KRW,,1000.0,25.10월_Discovery_VMD팀_제수당,,,,,2000.0,,FX0400,DISCOVERY_VMD팀,FX0400,,,,,,인건비,인건비,급료와 임금,202510,부서
,2025/10,,53010103,제수당,HR,8100000011,47,2025-10-27,2025-10-28,2025-10-28,S,40,2200,Discovery,KRW,29243183,29243183.0,KRW,,1000.0,25.10월_Discovery_의류기획팀_제수당,,,,,1000.0,,FX1500,DISCOVERY_기획팀,FX1500,,,,,,인건비,인건비,급료와 임금,202510,부서
,2025/10,,53010103,제수당,HR,8100000011,109,2025-10-27,2025-10-28,2025-10-28,S,40,2200,Discovery,KRW,19249459,19249459.0,KRW,,1000.0,25.10월_Discovery_소싱팀_제수당,,,,,1000.0,,FX1600,DISCOVERY_소싱팀,FX1600,,,,,,인건비,인건비,급료와 임금,202510,부서
