반제/미결항목 기호,연도/월,반제전표,G/L 계정,G/L 계정 설명,전표 유형,전표 번호,개별 항목,입력일,전기일,증빙일,차변/대변지시자,전기 키,사업 영역,사업 영역 내역,현지 통화,금액(현지 통화),금액(전표 통화),전표통화,세금 코드,사업장,텍스트,고객,공급업체,거래처명,세금 번호 2,기능 영역,손익 센터,코스트 센터,코스트센터명,지정,자재,참조 키 1,참조 키 2,참조 키 3,반제일,CATEGORY_L1,CATEGORY_L2,CATEGORY_L3,연월,코스트센터타입
,2024/10,,55110141,소모품비_유니폼사용_재고대체,SC,1800818991,2,2024-11-08,2024-10-31,2024-10-31,H,50,2100,MLB,KRW,-1218,-1218.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FM0000,MLB_공통,FM0000,M21N3ACP7701N,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_유니폼사용_재고대체,202410,부서
,2024/10,,55110141,소모품비_유니폼사용_재고대체,SC,1800818992,1,2024-11-08,2024-10-31,2024-10-31,S,40,2100,MLB,KRW,641,641.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FM0000,MLB_공통,FM0000,M21N3AMUUA11N,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_유니폼사용_재고대체,202410,부서
,2024/10,,55110141,소모품비_유니폼사용_재고대체,SC,1800818993,2,2024-11-08,2024-10-31,2024-10-31,H,50,2100,MLB,KRW,-14,-14.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FM0000,MLB_공통,FM0000,M22N3ACP0802N,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_유니폼사용_재고대체,202410,부서
,2024/10,,55110141,소모품비_유니폼사용_재고대체,SC,1800818994,2,2024-11-08,2024-10-31,2024-10-31,H,50,2100,MLB,KRW,-797,-797.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FM0000,MLB_공통,FM0000,M23N3ACPL033N,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_유니폼사용_재고대체,202410,부서
,2024/10,,55110141,소모품비_유니폼사용_재고대체,SC,1800818995,1,2024-11-08,2024-10-31,2024-10-31,S,40,2100,MLB,KRW,851,851.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FM0000,MLB_공통,FM0000,M23N3ASHATF3N,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_유니폼사용_재고대체,202410,부서
,2024/10,,55110141,소모품비_유니폼사용_재고대체,SC,1800818996,1,2024-11-08,2024-10-31,2024-10-31,S,40,2100,MLB,KRW,1562,1562.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FM0000,MLB_공통,FM0000,M23N3ASHBCW3N,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_유니폼사용_재고대체,202410,부서
,2024/10,,55110141,소모품비_유니폼사용_재고대체,SC,1800818997,2,2024-11-08,2024-10-31,2024-10-31,H,50,2100,MLB,KRW,-109,-109.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FM0000,MLB_공통,FM0000,M23N3ASOMS33N,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_유니폼사용_재고대체,202410,부서
,2024/10,,55110141,소모품비_유니폼사용_재고대체,SC,1800818998,1,2024-11-08,2024-10-31,2024-10-31,S,40,2100,MLB,KRW,1248,1248.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FM0000,MLB_공통,FM0000,M23N3ASXHSN3N,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_유니폼사용_재고대체,202410,부서
,2024/10,,55110141,소모품비_유니폼사용_재고대체,SC,1800818999,1,2024-11-08,2024-10-31,2024-10-31,S,40,2100,MLB,KRW,591,591.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FM0000,MLB_공통,FM0000,M24F3ABNBM146,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_유니폼사용_재고대체,202410,부서
,2024/10,,55110141,소모품비_유니폼사용_재고대체,SC,1800819000,1,2024-11-08,2024-10-31,2024-10-31,S,40,2100,MLB,KRW,1102,1102.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FM0000,MLB_공통,FM0000,M24F3ABNBM746,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_유니폼사용_재고대체,202410,부서
,2024/10,,55110141,소모품비_유니폼사용_재고대체,SC,1800819001,1,2024-11-08,2024-10-31,2024-10-31,S,40,2100,MLB,KRW,642,642.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FM0000,MLB_공통,FM0000,M24F3ABNBM846,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_유니폼사용_재고대체,202410,부서
,2024/10,,55110141,소모품비_유니폼사용_재고대체,SC,1800819002,1,2024-11-08,2024-10-31,2024-10-31,S,40,2100,MLB,KRW,910,910.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FM0000,MLB_공통,FM0000,M24F3ACPV0146,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_유니폼사용_재고대체,202410,부서
,2024/10,,55110141,소모품비_유니폼사용_재고대체,SC,1800819003,1,2024-11-08,2024-10-31,2024-10-31,S,40,2100,MLB,KRW,7522,7522.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FM0000,MLB_공통,FM0000,M24F3ADRB0144,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_유니폼사용_재고대체,202410,부서
,2024/10,,55110141,소모품비_유니폼사용_재고대체,SC,1800819004,1,2024-11-08,2024-10-31,2024-10-31,S,40,2100,MLB,KRW,12333,12333.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FM0000,MLB_공통,FM0000,M24F3ADRV0144,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_유니폼사용_재고대체,202410,부서
,2024/10,,55110141,소모품비_유니폼사용_재고대체,SC,1800819005,1,2024-11-08,2024-10-31,2024-10-31,S,40,2100,MLB,KRW,9089,9089.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FM0000,MLB_공통,FM0000,M24F3ADVV1046,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_유니폼사용_재고대체,202410,부서
,2024/10,,55110141,소모품비_유니폼사용_재고대체,SC,1800819006,1,2024-11-08,2024-10-31,2024-10-31,S,40,2100,MLB,KRW,4896,4896.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FM0000,MLB_공통,FM0000,M24F3AFDB0146,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_유니폼사용_재고대체,202410,부서
,2024/10,,55110141,소모품비_유니폼사용_재고대체,SC,1800819007,1,2024-11-08,2024-10-31,2024-10-31,S,40,2100,MLB,KRW,3525,3525.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FM0000,MLB_공통,FM0000,M24F3AFDB0246,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_유니폼사용_재고대체,202410,부서
,2024/10,,55110141,소모품비_유니폼사용_재고대체,SC,1800819008,1,2024-11-08,2024-10-31,2024-10-31,S,40,2100,MLB,KRW,4779,4779.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FM0000,MLB_공통,FM0000,M24F3AHDB0144,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_유니폼사용_재고대체,202410,부서
,2024/10,,55110141,소모품비_유니폼사용_재고대체,SC,1800819009,1,2024-11-08,2024-10-31,2024-10-31,S,40,2100,MLB,KRW,2945,2945.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FM0000,MLB_공통,FM0000,M24F3AHDB0544,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_유니폼사용_재고대체,202410,부서
