반제/미결항목 기호,연도/월,반제전표,G/L 계정,G/L 계정 설명,전표 유형,전표 번호,개별 항목,입력일,전기일,증빙일,차변/대변지시자,전기 키,사업 영역,사업 영역 내역,현지 통화,금액(현지 통화),금액(전표 통화),전표통화,세금 코드,사업장,텍스트,고객,공급업체,거래처명,세금 번호 2,기능 영역,손익 센터,코스트 센터,코스트센터명,지정,자재,참조 키 1,참조 키 2,참조 키 3,반제일,CATEGORY_L1,CATEGORY_L2,CATEGORY_L3,연월,코스트센터타입
,2025/10,,55170125,광고선전비_물류,DA,2000127294,1,2025-10-17,2025-10-16,2025-10-16,S,40,2100,MLB,KRW,5272,5272.0,KRW,,1000.0,M25N3APOB015N,,,,,2000.0,,FM0000,MLB_공통,0000104317,,,,,,광고선전비,광고선전비,광고선전비_협찬/제휴,202510,부서
,2025/10,,55170125,광고선전비_물류,DA,2000129601,1,2025-10-21,2025-10-20,2025-10-20,S,40,2100,MLB,KRW,31272,31272.0,KRW,,1000.0,M25F3ABNB1156,,,,,2000.0,,FM0000,MLB_공통,0000104317,,,,,,광고선전비,광고선전비,광고선전비_협찬/제휴,202510,부서
,2025/10,,55170125,광고선전비_물류,DA,2000130154,1,2025-10-22,2025-10-21,2025-10-21,S,40,2100,MLB,KRW,244638,244638.0,KRW,,1000.0,M25F3ADJB2656,,,,,2000.0,,FM0000,MLB_공통,0000104317,,,,,,광고선전비,광고선전비,광고선전비_협찬/제휴,202510,부서
,2025/10,,55170125,광고선전비_물류,DA,2000130708,1,2025-10-24,2025-10-23,2025-10-23,S,40,2100,MLB,KRW,78819,78819.0,KRW,,1000.0,M25F3ADJB2056,,,,,2000.0,,FM0000,MLB_공통,0000104317,,,,,,광고선전비,광고선전비,광고선전비_협찬/제휴,202510,부서
,2025/10,,55170125,광고선전비_물류,DA,2000130983,1,2025-10-28,2025-10-27,2025-10-27,S,40,2100,MLB,KRW,27182,27182.0,KRW,,1000.0,M25F3ADJB2656,,,,,2000.0,,FM0000,MLB_공통,0000104317,,,,,,광고선전비,광고선전비,광고선전비_협찬/제휴,202510,부서
,2025/10,,55170125,광고선전비_물류,DA,2000130984,1,2025-10-28,2025-10-27,2025-10-27,S,40,2100,MLB,KRW,3909,3909.0,KRW,,1000.0,M25F3ABNBM256,,,,,2000.0,,FM0000,MLB_공통,0000104317,,,,,,광고선전비,광고선전비,광고선전비_협찬/제휴,202510,부서
,2025/10,,55170125,광고선전비_물류,DA,2000130985,1,2025-10-28,2025-10-27,2025-10-27,S,40,2100,MLB,KRW,3545,3545.0,KRW,,1000.0,M26N3ACPB066N,,,,,2000.0,,FM0000,MLB_공통,0000104317,,,,,,광고선전비,광고선전비,광고선전비_협찬/제휴,202510,부서
,2025/10,,55170125,광고선전비_물류,DA,2000132914,1,2025-11-01,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,7182,7182.0,KRW,,1000.0,M25F3AWMB0256,,,,,2000.0,,FM0000,MLB_공통,0000104317,,,,,,광고선전비,광고선전비,광고선전비_협찬/제휴,202510,부서
,2025/10,,55170125,광고선전비_물류,DA,2000132915,1,2025-11-01,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,27182,27182.0,KRW,,1000.0,M25F3FDJB0556,,,,,2000.0,,FM0000,MLB_공통,0000104317,,,,,,광고선전비,광고선전비,광고선전비_협찬/제휴,202510,부서
,2025/10,,55170125,광고선전비_물류,DA,2000132954,1,2025-11-01,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,395186,395186.0,KRW,,1000.0,M25F3FKCB0354,,,,,2000.0,,FM0000,MLB_공통,0000102221,,,,,,광고선전비,광고선전비,광고선전비_협찬/제휴,202510,부서
,2025/10,,55170125,광고선전비_물류,DA,2000132955,1,2025-11-01,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,135000,135000.0,KRW,,1000.0,M25F3AMTV1054,,,,,2000.0,,FM0000,MLB_공통,0000102221,,,,,,광고선전비,광고선전비,광고선전비_협찬/제휴,202510,부서
,2025/10,,55170125,광고선전비_물류,DA,2000132956,1,2025-11-01,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,431188,431188.0,KRW,,1000.0,M25F3AJPB0954,,,,,2000.0,,FM0000,MLB_공통,0000102221,,,,,,광고선전비,광고선전비,광고선전비_협찬/제휴,202510,부서
,2025/10,,55170125,광고선전비_물류,DA,2000132957,1,2025-11-01,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,368736,368736.0,KRW,,1000.0,M25F3FWJB0454,,,,,2000.0,,FM0000,MLB_공통,0000102221,,,,,,광고선전비,광고선전비,광고선전비_협찬/제휴,202510,부서
,2025/10,,55170125,광고선전비_물류,DA,2000132958,1,2025-11-01,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,126637,126637.0,KRW,,1000.0,M25F3APDB0356,,,,,2000.0,,FM0000,MLB_공통,0000102221,,,,,,광고선전비,광고선전비,광고선전비_협찬/제휴,202510,부서
,2025/10,,55170125,광고선전비_물류,DA,2000132959,1,2025-11-01,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,35181,35181.0,KRW,,1000.0,M25F3AMTV1254,,,,,2000.0,,FM0000,MLB_공통,0000102221,,,,,,광고선전비,광고선전비,광고선전비_협찬/제휴,202510,부서
,2025/10,,55170125,광고선전비_물류,DA,2000132960,1,2025-11-01,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,190274,190274.0,KRW,,1000.0,M25F3ADJB2656,,,,,2000.0,,FM0000,MLB_공통,0000102221,,,,,,광고선전비,광고선전비,광고선전비_협찬/제휴,202510,부서
,2025/10,,55170125,광고선전비_물류,DA,2000132961,1,2025-11-01,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,242358,242358.0,KRW,,1000.0,M25N3ACPB245N,,,,,2000.0,,FM0000,MLB_공통,0000102221,,,,,,광고선전비,광고선전비,광고선전비_협찬/제휴,202510,부서
,2025/10,,55170125,광고선전비_물류,DA,2000132962,1,2025-11-01,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,59454,59454.0,KRW,,1000.0,M25N3ABQMV35N,,,,,2000.0,,FM0000,MLB_공통,0000102221,,,,,,광고선전비,광고선전비,광고선전비_협찬/제휴,202510,부서
,2025/10,,55170125,광고선전비_물류,DA,2000132963,1,2025-11-01,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,202176,202176.0,KRW,,1000.0,M25N3ASXT015N,,,,,2000.0,,FM0000,MLB_공통,0000102221,,,,,,광고선전비,광고선전비,광고선전비_협찬/제휴,202510,부서
,2025/10,,55170125,광고선전비_물류,DA,2000132964,1,2025-11-01,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,42999,42999.0,KRW,,1000.0,M25N3ACPBB15N,,,,,2000.0,,FM0000,MLB_공통,0000102221,,,,,,광고선전비,광고선전비,광고선전비_협찬/제휴,202510,부서
,2025/10,,55170125,광고선전비_물류,DA,2000132965,1,2025-11-01,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,101088,101088.0,KRW,,1000.0,M25N3ASXT025N,,,,,2000.0,,FM0000,MLB_공통,0000102221,,,,,,광고선전비,광고선전비,광고선전비_협찬/제휴,202510,부서
,2025/10,,55170125,광고선전비_물류,DA,2000132966,1,2025-11-01,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,49545,49545.0,KRW,,1000.0,M25N3ABQBV45N,,,,,2000.0,,FM0000,MLB_공통,0000102221,,,,,,광고선전비,광고선전비,광고선전비_협찬/제휴,202510,부서
