반제/미결항목 기호,연도/월,반제전표,G/L 계정,G/L 계정 설명,전표 유형,전표 번호,개별 항목,입력일,전기일,증빙일,차변/대변지시자,전기 키,사업 영역,사업 영역 내역,현지 통화,금액(현지 통화),금액(전표 통화),전표통화,세금 코드,사업장,텍스트,고객,공급업체,거래처명,세금 번호 2,기능 영역,손익 센터,코스트 센터,코스트센터명,지정,자재,참조 키 1,참조 키 2,참조 키 3,반제일,CATEGORY_L1,CATEGORY_L2,CATEGORY_L3,연월,코스트센터타입
,2025/10,,55110135,소모품비_샘플대_재고대체,SC,1800750951,1,2025-11-10,2025-10-31,2025-10-31,S,40,2200,Discovery,KRW,16690,16690.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FX0000,DISCOVERY_공통,FX0000,X24NDXSH7244N,,,,,샘플대(제작/구입),샘플대(제작/구입),소모품비_샘플대,202510,부서
,2025/10,,55110135,소모품비_샘플대_재고대체,SC,1800750952,1,2025-11-10,2025-10-31,2025-10-31,S,40,2200,Discovery,KRW,32805,32805.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FX0000,DISCOVERY_공통,FX0000,X25NDXSH4015N,,,,,샘플대(제작/구입),샘플대(제작/구입),소모품비_샘플대,202510,부서
,2025/10,,55110135,소모품비_샘플대_재고대체,SC,1800750953,1,2025-11-10,2025-10-31,2025-10-31,S,40,2200,Discovery,KRW,15855,15855.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FX0000,DISCOVERY_공통,FX0000,X25NDXSH4025N,,,,,샘플대(제작/구입),샘플대(제작/구입),소모품비_샘플대,202510,부서
,2025/10,,55110135,소모품비_샘플대_재고대체,SC,1800750954,1,2025-11-10,2025-10-31,2025-10-31,S,40,2200,Discovery,KRW,5746,5746.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FX0000,DISCOVERY_공통,FX0000,X25NDXSH5215N,,,,,샘플대(제작/구입),샘플대(제작/구입),소모품비_샘플대,202510,부서
,2025/10,,55110135,소모품비_샘플대_재고대체,SC,1800750955,1,2025-11-10,2025-10-31,2025-10-31,S,40,2200,Discovery,KRW,6051,6051.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FX0000,DISCOVERY_공통,FX0000,X25NDXSH5225N,,,,,샘플대(제작/구입),샘플대(제작/구입),소모품비_샘플대,202510,부서
,2025/10,,55110135,소모품비_샘플대_재고대체,SC,1800750956,1,2025-11-10,2025-10-31,2025-10-31,S,40,2200,Discovery,KRW,16085,16085.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FX0000,DISCOVERY_공통,FX0000,X25NDXSH5545N,,,,,샘플대(제작/구입),샘플대(제작/구입),소모품비_샘플대,202510,부서
,2025/10,,55110135,소모품비_샘플대_재고대체,SC,1800750957,1,2025-11-10,2025-10-31,2025-10-31,S,40,2200,Discovery,KRW,5010,5010.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FX0000,DISCOVERY_공통,FX0000,X25NDXSH5555N,,,,,샘플대(제작/구입),샘플대(제작/구입),소모품비_샘플대,202510,부서
,2025/10,,55110135,소모품비_샘플대_재고대체,SC,1800750958,1,2025-11-10,2025-10-31,2025-10-31,S,40,2200,Discovery,KRW,9932,9932.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FX0000,DISCOVERY_공통,FX0000,X25NDXSH7275N,,,,,샘플대(제작/구입),샘플대(제작/구입),소모품비_샘플대,202510,부서
,2025/10,,55110135,소모품비_샘플대_재고대체,SC,1800750959,1,2025-11-10,2025-10-31,2025-10-31,S,40,2200,Discovery,KRW,3973,3973.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FX0000,DISCOVERY_공통,FX0000,X25NDXSH7285N,,,,,샘플대(제작/구입),샘플대(제작/구입),소모품비_샘플대,202510,부서
,2025/10,,55110135,소모품비_샘플대_재고대체,WA,6105321039,2,2025-11-01,2025-10-31,2025-10-31,S,81,2200,Discovery,KRW,330400,330400.0,KRW,,,,102100.0,,자가소모(샘플대),,2000.0,,FX0000,DISCOVERY_공통,FX0000,X25NDXSH4015N,,,,,샘플대(제작/구입),샘플대(제작/구입),소모품비_샘플대,202510,부서
,2025/10,,55110135,소모품비_샘플대_재고대체,WA,6105321039,4,2025-11-01,2025-10-31,2025-10-31,S,81,2200,Discovery,KRW,144000,144000.0,KRW,,,,102100.0,,자가소모(샘플대),,2000.0,,FX0000,DISCOVERY_공통,FX0000,X25NDXSH4025N,,,,,샘플대(제작/구입),샘플대(제작/구입),소모품비_샘플대,202510,부서
,2025/10,,55110135,소모품비_샘플대_재고대체,WA,6105321039,6,2025-11-01,2025-10-31,2025-10-31,S,81,2200,Discovery,KRW,57400,57400.0,KRW,,,,102100.0,,자가소모(샘플대),,2000.0,,FX0000,DISCOVERY_공통,FX0000,X25NDXSH5215N,,,,,샘플대(제작/구입),샘플대(제작/구입),소모품비_샘플대,202510,부서
,2025/10,,55110135,소모품비_샘플대_재고대체,WA,6105321039,8,2025-11-01,2025-10-31,2025-10-31,S,81,2200,Discovery,KRW,57400,57400.0,KRW,,,,102100.0,,자가소모(샘플대),,2000.0,,FX0000,DISCOVERY_공통,FX0000,X25NDXSH5225N,,,,,샘플대(제작/구입),샘플대(제작/구입),소모품비_샘플대,202510,부서
,2025/10,,55110135,소모품비_샘플대_재고대체,WA,6105321039,10,2025-11-01,2025-10-31,2025-10-31,S,81,2200,Discovery,KRW,256500,256500.0,KRW,,,,102100.0,,자가소모(샘플대),,2000.0,,FX0000,DISCOVERY_공통,FX0000,X25NDXSH5545N,,,,,샘플대(제작/구입),샘플대(제작/구입),소모품비_샘플대,202510,부서
,2025/10,,55110135,소모품비_샘플대_재고대체,WA,6105321039,12,2025-11-01,2025-10-31,2025-10-31,S,81,2200,Discovery,KRW,87900,87900.0,KRW,,,,102100.0,,자가소모(샘플대),,2000.0,,FX0000,DISCOVERY_공통,FX0000,X25NDXSH5555N,,,,,샘플대(제작/구입),샘플대(제작/구입),소모품비_샘플대,202510,부서
,2025/10,,55110135,소모품비_샘플대_재고대체,WA,6105321039,14,2025-11-01,2025-10-31,2025-10-31,S,81,2200,Discovery,KRW,60000,60000.0,KRW,,,,102100.0,,자가소모(샘플대),,2000.0,,FX0000,DISCOVERY_공통,FX0000,X25NDXSH7275N,,,,,샘플대(제작/구입),샘플대(제작/구입),소모품비_샘플대,202510,부서
