반제/미결항목 기호,연도/월,반제전표,G/L 계정,G/L 계정 설명,전표 유형,전표 번호,개별 항목,입력일,전기일,증빙일,차변/대변지시자,전기 키,사업 영역,사업 영역 내역,현지 통화,금액(현지 통화),금액(전표 통화),전표통화,세금 코드,사업장,텍스트,고객,공급업체,거래처명,세금 번호 2,기능 영역,손익 센터,코스트 센터,코스트센터명,지정,자재,참조 키 1,참조 키 2,참조 키 3,반제일,CATEGORY_L1,CATEGORY_L2,CATEGORY_L3,연월,코스트센터타입
,2024/10,,55010127,복리후생비_직원구매,K3,3200007630,1,2024-11-04,2024-10-31,2024-10-31,S,40,2200,Discovery,KRW,1022800,1022800.0,KRW,VZ,1000.0,24.10월임직원직원구매분_Discovery_TD팀,,,,,1000.0,,FX1000,DISCOVERY_QM팀,임직원 직원구매,,,,,,기타영업비,복리비/차량/핸드폰,복리후생비_기타,202410,부서
,2024/10,,55010127,복리후생비_직원구매,K3,3200007630,2,2024-11-04,2024-10-31,2024-10-31,S,40,2200,Discovery,KRW,423500,423500.0,KRW,VZ,1000.0,24.10월임직원직원구매분_Discovery_VMD팀,,,,,2000.0,,FX0400,DISCOVERY_VMD팀,임직원 직원구매,,,,,,기타영업비,복리비/차량/핸드폰,복리후생비_기타,202410,부서
,2024/10,,55010127,복리후생비_직원구매,K3,3200007630,3,2024-11-04,2024-10-31,2024-10-31,S,40,2200,Discovery,KRW,18000,18000.0,KRW,VZ,1000.0,24.10월임직원직원구매분_Discovery_기획부문담당,,,,,1000.0,,FX0100,DISCOVERY_기획부문담당,임직원 직원구매,,,,,,기타영업비,복리비/차량/핸드폰,복리후생비_기타,202410,부서
,2024/10,,55010127,복리후생비_직원구매,K3,3200007630,4,2024-11-04,2024-10-31,2024-10-31,S,40,2200,Discovery,KRW,1631900,1631900.0,KRW,VZ,1000.0,24.10월임직원직원구매분_Discovery_마케팅팀,,,,,2000.0,,FX0300,DISCOVERY_마케팅팀,임직원 직원구매,,,,,,기타영업비,복리비/차량/핸드폰,복리후생비_기타,202410,부서
,2024/10,,55010127,복리후생비_직원구매,K3,3200007630,5,2024-11-04,2024-10-31,2024-10-31,S,40,2200,Discovery,KRW,511200,511200.0,KRW,VZ,1000.0,24.10월임직원직원구매분_Discovery_소싱부문담당,,,,,1000.0,,FX1800,DISCOVERY_소싱부문담당,임직원 직원구매,,,,,,기타영업비,복리비/차량/핸드폰,복리후생비_기타,202410,부서
,2024/10,,55010127,복리후생비_직원구매,K3,3200007630,6,2024-11-04,2024-10-31,2024-10-31,S,40,2200,Discovery,KRW,894000,894000.0,KRW,VZ,1000.0,24.10월임직원직원구매분_Discovery_소싱팀,,,,,1000.0,,FX1600,DISCOVERY_소싱팀,임직원 직원구매,,,,,,기타영업비,복리비/차량/핸드폰,복리후생비_기타,202410,부서
,2024/10,,55010127,복리후생비_직원구매,K3,3200007630,7,2024-11-04,2024-10-31,2024-10-31,S,40,2200,Discovery,KRW,848800,848800.0,KRW,VZ,1000.0,24.10월임직원직원구매분_Discovery_소재소싱팀,,,,,1000.0,,FX1100,DISCOVERY_소재팀,임직원 직원구매,,,,,,기타영업비,복리비/차량/핸드폰,복리후생비_기타,202410,부서
,2024/10,,55010127,복리후생비_직원구매,K3,3200007630,8,2024-11-04,2024-10-31,2024-10-31,S,40,2200,Discovery,KRW,211000,211000.0,KRW,VZ,1000.0,24.10월임직원직원구매분_Discovery_슈즈팀,,,,,1000.0,,FX2100,DISCOVERY_슈즈팀,임직원 직원구매,,,,,,기타영업비,복리비/차량/핸드폰,복리후생비_기타,202410,부서
,2024/10,,55010127,복리후생비_직원구매,K3,3200007630,9,2024-11-04,2024-10-31,2024-10-31,S,40,2200,Discovery,KRW,374000,374000.0,KRW,VZ,1000.0,24.10월임직원직원구매분_Discovery_영업1팀,,,,,2000.0,,FX1200,DISCOVERY_유통1팀,임직원 직원구매,,,,,,기타영업비,복리비/차량/핸드폰,복리후생비_기타,202410,부서
,2024/10,,55010127,복리후생비_직원구매,K3,3200007630,10,2024-11-04,2024-10-31,2024-10-31,S,40,2200,Discovery,KRW,1782800,1782800.0,KRW,VZ,1000.0,24.10월임직원직원구매분_Discovery_영업2팀,,,,,2000.0,,FX1300,DISCOVERY_유통2팀,임직원 직원구매,,,,,,기타영업비,복리비/차량/핸드폰,복리후생비_기타,202410,부서
