반제/미결항목 기호,연도/월,반제전표,G/L 계정,G/L 계정 설명,전표 유형,전표 번호,개별 항목,입력일,전기일,증빙일,차변/대변지시자,전기 키,사업 영역,사업 영역 내역,현지 통화,금액(현지 통화),금액(전표 통화),전표통화,세금 코드,사업장,텍스트,고객,공급업체,거래처명,세금 번호 2,기능 영역,손익 센터,코스트 센터,코스트센터명,지정,자재,참조 키 1,참조 키 2,참조 키 3,반제일,CATEGORY_L1,CATEGORY_L2,CATEGORY_L3,연월,코스트센터타입
,2025/10,,55010105,복리후생비_의료보험,K3,3200006643,49,2025-11-05,2025-10-31,2025-10-31,S,40,2110,MLB KIDS,KRW,391840,391840.0,KRW,VZ,1000.0,25.10월 의료보험 회사부담분 MLB KIDS_VMD팀||||,,,,,2000.0,,FI0400,MLB KIDS_VMD팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202510,부서
,2025/10,,55010105,복리후생비_의료보험,K3,3200006643,50,2025-11-05,2025-10-31,2025-10-31,S,40,2110,MLB KIDS,KRW,1213260,1213260.0,KRW,VZ,1000.0,25.10월 의료보험 회사부담분 MLB KIDS_기획팀||||,,,,,1000.0,,FI0500,MLB KIDS_기획팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202510,부서
,2025/10,,55010105,복리후생비_의료보험,K3,3200006643,51,2025-11-05,2025-10-31,2025-10-31,S,40,2110,MLB KIDS,KRW,2710680,2710680.0,KRW,VZ,1000.0,25.10월 의료보험 회사부담분 MLB KIDS_소싱팀||||,,,,,1000.0,,FI0700,MLB KIDS_소싱팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202510,부서
,2025/10,,55010105,복리후생비_의료보험,K3,3200006643,52,2025-11-05,2025-10-31,2025-10-31,S,40,2110,MLB KIDS,KRW,926660,926660.0,KRW,VZ,1000.0,25.10월 의료보험 회사부담분 MLB KIDS_마케팅팀||||,,,,,2000.0,,FI0300,MLB KIDS_마케팅팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202510,부서
,2025/10,,55010105,복리후생비_의료보험,K3,3200006643,53,2025-11-05,2025-10-31,2025-10-31,S,40,2110,MLB KIDS,KRW,368590,368590.0,KRW,VZ,1000.0,25.10월 의료보험 회사부담분 MLB KIDS_사업담당||||,,,,,1000.0,,FI0500,MLB KIDS_기획팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202510,부서
,2025/10,,55010105,복리후생비_의료보험,K3,3200006643,54,2025-11-05,2025-10-31,2025-10-31,S,40,2110,MLB KIDS,KRW,243870,243870.0,KRW,VZ,1000.0,25.10월 의료보험 회사부담분 MLB KIDS_슈즈팀||||,,,,,1000.0,,FI2000,MLB KIDS_슈즈팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202510,부서
,2025/10,,55010105,복리후생비_의료보험,K3,3200006643,55,2025-11-05,2025-10-31,2025-10-31,S,40,2110,MLB KIDS,KRW,293090,293090.0,KRW,VZ,1000.0,25.10월 의료보험 회사부담분 MLBKIDS 디자인연구실_슈즈팀||||,,,,,1000.0,,FI2000,MLB KIDS_슈즈팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202510,부서
,2025/10,,55010105,복리후생비_의료보험,K3,3200006643,56,2025-11-05,2025-10-31,2025-10-31,S,40,2110,MLB KIDS,KRW,1095850,1095850.0,KRW,VZ,1000.0,25.10월 의료보험 회사부담분 MLBKIDS 디자인연구실_용품디자인팀||||,,,,,1000.0,,FI0600,MLB KIDS_디자인팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202510,부서
,2025/10,,55010105,복리후생비_의료보험,K3,3200006643,57,2025-11-05,2025-10-31,2025-10-31,S,40,2110,MLB KIDS,KRW,1826870,1826870.0,KRW,VZ,1000.0,25.10월 의료보험 회사부담분 MLBKIDS 디자인연구실_의류디자인팀||||,,,,,1000.0,,FI0600,MLB KIDS_디자인팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202510,부서
,2025/10,,55010105,복리후생비_의료보험,K3,3200006643,58,2025-11-05,2025-10-31,2025-10-31,S,40,2110,MLB KIDS,KRW,617640,617640.0,KRW,VZ,1000.0,25.10월 의료보험 회사부담분 MLBKIDS 디자인연구실_소재디자인팀||||,,,,,1000.0,,FI0600,MLB KIDS_디자인팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202510,부서
,2025/10,,55010105,복리후생비_의료보험,K3,3200006643,59,2025-11-05,2025-10-31,2025-10-31,S,40,2110,MLB KIDS,KRW,314540,314540.0,KRW,VZ,1000.0,25.10월 의료보험 회사부담분 MLBKIDS 디자인연구실_그래픽디자인팀||||,,,,,1000.0,,FI0600,MLB KIDS_디자인팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202510,부서
,2025/10,,55010105,복리후생비_의료보험,K3,3200006643,60,2025-11-05,2025-10-31,2025-10-31,S,40,2110,MLB KIDS,KRW,1273780,1273780.0,KRW,VZ,1000.0,25.10월 의료보험 회사부담분 MLB KIDS_영업팀||||,,,,,2000.0,,FI0800,MLB KIDS_영업팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202510,부서
,2025/10,,55010105,복리후생비_의료보험,K3,3200006643,61,2025-11-05,2025-10-31,2025-10-31,S,40,2110,MLB KIDS,KRW,854580,854580.0,KRW,VZ,1000.0,25.10월 의료보험 회사부담분 MLB KIDS_카테고리운영팀||||,,,,,2000.0,,FI1000,MLB KIDS_카테고리운영팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202510,부서
