반제/미결항목 기호,연도/월,반제전표,G/L 계정,G/L 계정 설명,전표 유형,전표 번호,개별 항목,입력일,전기일,증빙일,차변/대변지시자,전기 키,사업 영역,사업 영역 내역,현지 통화,금액(현지 통화),금액(전표 통화),전표통화,세금 코드,사업장,텍스트,고객,공급업체,거래처명,세금 번호 2,기능 영역,손익 센터,코스트 센터,코스트센터명,지정,자재,참조 키 1,참조 키 2,참조 키 3,반제일,CATEGORY_L1,CATEGORY_L2,CATEGORY_L3,연월,코스트센터타입
,2024/10,,55010107,복리후생비_고용보험,K3,3200007582,173,2024-11-04,2024-10-31,2024-10-31,S,40,2110,MLB KIDS,KRW,127897,127897.0,KRW,VZ,1000.0,24.10월고용보험회사부담분MLBKIDS_VMD팀,,,,,2000.0,,FI0400,MLB KIDS_VMD팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010107,복리후생비_고용보험,K3,3200007582,174,2024-11-04,2024-10-31,2024-10-31,S,40,2110,MLB KIDS,KRW,486991,486991.0,KRW,VZ,1000.0,24.10월고용보험회사부담분MLBKIDS_기획팀,,,,,1000.0,,FI0500,MLB KIDS_기획팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010107,복리후생비_고용보험,K3,3200007582,175,2024-11-04,2024-10-31,2024-10-31,S,40,2110,MLB KIDS,KRW,820607,820607.0,KRW,VZ,1000.0,24.10월고용보험회사부담분MLBKIDS_소싱팀,,,,,1000.0,,FI0700,MLB KIDS_소싱팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010107,복리후생비_고용보험,K3,3200007582,176,2024-11-04,2024-10-31,2024-10-31,S,40,2110,MLB KIDS,KRW,359513,359513.0,KRW,VZ,1000.0,24.10월고용보험회사부담분MLBKIDS_영업1팀,,,,,2000.0,,FI0800,MLB KIDS_영업팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010107,복리후생비_고용보험,K3,3200007582,177,2024-11-04,2024-10-31,2024-10-31,S,40,2110,MLB KIDS,KRW,210082,210082.0,KRW,VZ,1000.0,24.10월고용보험회사부담분MLBKIDS_유통MD팀,,,,,2000.0,,FI1000,MLB KIDS_카테고리운영팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010107,복리후생비_고용보험,K3,3200007582,178,2024-11-04,2024-10-31,2024-10-31,S,40,2110,MLB KIDS,KRW,231750,231750.0,KRW,VZ,1000.0,24.10월고용보험회사부담분MLBKIDS_마케팅팀,,,,,2000.0,,FI0300,MLB KIDS_마케팅팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010107,복리후생비_고용보험,K3,3200007582,179,2024-11-04,2024-10-31,2024-10-31,S,40,2110,MLB KIDS,KRW,95738,95738.0,KRW,VZ,1000.0,24.10월고용보험회사부담분MLBKIDS_사업담당,,,,,1000.0,,FI0500,MLB KIDS_기획팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010107,복리후생비_고용보험,K3,3200007582,180,2024-11-04,2024-10-31,2024-10-31,S,40,2110,MLB KIDS,KRW,76264,76264.0,KRW,VZ,1000.0,24.10월고용보험회사부담분MLBKIDS디자인연구실_슈즈팀,,,,,1000.0,,FI2000,MLB KIDS_슈즈팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010107,복리후생비_고용보험,K3,3200007582,181,2024-11-04,2024-10-31,2024-10-31,S,40,2110,MLB KIDS,KRW,305890,305890.0,KRW,VZ,1000.0,24.10월고용보험회사부담분MLBKIDS디자인연구실_용품디자인팀,,,,,1000.0,,FI0600,MLB KIDS_디자인팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010107,복리후생비_고용보험,K3,3200007582,182,2024-11-04,2024-10-31,2024-10-31,S,40,2110,MLB KIDS,KRW,606337,606337.0,KRW,VZ,1000.0,24.10월고용보험회사부담분MLBKIDS디자인연구실_의류디자인팀,,,,,1000.0,,FI0600,MLB KIDS_디자인팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010107,복리후생비_고용보험,K3,3200007582,183,2024-11-04,2024-10-31,2024-10-31,S,40,2110,MLB KIDS,KRW,124568,124568.0,KRW,VZ,1000.0,24.10월고용보험회사부담분MLBKIDS디자인연구실_소재디자인팀,,,,,1000.0,,FI0600,MLB KIDS_디자인팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
,2024/10,,55010107,복리후생비_고용보험,K3,3200007582,184,2024-11-04,2024-10-31,2024-10-31,S,40,2110,MLB KIDS,KRW,90636,90636.0,KRW,VZ,1000.0,24.10월고용보험회사부담분MLBKIDS디자인연구실_그래픽디자인팀,,,,,1000.0,,FI0600,MLB KIDS_디자인팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202410,부서
