반제/미결항목 기호,연도/월,반제전표,G/L 계정,G/L 계정 설명,전표 유형,전표 번호,개별 항목,입력일,전기일,증빙일,차변/대변지시자,전기 키,사업 영역,사업 영역 내역,현지 통화,금액(현지 통화),금액(전표 통화),전표통화,세금 코드,사업장,텍스트,고객,공급업체,거래처명,세금 번호 2,기능 영역,손익 센터,코스트 센터,코스트센터명,지정,자재,참조 키 1,참조 키 2,참조 키 3,반제일,CATEGORY_L1,CATEGORY_L2,CATEGORY_L3,연월,코스트센터타입
,2025/10,,53030101,퇴직급여충당금전입액,CO,8000201077,0,2025-11-10,2025-10-31,2025-10-31,S,40,2200,Discovery,KRW,7168295,7168295.0,KRW,,,[25.10결산] 퇴직급여 반영,,,,,2000.0,,FX0300,DISCOVERY_마케팅팀,,,,,,,인건비,인건비,퇴직급여,202510,부서
,2025/10,,53030101,퇴직급여충당금전입액,CO,8000201077,0,2025-11-10,2025-10-31,2025-10-31,S,40,2200,Discovery,KRW,3042845,3042845.0,KRW,,,[25.10결산] 퇴직급여 반영,,,,,2000.0,,FX0400,DISCOVERY_VMD팀,,,,,,,인건비,인건비,퇴직급여,202510,부서
,2025/10,,53030101,퇴직급여충당금전입액,CO,8000201077,0,2025-11-10,2025-10-31,2025-10-31,S,40,2200,Discovery,KRW,3557069,3557069.0,KRW,,,[25.10결산] 퇴직급여 반영,,,,,1000.0,,FX0500,DISCOVERY_KIDS 디자인팀,,,,,,,인건비,인건비,퇴직급여,202510,부서
,2025/10,,53030101,퇴직급여충당금전입액,CO,8000201077,0,2025-11-10,2025-10-31,2025-10-31,S,40,2200,Discovery,KRW,15161884,15161884.0,KRW,,,[25.10결산] 퇴직급여 반영,,,,,1000.0,,FX0600,DISCOVERY_디자인팀,,,,,,,인건비,인건비,퇴직급여,202510,부서
,2025/10,,53030101,퇴직급여충당금전입액,CO,8000201077,0,2025-11-10,2025-10-31,2025-10-31,S,40,2200,Discovery,KRW,5104659,5104659.0,KRW,,,[25.10결산] 퇴직급여 반영,,,,,1000.0,,FX0800,DISCOVERY_용품팀,,,,,,,인건비,인건비,퇴직급여,202510,부서
,2025/10,,53030101,퇴직급여충당금전입액,CO,8000201077,0,2025-11-10,2025-10-31,2025-10-31,S,40,2200,Discovery,KRW,7585693,7585693.0,KRW,,,[25.10결산] 퇴직급여 반영,,,,,1000.0,,FX1000,DISCOVERY_QM팀,,,,,,,인건비,인건비,퇴직급여,202510,부서
,2025/10,,53030101,퇴직급여충당금전입액,CO,8000201077,0,2025-11-10,2025-10-31,2025-10-31,S,40,2200,Discovery,KRW,4318044,4318044.0,KRW,,,[25.10결산] 퇴직급여 반영,,,,,1000.0,,FX1100,DISCOVERY_소재팀,,,,,,,인건비,인건비,퇴직급여,202510,부서
,2025/10,,53030101,퇴직급여충당금전입액,CO,8000201077,0,2025-11-10,2025-10-31,2025-10-31,S,40,2200,Discovery,KRW,9799777,9799777.0,KRW,,,[25.10결산] 퇴직급여 반영,,,,,2000.0,,FX1200,DISCOVERY_유통1팀,,,,,,,인건비,인건비,퇴직급여,202510,부서
,2025/10,,53030101,퇴직급여충당금전입액,CO,8000201077,0,2025-11-10,2025-10-31,2025-10-31,S,40,2200,Discovery,KRW,5948507,5948507.0,KRW,,,[25.10결산] 퇴직급여 반영,,,,,2000.0,,FX1300,DISCOVERY_유통2팀,,,,,,,인건비,인건비,퇴직급여,202510,부서
,2025/10,,53030101,퇴직급여충당금전입액,CO,8000201077,0,2025-11-10,2025-10-31,2025-10-31,S,40,2200,Discovery,KRW,7066793,7066793.0,KRW,,,[25.10결산] 퇴직급여 반영,,,,,2000.0,,FX1400,DISCOVERY_카테고리운영팀,,,,,,,인건비,인건비,퇴직급여,202510,부서
,2025/10,,53030101,퇴직급여충당금전입액,CO,8000201077,0,2025-11-10,2025-10-31,2025-10-31,S,40,2200,Discovery,KRW,8072854,8072854.0,KRW,,,[25.10결산] 퇴직급여 반영,,,,,1000.0,,FX1500,DISCOVERY_기획팀,,,,,,,인건비,인건비,퇴직급여,202510,부서
,2025/10,,53030101,퇴직급여충당금전입액,CO,8000201077,0,2025-11-10,2025-10-31,2025-10-31,S,40,2200,Discovery,KRW,7384045,7384045.0,KRW,,,[25.10결산] 퇴직급여 반영,,,,,1000.0,,FX1600,DISCOVERY_소싱팀,,,,,,,인건비,인건비,퇴직급여,202510,부서
,2025/10,,53030101,퇴직급여충당금전입액,CO,8000201077,0,2025-11-10,2025-10-31,2025-10-31,S,40,2200,Discovery,KRW,8480940,8480940.0,KRW,,,[25.10결산] 퇴직급여 반영,,,,,1000.0,,FX2100,DISCOVERY_슈즈팀,,,,,,,인건비,인건비,퇴직급여,202510,부서
,2025/10,,53030101,퇴직급여충당금전입액,CO,8000201077,0,2025-11-10,2025-10-31,2025-10-31,S,40,2200,Discovery,KRW,2556732,2556732.0,KRW,,,[25.10결산] 퇴직급여 반영,,,,,1000.0,,FX2300,DISCOVERY_KIDS 기획팀,,,,,,,인건비,인건비,퇴직급여,202510,부서
,2025/10,,53030101,퇴직급여충당금전입액,CO,8000201077,0,2025-11-10,2025-10-31,2025-10-31,S,40,2200,Discovery,KRW,519073,519073.0,KRW,,,[25.10결산] 퇴직급여 반영,,,,,1000.0,,FX2400,DISCOVERY_운영기획팀,,,,,,,인건비,인건비,퇴직급여,202510,부서
,2025/10,,53030101,퇴직급여충당금전입액,CO,8000201079,0,2025-11-10,2025-10-31,2025-10-31,S,40,2200,Discovery,KRW,1015792,1015792.0,KRW,,,[CC대체]25.10월 Prcess 팀장 겸직 퇴직급여 안분(공통 PI팀-> DX운영기획팀,,,,,1000.0,,FX2400,DISCOVERY_운영기획팀,,,,,,,인건비,인건비,퇴직급여,202510,부서
,2025/10,,53030101,퇴직급여충당금전입액,CO,8000201079,0,2025-11-10,2025-10-31,2025-10-31,H,50,2200,Discovery,KRW,-1098298,-1098298.0,KRW,,,[CC대체]25.10월 DX영업/기획임원 퇴직급여 안분(DX유통1팀->DX기획),,,,,2000.0,,FX1200,DISCOVERY_유통1팀,,,,,,,인건비,인건비,퇴직급여,202510,부서
