반제/미결항목 기호,연도/월,반제전표,G/L 계정,G/L 계정 설명,전표 유형,전표 번호,개별 항목,입력일,전기일,증빙일,차변/대변지시자,전기 키,사업 영역,사업 영역 내역,현지 통화,금액(현지 통화),금액(전표 통화),전표통화,세금 코드,사업장,텍스트,고객,공급업체,거래처명,세금 번호 2,기능 영역,손익 센터,코스트 센터,코스트센터명,지정,자재,참조 키 1,참조 키 2,참조 키 3,반제일,CATEGORY_L1,CATEGORY_L2,CATEGORY_L3,연월,코스트센터타입
,2024/10,,55110105,소모품비_샘플대,AB,1200376968,1,2024-11-07,2024-10-31,2024-10-31,H,50,2600,SERGIO TACCHINI,KRW,-1689145,-1689145.0,KRW,VZ,1000.0,24.10월 ST 샘플 수입 부가세,,,,,2000.0,,FT0000,ST_공통,FT0000,,,,,,샘플대(제작/구입),샘플대(제작/구입),소모품비_샘플대,202410,부서
,2024/10,,55110105,소모품비_샘플대,AB,1200376968,2,2024-11-07,2024-10-31,2024-10-31,H,50,2600,SERGIO TACCHINI,KRW,-7018703,-7018703.0,KRW,VZ,1000.0,24.10월 ST 샘플 수입 부가세,,,,,2000.0,,FT0000,ST_공통,FT0000,,,,,,샘플대(제작/구입),샘플대(제작/구입),소모품비_샘플대,202410,부서
,2024/10,,55110105,소모품비_샘플대,AB,1200377186,1,2024-11-08,2024-10-31,2024-10-31,H,50,2600,SERGIO TACCHINI,KRW,-1215043,-1215043.0,KRW,VZ,1000.0,24.10월 ST 샘플 수입 부가세,,,,,2000.0,,FT0000,ST_공통,FT0000,,,,,,샘플대(제작/구입),샘플대(제작/구입),소모품비_샘플대,202410,부서
,2024/10,,55110105,소모품비_샘플대,AB,1200377188,1,2024-11-08,2024-10-31,2024-10-31,H,50,2600,SERGIO TACCHINI,KRW,-3164711,-3164711.0,KRW,VZ,1000.0,24.10월 ST 샘플 수입 부가세,,,,,2000.0,,FT0000,ST_공통,FT0000,,,,,,샘플대(제작/구입),샘플대(제작/구입),소모품비_샘플대,202410,부서
,2024/10,,55110105,소모품비_샘플대,K3,3200007093,1,2024-10-10,2024-10-10,2024-10-10,S,40,2600,SERGIO TACCHINI,KRW,5915925,4389.32,USD,VZ,1000.0,25FW STO 샘플대 - Porta,,,,,2000.0,,FT0900,[CLSD]ST_글로벌기획팀,Porta Asiatica,,,,,,샘플대(제작/구입),샘플대(제작/구입),소모품비_샘플대,202410,부서
,2024/10,,55110105,소모품비_샘플대,K3,3200007095,1,2024-10-10,2024-10-10,2024-10-10,S,40,2600,SERGIO TACCHINI,KRW,1451581,1077.0,USD,VZ,1000.0,25FW STO 샘플대 - FYNEX,,,,,2000.0,,FT0900,[CLSD]ST_글로벌기획팀,XIAMEN FYNEX IMP A,,,,,,샘플대(제작/구입),샘플대(제작/구입),소모품비_샘플대,202410,부서
,2024/10,,55110105,소모품비_샘플대,K3,3200007278,1,2024-10-18,2024-10-15,2024-10-15,S,40,2600,SERGIO TACCHINI,KRW,194320,194320.0,KRW,VZ,1000.0,24.10월 ST 샘플 수입 관세,,,,,2000.0,,FT0000,ST_공통,인천공항세관장,,,,,,샘플대(제작/구입),샘플대(제작/구입),소모품비_샘플대,202410,부서
,2024/10,,55110105,소모품비_샘플대,K3,3200007279,1,2024-10-18,2024-10-16,2024-10-16,S,40,2600,SERGIO TACCHINI,KRW,807460,807460.0,KRW,VZ,1000.0,24.10월 ST 샘플 수입 관세,,,,,2000.0,,FT0000,ST_공통,인천공항세관장,,,,,,샘플대(제작/구입),샘플대(제작/구입),소모품비_샘플대,202410,부서
,2024/10,,55110105,소모품비_샘플대,K3,3200007335,1,2024-10-23,2024-10-23,2024-10-23,S,40,2600,SERGIO TACCHINI,KRW,934935,677.44,USD,VZ,1000.0,FW25 샘플대 - Sara Fashion,,,,,2000.0,,FT0900,[CLSD]ST_글로벌기획팀,SARA FASHIONWEAR L,,,,,,샘플대(제작/구입),샘플대(제작/구입),소모품비_샘플대,202410,부서
,2024/10,,55110105,소모품비_샘플대,K3,3200007336,1,2024-10-23,2024-10-23,2024-10-23,S,40,2600,SERGIO TACCHINI,KRW,2664959,1930.99,USD,VZ,1000.0,FW25 샘플대 - Hesrro,,,,,2000.0,,FT0900,[CLSD]ST_글로벌기획팀,Shanghai HESRRO Ga,,,,,,샘플대(제작/구입),샘플대(제작/구입),소모품비_샘플대,202410,부서
,2024/10,,55110105,소모품비_샘플대,K3,3200007679,1,2024-11-04,2024-10-31,2024-10-31,S,40,2600,SERGIO TACCHINI,KRW,139780,139780.0,KRW,VZ,1000.0,24.10월 ST 샘플 수입 관세,,,,,2000.0,,FT0000,ST_공통,인천공항세관장,,,,,,샘플대(제작/구입),샘플대(제작/구입),소모품비_샘플대,202410,부서
,2024/10,,55110105,소모품비_샘플대,K1,3400011348,1,2024-10-18,2024-10-15,2024-10-15,S,40,2600,SERGIO TACCHINI,KRW,1689145,1689145.0,KRW,V1,1000.0,24.10월 ST 샘플 수입 부가세,,,,,2000.0,,FT0000,ST_공통,202410154200003665,,1098302763,인천공항세관장,인천공항세관,,샘플대(제작/구입),샘플대(제작/구입),소모품비_샘플대,202410,부서
,2024/10,,55110105,소모품비_샘플대,K1,3400011349,1,2024-10-18,2024-10-16,2024-10-16,S,40,2600,SERGIO TACCHINI,KRW,7018703,7018703.0,KRW,V1,1000.0,24.10월 ST 샘플 수입 부가세,,,,,2000.0,,FT0000,ST_공통,202410164200003665,,1098302763,인천공항세관장,인천공항세관,,샘플대(제작/구입),샘플대(제작/구입),소모품비_샘플대,202410,부서
