반제/미결항목 기호,연도/월,반제전표,G/L 계정,G/L 계정 설명,전표 유형,전표 번호,개별 항목,입력일,전기일,증빙일,차변/대변지시자,전기 키,사업 영역,사업 영역 내역,현지 통화,금액(현지 통화),금액(전표 통화),전표통화,세금 코드,사업장,텍스트,고객,공급업체,거래처명,세금 번호 2,기능 영역,손익 센터,코스트 센터,코스트센터명,지정,자재,참조 키 1,참조 키 2,참조 키 3,반제일,CATEGORY_L1,CATEGORY_L2,CATEGORY_L3,연월,코스트센터타입
,2025/10,,55350101,수선비_기타,Z2,2000137320,1,2025-11-07,2025-10-31,2025-10-31,H,50,2200,Discovery,KRW,-69000,-69000.0,KRW,A2,1000.0,25.10월 수선비 마감(대리점/중간관리자),,,,,2000.0,,ZX0560,DX_롯데광복(백),ZX0560,,,,,,기타영업비,수선비,수선비_기타,202510,매장
,2025/10,,55350101,수선비_기타,Z2,2000137321,1,2025-11-07,2025-10-31,2025-10-31,H,50,2200,Discovery,KRW,-158000,-158000.0,KRW,A2,1000.0,25.10월 수선비 마감(대리점/중간관리자),,,,,2000.0,,ZX0000,DX_롯데영등포(백),ZX0000,,,,,,기타영업비,수선비,수선비_기타,202510,매장
,2025/10,,55350101,수선비_기타,Z2,2000137322,1,2025-11-07,2025-10-31,2025-10-31,H,50,2200,Discovery,KRW,-20000,-20000.0,KRW,A2,1000.0,25.10월 수선비 마감(대리점/중간관리자),,,,,2000.0,,ZX0300,DX_롯데대전(백),ZX0300,,,,,,기타영업비,수선비,수선비_기타,202510,매장
,2025/10,,55350101,수선비_기타,Z2,2000137323,1,2025-11-07,2025-10-31,2025-10-31,H,50,2200,Discovery,KRW,-20000,-20000.0,KRW,A2,1000.0,25.10월 수선비 마감(대리점/중간관리자),,,,,2000.0,,ZX0050,DX_AK분당(백),ZX0050,,,,,,기타영업비,수선비,수선비_기타,202510,매장
,2025/10,,55350101,수선비_기타,Z2,2000137324,1,2025-11-07,2025-10-31,2025-10-31,H,50,2200,Discovery,KRW,-137000,-137000.0,KRW,A2,1000.0,25.10월 수선비 마감(대리점/중간관리자),,,,,2000.0,,ZX0690,DX_롯데부산(백),ZX0690,,,,,,기타영업비,수선비,수선비_기타,202510,매장
,2025/10,,55350101,수선비_기타,Z2,2000137325,1,2025-11-07,2025-10-31,2025-10-31,H,50,2200,Discovery,KRW,-284000,-284000.0,KRW,A2,1000.0,25.10월 수선비 마감(대리점/중간관리자),,,,,2000.0,,ZX0490,DX_롯데건대(백),ZX0490,,,,,,기타영업비,수선비,수선비_기타,202510,매장
,2025/10,,55350101,수선비_기타,Z2,2000137326,1,2025-11-07,2025-10-31,2025-10-31,H,50,2200,Discovery,KRW,-60000,-60000.0,KRW,A2,1000.0,25.10월 수선비 마감(대리점/중간관리자),,,,,2000.0,,ZX0170,DX_현대신촌(백),ZX0170,,,,,,기타영업비,수선비,수선비_기타,202510,매장
,2025/10,,55350101,수선비_기타,Z2,2000137327,1,2025-11-07,2025-10-31,2025-10-31,H,50,2200,Discovery,KRW,-219000,-219000.0,KRW,A2,1000.0,25.10월 수선비 마감(대리점/중간관리자),,,,,2000.0,,ZX0360,DX_롯데미아(백),ZX0360,,,,,,기타영업비,수선비,수선비_기타,202510,매장
,2025/10,,55350101,수선비_기타,Z2,2000137328,1,2025-11-07,2025-10-31,2025-10-31,H,50,2200,Discovery,KRW,-60000,-60000.0,KRW,A2,1000.0,25.10월 수선비 마감(대리점/중간관리자),,,,,2000.0,,ZX0580,DX_롯데중동(백),ZX0580,,,,,,기타영업비,수선비,수선비_기타,202510,매장
,2025/10,,55350101,수선비_기타,Z2,2000137329,1,2025-11-07,2025-10-31,2025-10-31,H,50,2200,Discovery,KRW,-149000,-149000.0,KRW,A2,1000.0,25.10월 수선비 마감(대리점/중간관리자),,,,,2000.0,,ZX0030,DX_롯데포항(백),ZX0030,,,,,,기타영업비,수선비,수선비_기타,202510,매장
,2025/10,,55350101,수선비_기타,Z2,2000137330,1,2025-11-07,2025-10-31,2025-10-31,H,50,2200,Discovery,KRW,-139000,-139000.0,KRW,A2,1000.0,25.10월 수선비 마감(대리점/중간관리자),,,,,2000.0,,ZX0110,DX_롯데동래(백),ZX0110,,,,,,기타영업비,수선비,수선비_기타,202510,매장
,2025/10,,55350101,수선비_기타,Z2,2000137331,1,2025-11-07,2025-10-31,2025-10-31,H,50,2200,Discovery,KRW,-177000,-177000.0,KRW,A2,1000.0,25.10월 수선비 마감(대리점/중간관리자),,,,,2000.0,,ZX0380,DX_롯데잠실(백),ZX0380,,,,,,기타영업비,수선비,수선비_기타,202510,매장
,2025/10,,55350101,수선비_기타,Z2,2000137332,1,2025-11-07,2025-10-31,2025-10-31,H,50,2200,Discovery,KRW,-85000,-85000.0,KRW,A2,1000.0,25.10월 수선비 마감(대리점/중간관리자),,,,,2000.0,,ZX0410,DX_롯데대구(백),ZX0410,,,,,,기타영업비,수선비,수선비_기타,202510,매장
