반제/미결항목 기호,연도/월,반제전표,G/L 계정,G/L 계정 설명,전표 유형,전표 번호,개별 항목,입력일,전기일,증빙일,차변/대변지시자,전기 키,사업 영역,사업 영역 내역,현지 통화,금액(현지 통화),금액(전표 통화),전표통화,세금 코드,사업장,텍스트,고객,공급업체,거래처명,세금 번호 2,기능 영역,손익 센터,코스트 센터,코스트센터명,지정,자재,참조 키 1,참조 키 2,참조 키 3,반제일,CATEGORY_L1,CATEGORY_L2,CATEGORY_L3,연월,코스트센터타입
,2025/10,,55170127,광고선전비_물류_재고대체,SC,1800750623,1,2025-11-10,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,951,951.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FM0000,MLB_공통,FM0000,M25F3ABNB1156,,,,,광고선전비,광고선전비,광고선전비_기타,202510,부서
,2025/10,,55170127,광고선전비_물류_재고대체,SC,1800750624,1,2025-11-10,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,136,136.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FM0000,MLB_공통,FM0000,M25F3ABNBM256,,,,,광고선전비,광고선전비,광고선전비_기타,202510,부서
,2025/10,,55170127,광고선전비_물류_재고대체,SC,1800750625,1,2025-11-10,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,2686,2686.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FM0000,MLB_공통,FM0000,M25F3ADJB2056,,,,,광고선전비,광고선전비,광고선전비_기타,202510,부서
,2025/10,,55170127,광고선전비_물류_재고대체,SC,1800750626,1,2025-11-10,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,10587,10587.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FM0000,MLB_공통,FM0000,M25F3ADJB2656,,,,,광고선전비,광고선전비,광고선전비_기타,202510,부서
,2025/10,,55170127,광고선전비_물류_재고대체,SC,1800750627,1,2025-11-10,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,8867,8867.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FM0000,MLB_공통,FM0000,M25F3AJPB0954,,,,,광고선전비,광고선전비,광고선전비_기타,202510,부서
,2025/10,,55170127,광고선전비_물류_재고대체,SC,1800750628,1,2025-11-10,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,9217,9217.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FM0000,MLB_공통,FM0000,M25F3AMTV1054,,,,,광고선전비,광고선전비,광고선전비_기타,202510,부서
,2025/10,,55170127,광고선전비_물류_재고대체,SC,1800750629,1,2025-11-10,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,719,719.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FM0000,MLB_공통,FM0000,M25F3AMTV1254,,,,,광고선전비,광고선전비,광고선전비_기타,202510,부서
,2025/10,,55170127,광고선전비_물류_재고대체,SC,1800750630,1,2025-11-10,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,4238,4238.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FM0000,MLB_공통,FM0000,M25F3APDB0356,,,,,광고선전비,광고선전비,광고선전비_기타,202510,부서
,2025/10,,55170127,광고선전비_물류_재고대체,SC,1800750631,1,2025-11-10,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,34,34.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FM0000,MLB_공통,FM0000,M25F3AWMB0256,,,,,광고선전비,광고선전비,광고선전비_기타,202510,부서
,2025/10,,55170127,광고선전비_물류_재고대체,SC,1800750632,1,2025-11-10,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,483,483.0,KRW,,,제품/상품의 타계정출고 실제금액 반영,,,,,2000.0,,FM0000,MLB_공통,FM0000,M25F3FDJB0556,,,,,광고선전비,광고선전비,광고선전비_기타,202510,부서
