반제/미결항목 기호,연도/월,반제전표,G/L 계정,G/L 계정 설명,전표 유형,전표 번호,개별 항목,입력일,전기일,증빙일,차변/대변지시자,전기 키,사업 영역,사업 영역 내역,현지 통화,금액(현지 통화),금액(전표 통화),전표통화,세금 코드,사업장,텍스트,고객,공급업체,거래처명,세금 번호 2,기능 영역,손익 센터,코스트 센터,코스트센터명,지정,자재,참조 키 1,참조 키 2,참조 키 3,반제일,CATEGORY_L1,CATEGORY_L2,CATEGORY_L3,연월,코스트센터타입
,2025/10,,55010105,복리후생비_의료보험,K3,3200006643,62,2025-11-05,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,1703080,1703080.0,KRW,VZ,1000.0,25.10월 의료보험 회사부담분 MLB_마케팅팀||||,,,,,2000.0,,FM0300,MLB_마케팅팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202510,부서
,2025/10,,55010105,복리후생비_의료보험,K3,3200006643,63,2025-11-05,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,824460,824460.0,KRW,VZ,1000.0,25.10월 의료보험 회사부담분 MLB_VMD팀||||,,,,,2000.0,,FM0500,MLB_VMD팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202510,부서
,2025/10,,55010105,복리후생비_의료보험,K3,3200006643,64,2025-11-05,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,940000,940000.0,KRW,VZ,1000.0,25.10월 의료보험 회사부담분 MLB_용품기획팀||||,,,,,1000.0,,FM0600,MLB_기획팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202510,부서
,2025/10,,55010105,복리후생비_의료보험,K3,3200006643,65,2025-11-05,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,1045530,1045530.0,KRW,VZ,1000.0,25.10월 의료보험 회사부담분 MLB_의류기획팀||||,,,,,1000.0,,FM0600,MLB_기획팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202510,부서
,2025/10,,55010105,복리후생비_의료보험,K3,3200006643,66,2025-11-05,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,2253280,2253280.0,KRW,VZ,1000.0,25.10월 의료보험 회사부담분 MLB_용품소싱팀||||,,,,,1000.0,,FM1500,MLB_용품소싱팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202510,부서
,2025/10,,55010105,복리후생비_의료보험,K3,3200006643,67,2025-11-05,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,3298900,3298900.0,KRW,VZ,1000.0,25.10월 의료보험 회사부담분 MLB_의류소싱팀||||,,,,,1000.0,,FM0900,MLB_소싱팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202510,부서
,2025/10,,55010105,복리후생비_의료보험,K3,3200006643,68,2025-11-05,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,377750,377750.0,KRW,VZ,1000.0,25.10월 의료보험 회사부담분 MLB_영업담당||||,,,,,2000.0,,FM1000,MLB_파트너채널팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202510,부서
,2025/10,,55010105,복리후생비_의료보험,K3,3200006643,69,2025-11-05,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,924770,924770.0,KRW,VZ,1000.0,25.10월 의료보험 회사부담분 MLB_사업담당||||,,,,,1000.0,,FM0600,MLB_기획팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202510,부서
,2025/10,,55010105,복리후생비_의료보험,K3,3200006643,70,2025-11-05,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,934530,934530.0,KRW,VZ,1000.0,25.10월 의료보험 회사부담분 MLB 디자인연구실_슈즈담당||||,,,,,1000.0,,FM0800,MLB_슈즈팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202510,부서
,2025/10,,55010105,복리후생비_의료보험,K3,3200006643,71,2025-11-05,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,1140070,1140070.0,KRW,VZ,1000.0,25.10월 의료보험 회사부담분 MLB 디자인연구실_슈즈디자인팀||||,,,,,1000.0,,FM0800,MLB_슈즈팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202510,부서
,2025/10,,55010105,복리후생비_의료보험,K3,3200006643,72,2025-11-05,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,1153060,1153060.0,KRW,VZ,1000.0,25.10월 의료보험 회사부담분 MLB 디자인연구실_슈즈소싱팀||||,,,,,1000.0,,FM0800,MLB_슈즈팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202510,부서
,2025/10,,55010105,복리후생비_의료보험,K3,3200006643,73,2025-11-05,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,416650,416650.0,KRW,VZ,1000.0,25.10월 의료보험 회사부담분 MLB_기획담당||||,,,,,1000.0,,FM0600,MLB_기획팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202510,부서
,2025/10,,55010105,복리후생비_의료보험,K3,3200006643,74,2025-11-05,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,1207950,1207950.0,KRW,VZ,1000.0,25.10월 의료보험 회사부담분 MLB_카테고리운영팀||||,,,,,2000.0,,FM1200,MLB_카테고리운영팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202510,부서
,2025/10,,55010105,복리후생비_의료보험,K3,3200006643,75,2025-11-05,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,677820,677820.0,KRW,VZ,1000.0,25.10월 의료보험 회사부담분 MLB_AX팀||||,,,,,1000.0,,FM2300,MLB_AX팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202510,부서
,2025/10,,55010105,복리후생비_의료보험,K3,3200006643,76,2025-11-05,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,1831040,1831040.0,KRW,VZ,1000.0,25.10월 의료보험 회사부담분 MLB_파트너채널팀||||,,,,,2000.0,,FM1000,MLB_파트너채널팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202510,부서
,2025/10,,55010105,복리후생비_의료보험,K3,3200006643,77,2025-11-05,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,1313810,1313810.0,KRW,VZ,1000.0,25.10월 의료보험 회사부담분 MLB_리테일채널팀||||,,,,,2000.0,,FM1700,MLB_리테일채널팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202510,부서
