반제/미결항목 기호,연도/월,반제전표,G/L 계정,G/L 계정 설명,전표 유형,전표 번호,개별 항목,입력일,전기일,증빙일,차변/대변지시자,전기 키,사업 영역,사업 영역 내역,현지 통화,금액(현지 통화),금액(전표 통화),전표통화,세금 코드,사업장,텍스트,고객,공급업체,거래처명,세금 번호 2,기능 영역,손익 센터,코스트 센터,코스트센터명,지정,자재,참조 키 1,참조 키 2,참조 키 3,반제일,CATEGORY_L1,CATEGORY_L2,CATEGORY_L3,연월,코스트센터타입
,2024/10,,55110127,소모품비_유니폼사용,DA,2000143061,1,2024-10-29,2024-10-28,2024-10-28,S,40,2100,MLB,KRW,36000,36000.0,KRW,,1440.0,M24N3ARNAC24N,,,,,2000.0,,FM0000,MLB_공통,0000100444,,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_유니폼사용,202410,부서
,2024/10,,55110127,소모품비_유니폼사용,DA,2000143062,1,2024-10-29,2024-10-28,2024-10-28,S,40,2100,MLB,KRW,12636,12636.0,KRW,,1440.0,M24F3LWPV0144,,,,,2000.0,,FM0000,MLB_공통,0000100444,,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_유니폼사용,202410,부서
,2024/10,,55110127,소모품비_유니폼사용,DA,2000143063,1,2024-10-29,2024-10-28,2024-10-28,S,40,2100,MLB,KRW,25364,25364.0,KRW,,1440.0,M24F3AJPB0146,,,,,2000.0,,FM0000,MLB_공통,0000100444,,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_유니폼사용,202410,부서
,2024/10,,55110127,소모품비_유니폼사용,DA,2000143064,1,2024-10-29,2024-10-28,2024-10-28,S,40,2100,MLB,KRW,27090,27090.0,KRW,,1440.0,M24F3AWPV0146,,,,,2000.0,,FM0000,MLB_공통,0000100444,,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_유니폼사용,202410,부서
,2024/10,,55110127,소모품비_유니폼사용,DA,2000143065,1,2024-10-29,2024-10-28,2024-10-28,S,40,2100,MLB,KRW,16273,16273.0,KRW,,1440.0,M24F3FKCV0444,,,,,2000.0,,FM0000,MLB_공통,0000100444,,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_유니폼사용,202410,부서
,2024/10,,55110127,소모품비_유니폼사용,DA,2000143066,1,2024-10-29,2024-10-28,2024-10-28,S,40,2100,MLB,KRW,3273,3273.0,KRW,,1440.0,M21N3ACP7701N,,,,,2000.0,,FM0000,MLB_공통,0000100444,,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_유니폼사용,202410,부서
,2024/10,,55110127,소모품비_유니폼사용,DA,2000143067,1,2024-10-29,2024-10-28,2024-10-28,S,40,2100,MLB,KRW,3545,3545.0,KRW,,1440.0,M24N3ACPVV14N,,,,,2000.0,,FM0000,MLB_공통,0000100444,,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_유니폼사용,202410,부서
,2024/10,,55110127,소모품비_유니폼사용,DA,2000143068,1,2024-10-29,2024-10-28,2024-10-28,S,40,2100,MLB,KRW,25272,25272.0,KRW,,1440.0,M24F3FTRN1044,,,,,2000.0,,FM0000,MLB_공통,0000100444,,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_유니폼사용,202410,부서
,2024/10,,55110127,소모품비_유니폼사용,DA,2000143069,1,2024-10-29,2024-10-28,2024-10-28,S,40,2100,MLB,KRW,12636,12636.0,KRW,,1440.0,M24F3FWPB0544,,,,,2000.0,,FM0000,MLB_공통,0000100444,,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_유니폼사용,202410,부서
,2024/10,,55110127,소모품비_유니폼사용,DA,2000143070,1,2024-10-29,2024-10-28,2024-10-28,S,40,2100,MLB,KRW,101456,101456.0,KRW,,1440.0,M24F3AJPV0244,,,,,2000.0,,FM0000,MLB_공통,0000100444,,,,,,기타영업비,저장품사용(쇼핑백/사은품),소모품비_유니폼사용,202410,부서
